R.Time (min)	Intensity
0.00000	1
0.00833	1
0.01667	0
0.02500	0
0.03333	0
0.04167	1
0.05000	1
0.05833	0
0.06667	0
0.07500	-0
0.08333	-1
0.09167	-1
0.10000	-0
0.10833	-0
0.11667	0
0.12500	0
0.13333	0
0.14167	0
0.15000	1
0.15833	0
0.16667	0
0.17500	0
0.18333	0
0.19167	1
0.20000	1
0.20833	1
0.21667	1
0.22500	1
0.23333	1
0.24167	1
0.25000	1
0.25833	1
0.26667	1
0.27500	1
0.28333	1
0.29167	2
0.30000	1
0.30833	1
0.31667	1
0.32500	1
0.33333	1
0.34167	1
0.35000	1
0.35833	1
0.36667	2
0.37500	2
0.38333	2
0.39167	2
0.40000	2
0.40833	1
0.41667	1
0.42500	1
0.43333	1
0.44167	0
0.45000	0
0.45833	0
0.46667	0
0.47500	0
0.48333	1
0.49167	1
0.50000	1
0.50833	0
0.51667	0
0.52500	0
0.53333	0
0.54167	-0
0.55000	-0
0.55833	-0
0.56667	-1
0.57500	-1
0.58333	-1
0.59167	-1
0.60000	-1
0.60833	-2
0.61667	-2
0.62500	-2
0.63333	-2
0.64167	-2
0.65000	-1
0.65833	-1
0.66667	-1
0.67500	-1
0.68333	-1
0.69167	-1
0.70000	-1
0.70833	-1
0.71667	-1
0.72500	-1
0.73333	-1
0.74167	-1
0.75000	-1
0.75833	-2
0.76667	-2
0.77500	-2
0.78333	-3
0.79167	-3
0.80000	-3
0.80833	-3
0.81667	-3
0.82500	-2
0.83333	-2
0.84167	-2
0.85000	-2
0.85833	-1
0.86667	-1
0.87500	-1
0.88333	-1
0.89167	-1
0.90000	-1
0.90833	-1
0.91667	-1
0.92500	-1
0.93333	-1
0.94167	-0
0.95000	0
0.95833	-0
0.96667	-0
0.97500	-0
0.98333	0
0.99167	0
1.00000	0
1.00833	0
1.01667	-0
1.02500	-1
1.03333	-1
1.04167	-1
1.05000	-1
1.05833	-0
1.06667	0
1.07500	1
1.08333	1
1.09167	1
1.10000	0
1.10833	0
1.11667	0
1.12500	0
1.13333	0
1.14167	-0
1.15000	-0
1.15833	-1
1.16667	-1
1.17500	-1
1.18333	-1
1.19167	-1
1.20000	-1
1.20833	-1
1.21667	-1
1.22500	-1
1.23333	-1
1.24167	-1
1.25000	-1
1.25833	-2
1.26667	-2
1.27500	-1
1.28333	-1
1.29167	-2
1.30000	-2
1.30833	-2
1.31667	-2
1.32500	-2
1.33333	-2
1.34167	-2
1.35000	-2
1.35833	-3
1.36667	-3
1.37500	-3
1.38333	-3
1.39167	-3
1.40000	-3
1.40833	-3
1.41667	-3
1.42500	-3
1.43333	-3
1.44167	-3
1.45000	-3
1.45833	-3
1.46667	-3
1.47500	-3
1.48333	-3
1.49167	-3
1.50000	-3
1.50833	-3
1.51667	-3
1.52500	-3
1.53333	-3
1.54167	-3
1.55000	-2
1.55833	-2
1.56667	-2
1.57500	-2
1.58333	-3
1.59167	-3
1.60000	-3
1.60833	-3
1.61667	-3
1.62500	-3
1.63333	-2
1.64167	-2
1.65000	-2
1.65833	-2
1.66667	-2
1.67500	-2
1.68333	-2
1.69167	-2
1.70000	-2
1.70833	-2
1.71667	-2
1.72500	-2
1.73333	-2
1.74167	-2
1.75000	-2
1.75833	-3
1.76667	-3
1.77500	-3
1.78333	-4
1.79167	-3
1.80000	-3
1.80833	-3
1.81667	-3
1.82500	-3
1.83333	-3
1.84167	-3
1.85000	-3
1.85833	-4
1.86667	-4
1.87500	-3
1.88333	-3
1.89167	-3
1.90000	-3
1.90833	-3
1.91667	-3
1.92500	-4
1.93333	-4
1.94167	-4
1.95000	-4
1.95833	-4
1.96667	-5
1.97500	-5
1.98333	-5
1.99167	-5
2.00000	-5
2.00833	-5
2.01667	-6
2.02500	-6
2.03333	-6
2.04167	-6
2.05000	-6
2.05833	-6
2.06667	-6
2.07500	-6
2.08333	-7
2.09167	-7
2.10000	-8
2.10833	-8
2.11667	-8
2.12500	-8
2.13333	-8
2.14167	-8
2.15000	-9
2.15833	-9
2.16667	-9
2.17500	-9
2.18333	-9
2.19167	-9
2.20000	-9
2.20833	-9
2.21667	-9
2.22500	-10
2.23333	-10
2.24167	-10
2.25000	-10
2.25833	-10
2.26667	-10
2.27500	-10
2.28333	-9
2.29167	-9
2.30000	-9
2.30833	-9
2.31667	-9
2.32500	-9
2.33333	-9
2.34167	-9
2.35000	-9
2.35833	-9
2.36667	-9
2.37500	-9
2.38333	-9
2.39167	-10
2.40000	-10
2.40833	-10
2.41667	-10
2.42500	-10
2.43333	-9
2.44167	-9
2.45000	-9
2.45833	-9
2.46667	-9
2.47500	-9
2.48333	-9
2.49167	-9
2.50000	-8
2.50833	-8
2.51667	-8
2.52500	-9
2.53333	-8
2.54167	-8
2.55000	-8
2.55833	-8
2.56667	-8
2.57500	-8
2.58333	-8
2.59167	-8
2.60000	-8
2.60833	-8
2.61667	-8
2.62500	-7
2.63333	-8
2.64167	-8
2.65000	-8
2.65833	-8
2.66667	-8
2.67500	-8
2.68333	-8
2.69167	-8
2.70000	-8
2.70833	-8
2.71667	-8
2.72500	-8
2.73333	-8
2.74167	-9
2.75000	-9
2.75833	-9
2.76667	-9
2.77500	-9
2.78333	-9
2.79167	-9
2.80000	-10
2.80833	-10
2.81667	-10
2.82500	-10
2.83333	-10
2.84167	-10
2.85000	-10
2.85833	-10
2.86667	-10
2.87500	-10
2.88333	-10
2.89167	-11
2.90000	-11
2.90833	-11
2.91667	-11
2.92500	-11
2.93333	-11
2.94167	-11
2.95000	-11
2.95833	-11
2.96667	-11
2.97500	-11
2.98333	-11
2.99167	-10
3.00000	-10
3.00833	-10
3.01667	-10
3.02500	-10
3.03333	-10
3.04167	-10
3.05000	-11
3.05833	-11
3.06667	-11
3.07500	-11
3.08333	-11
3.09167	-11
3.10000	-11
3.10833	-11
3.11667	-11
3.12500	-11
3.13333	-11
3.14167	-11
3.15000	-11
3.15833	-11
3.16667	-11
3.17500	-10
3.18333	-11
3.19167	-11
3.20000	-11
3.20833	-11
3.21667	-11
3.22500	-10
3.23333	-10
3.24167	-9
3.25000	-9
3.25833	-9
3.26667	-8
3.27500	-8
3.28333	-8
3.29167	-8
3.30000	-8
3.30833	-9
3.31667	-9
3.32500	-9
3.33333	-8
3.34167	-8
3.35000	-8
3.35833	-8
3.36667	-8
3.37500	-8
3.38333	-8
3.39167	-7
3.40000	-7
3.40833	-8
3.41667	-8
3.42500	-8
3.43333	-8
3.44167	-8
3.45000	-8
3.45833	-8
3.46667	-8
3.47500	-7
3.48333	-7
3.49167	-7
3.50000	-6
3.50833	-6
3.51667	-6
3.52500	-6
3.53333	-6
3.54167	-6
3.55000	-6
3.55833	-6
3.56667	-6
3.57500	-6
3.58333	-6
3.59167	-6
3.60000	-5
3.60833	-5
3.61667	-5
3.62500	-5
3.63333	-5
3.64167	-4
3.65000	-4
3.65833	-4
3.66667	-4
3.67500	-4
3.68333	-4
3.69167	-4
3.70000	-4
3.70833	-4
3.71667	-4
3.72500	-3
3.73333	-3
3.74167	-3
3.75000	-2
3.75833	-2
3.76667	-2
3.77500	-2
3.78333	-3
3.79167	-2
3.80000	-2
3.80833	-2
3.81667	-2
3.82500	-1
3.83333	-1
3.84167	-1
3.85000	-1
3.85833	-1
3.86667	-1
3.87500	-1
3.88333	-0
3.89167	0
3.90000	1
3.90833	1
3.91667	1
3.92500	1
3.93333	1
3.94167	2
3.95000	2
3.95833	2
3.96667	2
3.97500	2
3.98333	1
3.99167	1
4.00000	1
4.00833	2
4.01667	2
4.02500	1
4.03333	1
4.04167	1
4.05000	1
4.05833	0
4.06667	1
4.07500	1
4.08333	1
4.09167	1
4.10000	1
4.10833	1
4.11667	1
4.12500	1
4.13333	2
4.14167	2
4.15000	2
4.15833	2
4.16667	2
4.17500	3
4.18333	3
4.19167	3
4.20000	3
4.20833	3
4.21667	3
4.22500	3
