R.Time (min)	Intensity
0.00000	2
0.00833	2
0.01667	-0
0.02500	-0
0.03333	-0
0.04167	-0
0.05000	-1
0.05833	-1
0.06667	-1
0.07500	-1
0.08333	-1
0.09167	-1
0.10000	-1
0.10833	-1
0.11667	-1
0.12500	-0
0.13333	0
0.14167	0
0.15000	0
0.15833	0
0.16667	0
0.17500	0
0.18333	0
0.19167	0
0.20000	0
0.20833	0
0.21667	0
0.22500	0
0.23333	0
0.24167	-0
0.25000	-0
0.25833	0
0.26667	0
0.27500	0
0.28333	1
0.29167	1
0.30000	1
0.30833	1
0.31667	1
0.32500	1
0.33333	1
0.34167	1
0.35000	1
0.35833	1
0.36667	1
0.37500	1
0.38333	1
0.39167	1
0.40000	1
0.40833	1
0.41667	1
0.42500	1
0.43333	1
0.44167	1
0.45000	1
0.45833	1
0.46667	1
0.47500	1
0.48333	0
0.49167	0
0.50000	-0
0.50833	0
0.51667	0
0.52500	1
0.53333	1
0.54167	1
0.55000	1
0.55833	1
0.56667	0
0.57500	1
0.58333	1
0.59167	1
0.60000	1
0.60833	0
0.61667	0
0.62500	-0
0.63333	-0
0.64167	-0
0.65000	-0
0.65833	-0
0.66667	0
0.67500	-0
0.68333	-0
0.69167	-1
0.70000	-1
0.70833	-1
0.71667	-1
0.72500	-2
0.73333	-2
0.74167	-1
0.75000	-1
0.75833	-1
0.76667	-1
0.77500	-1
0.78333	-1
0.79167	-1
0.80000	-1
0.80833	-1
0.81667	-1
0.82500	-1
0.83333	-1
0.84167	-1
0.85000	-1
0.85833	-1
0.86667	-1
0.87500	-1
0.88333	-1
0.89167	-1
0.90000	-1
0.90833	-1
0.91667	-1
0.92500	-0
0.93333	0
0.94167	1
0.95000	1
0.95833	1
0.96667	1
0.97500	1
0.98333	1
0.99167	0
1.00000	0
1.00833	1
1.01667	1
1.02500	1
1.03333	1
1.04167	2
1.05000	2
1.05833	2
1.06667	2
1.07500	2
1.08333	2
1.09167	2
1.10000	3
1.10833	3
1.11667	3
