R.Time (min)	Intensity
0.00000	-4
0.00833	-4
0.01667	-0
0.02500	-0
0.03333	-0
0.04167	-0
0.05000	-1
0.05833	-1
0.06667	-1
0.07500	-1
0.08333	-1
0.09167	-0
0.10000	-0
0.10833	-1
0.11667	-1
0.12500	-1
0.13333	-2
0.14167	-2
0.15000	-2
0.15833	-2
0.16667	-2
0.17500	-1
0.18333	-0
0.19167	0
0.20000	1
0.20833	1
0.21667	1
0.22500	0
0.23333	-0
0.24167	-0
0.25000	-0
0.25833	-0
0.26667	-0
0.27500	-1
0.28333	-1
0.29167	-1
0.30000	-1
0.30833	-1
0.31667	-1
0.32500	-1
0.33333	-0
0.34167	-0
0.35000	0
0.35833	-0
0.36667	-1
0.37500	-1
0.38333	-1
0.39167	-0
0.40000	-0
0.40833	-1
0.41667	-1
0.42500	-1
0.43333	-1
0.44167	-1
0.45000	-1
0.45833	-1
0.46667	-1
0.47500	-1
0.48333	-1
0.49167	-1
0.50000	-1
0.50833	-1
0.51667	-1
0.52500	-1
0.53333	-1
0.54167	-1
0.55000	-0
0.55833	0
0.56667	1
0.57500	1
0.58333	1
0.59167	1
0.60000	1
0.60833	1
0.61667	1
0.62500	1
0.63333	1
0.64167	2
0.65000	2
0.65833	3
0.66667	3
0.67500	3
0.68333	3
0.69167	3
0.70000	3
0.70833	3
0.71667	2
0.72500	2
0.73333	3
0.74167	3
0.75000	4
0.75833	5
0.76667	5
0.77500	5
0.78333	4
0.79167	4
0.80000	3
0.80833	3
0.81667	3
0.82500	3
0.83333	3
0.84167	3
0.85000	2
0.85833	2
0.86667	2
0.87500	1
0.88333	1
0.89167	1
0.90000	1
0.90833	0
0.91667	1
0.92500	1
0.93333	1
0.94167	2
0.95000	2
0.95833	2
0.96667	2
0.97500	2
0.98333	2
0.99167	2
1.00000	1
1.00833	1
1.01667	1
1.02500	2
1.03333	1
1.04167	0
1.05000	-0
1.05833	0
1.06667	0
1.07500	0
1.08333	-0
1.09167	-0
1.10000	-0
1.10833	-1
1.11667	-1
1.12500	-1
1.13333	-1
1.14167	-0
1.15000	0
1.15833	0
1.16667	1
1.17500	1
1.18333	1
1.19167	2
1.20000	2
1.20833	2
1.21667	2
1.22500	3
1.23333	3
1.24167	3
1.25000	3
1.25833	2
1.26667	2
1.27500	3
1.28333	3
1.29167	3
1.30000	3
1.30833	4
1.31667	3
1.32500	3
1.33333	4
1.34167	4
1.35000	4
1.35833	4
1.36667	3
1.37500	3
1.38333	3
1.39167	2
1.40000	3
1.40833	3
1.41667	4
1.42500	4
1.43333	4
1.44167	4
1.45000	4
1.45833	4
1.46667	4
1.47500	5
1.48333	5
1.49167	5
1.50000	5
1.50833	5
1.51667	5
1.52500	5
1.53333	6
1.54167	6
1.55000	6
1.55833	6
1.56667	6
1.57500	6
1.58333	6
1.59167	6
1.60000	6
1.60833	6
1.61667	5
1.62500	5
1.63333	5
1.64167	5
1.65000	5
1.65833	4
1.66667	3
1.67500	3
1.68333	3
1.69167	2
1.70000	3
1.70833	3
1.71667	4
1.72500	4
1.73333	4
1.74167	4
1.75000	4
1.75833	4
1.76667	4
1.77500	3
1.78333	3
1.79167	3
1.80000	3
1.80833	3
1.81667	3
1.82500	4
1.83333	4
1.84167	4
1.85000	4
1.85833	4
1.86667	4
1.87500	3
1.88333	3
1.89167	2
1.90000	2
1.90833	2
1.91667	2
1.92500	3
1.93333	3
1.94167	4
1.95000	4
1.95833	4
1.96667	4
1.97500	3
1.98333	3
1.99167	4
2.00000	4
2.00833	5
2.01667	5
2.02500	5
2.03333	5
2.04167	6
2.05000	6
2.05833	6
2.06667	6
2.07500	6
2.08333	6
2.09167	6
2.10000	6
2.10833	6
2.11667	6
2.12500	6
2.13333	6
2.14167	6
2.15000	6
2.15833	7
2.16667	7
2.17500	7
2.18333	6
2.19167	6
2.20000	6
2.20833	6
2.21667	6
2.22500	6
2.23333	6
2.24167	6
2.25000	6
2.25833	6
2.26667	6
2.27500	6
2.28333	6
2.29167	6
2.30000	6
2.30833	7
2.31667	7
2.32500	8
2.33333	9
2.34167	9
2.35000	9
2.35833	8
2.36667	7
2.37500	6
2.38333	6
2.39167	5
2.40000	5
2.40833	5
2.41667	5
2.42500	5
2.43333	6
2.44167	6
2.45000	6
2.45833	6
2.46667	5
2.47500	5
2.48333	5
2.49167	5
2.50000	5
2.50833	4
2.51667	4
2.52500	4
2.53333	4
2.54167	4
2.55000	4
2.55833	4
2.56667	4
2.57500	4
2.58333	4
2.59167	4
2.60000	4
2.60833	4
2.61667	4
2.62500	3
2.63333	3
2.64167	3
2.65000	3
2.65833	3
2.66667	2
2.67500	2
2.68333	3
2.69167	3
2.70000	3
2.70833	3
2.71667	3
2.72500	4
2.73333	4
2.74167	4
2.75000	4
2.75833	4
2.76667	4
2.77500	4
2.78333	3
2.79167	3
2.80000	3
2.80833	2
2.81667	2
2.82500	3
2.83333	3
2.84167	3
2.85000	3
2.85833	3
2.86667	3
2.87500	3
2.88333	4
2.89167	4
2.90000	4
2.90833	4
2.91667	4
2.92500	2
2.93333	2
2.94167	1
2.95000	2
2.95833	2
2.96667	2
2.97500	3
2.98333	3
2.99167	3
3.00000	3
3.00833	4
3.01667	4
3.02500	4
3.03333	4
3.04167	4
3.05000	4
3.05833	4
3.06667	4
3.07500	4
3.08333	4
3.09167	4
3.10000	4
3.10833	4
3.11667	4
3.12500	4
3.13333	4
3.14167	4
3.15000	4
3.15833	4
3.16667	4
3.17500	4
3.18333	4
3.19167	4
3.20000	4
3.20833	4
3.21667	4
3.22500	4
3.23333	4
3.24167	4
3.25000	4
3.25833	4
3.26667	4
3.27500	4
3.28333	4
3.29167	4
3.30000	4
3.30833	4
3.31667	4
3.32500	4
3.33333	4
3.34167	4
3.35000	4
3.35833	4
3.36667	4
3.37500	4
3.38333	4
3.39167	4
3.40000	4
3.40833	4
3.41667	4
3.42500	4
3.43333	5
3.44167	5
3.45000	6
3.45833	6
3.46667	6
3.47500	6
3.48333	6
3.49167	6
3.50000	6
3.50833	6
3.51667	6
3.52500	6
3.53333	6
3.54167	7
3.55000	7
3.55833	7
3.56667	7
3.57500	7
3.58333	8
3.59167	8
3.60000	8
3.60833	8
3.61667	8
3.62500	8
3.63333	8
3.64167	9
3.65000	9
3.65833	9
3.66667	9
3.67500	9
3.68333	9
3.69167	9
3.70000	9
3.70833	9
3.71667	8
3.72500	8
3.73333	8
3.74167	8
3.75000	8
3.75833	8
3.76667	8
3.77500	8
3.78333	8
3.79167	8
3.80000	8
3.80833	9
3.81667	9
3.82500	9
3.83333	10
3.84167	9
3.85000	9
3.85833	9
3.86667	10
3.87500	10
3.88333	10
3.89167	10
3.90000	10
3.90833	10
3.91667	10
3.92500	9
3.93333	9
3.94167	9
3.95000	9
3.95833	9
3.96667	10
3.97500	9
3.98333	9
3.99167	9
4.00000	8
4.00833	8
4.01667	8
4.02500	8
4.03333	8
4.04167	8
4.05000	9
4.05833	9
4.06667	9
4.07500	9
4.08333	9
4.09167	9
4.10000	9
4.10833	9
4.11667	9
4.12500	9
4.13333	9
4.14167	10
4.15000	9
4.15833	9
4.16667	9
4.17500	8
4.18333	8
4.19167	9
4.20000	9
4.20833	9
4.21667	8
4.22500	9
4.23333	9
4.24167	8
4.25000	9
4.25833	8
4.26667	8
4.27500	8
4.28333	8
4.29167	7
4.30000	7
4.30833	7
4.31667	6
4.32500	6
4.33333	6
4.34167	6
4.35000	6
4.35833	7
4.36667	6
4.37500	6
4.38333	6
4.39167	6
4.40000	6
4.40833	6
4.41667	6
4.42500	6
4.43333	6
4.44167	6
4.45000	6
4.45833	6
4.46667	6
4.47500	6
4.48333	6
4.49167	6
4.50000	6
4.50833	6
4.51667	6
4.52500	6
4.53333	6
4.54167	6
4.55000	6
4.55833	6
4.56667	6
4.57500	6
4.58333	6
4.59167	6
4.60000	6
4.60833	6
4.61667	6
4.62500	6
4.63333	5
4.64167	5
4.65000	5
4.65833	5
4.66667	5
4.67500	5
4.68333	6
4.69167	5
4.70000	5
4.70833	5
4.71667	6
4.72500	6
4.73333	5
4.74167	5
4.75000	5
4.75833	4
4.76667	5
4.77500	5
4.78333	5
4.79167	5
4.80000	5
4.80833	4
4.81667	4
4.82500	5
4.83333	5
4.84167	5
4.85000	5
4.85833	5
4.86667	4
4.87500	4
4.88333	4
4.89167	4
4.90000	4
4.90833	4
4.91667	3
4.92500	3
4.93333	3
4.94167	3
4.95000	3
4.95833	3
4.96667	3
4.97500	3
4.98333	4
4.99167	4
5.00000	5
5.00833	4
5.01667	4
5.02500	4
5.03333	4
5.04167	4
5.05000	4
5.05833	4
5.06667	4
5.07500	4
5.08333	4
5.09167	4
5.10000	4
5.10833	4
5.11667	4
5.12500	4
5.13333	4
5.14167	4
5.15000	5
5.15833	4
5.16667	4
5.17500	5
5.18333	5
5.19167	5
5.20000	5
5.20833	5
5.21667	5
5.22500	5
5.23333	4
5.24167	4
5.25000	4
5.25833	4
5.26667	4
5.27500	4
5.28333	4
5.29167	4
5.30000	4
5.30833	4
5.31667	4
5.32500	4
5.33333	3
5.34167	3
5.35000	3
5.35833	3
5.36667	3
5.37500	3
5.38333	4
5.39167	4
5.40000	3
5.40833	3
5.41667	3
5.42500	4
5.43333	4
5.44167	4
5.45000	4
5.45833	5
5.46667	4
5.47500	4
5.48333	4
5.49167	3
5.50000	4
5.50833	4
5.51667	4
5.52500	4
5.53333	3
5.54167	3
5.55000	3
5.55833	3
5.56667	3
5.57500	3
5.58333	3
5.59167	3
5.60000	4
5.60833	4
5.61667	4
5.62500	4
5.63333	4
5.64167	4
5.65000	4
5.65833	4
5.66667	4
5.67500	4
5.68333	4
5.69167	4
5.70000	4
5.70833	4
5.71667	4
5.72500	5
5.73333	5
5.74167	5
5.75000	4
5.75833	4
5.76667	5
5.77500	5
5.78333	5
5.79167	5
5.80000	5
5.80833	5
5.81667	5
5.82500	5
5.83333	5
5.84167	5
5.85000	6
5.85833	5
5.86667	5
5.87500	5
5.88333	5
5.89167	5
5.90000	5
5.90833	5
5.91667	5
5.92500	5
5.93333	6
5.94167	6
5.95000	6
5.95833	6
5.96667	6
5.97500	6
5.98333	6
5.99167	6
6.00000	6
6.00833	6
6.01667	6
6.02500	6
6.03333	7
6.04167	7
6.05000	7
6.05833	7
6.06667	7
6.07500	7
6.08333	7
6.09167	7
6.10000	7
6.10833	7
6.11667	8
6.12500	8
6.13333	8
6.14167	7
6.15000	7
6.15833	7
6.16667	7
6.17500	7
6.18333	7
6.19167	7
6.20000	7
6.20833	7
6.21667	7
6.22500	7
6.23333	7
6.24167	7
6.25000	7
6.25833	7
6.26667	7
6.27500	7
6.28333	7
6.29167	8
6.30000	8
6.30833	9
6.31667	9
6.32500	9
6.33333	9
6.34167	9
6.35000	9
6.35833	9
6.36667	9
6.37500	9
6.38333	10
6.39167	10
6.40000	10
6.40833	10
6.41667	11
6.42500	11
6.43333	11
6.44167	12
6.45000	12
6.45833	12
6.46667	12
6.47500	11
6.48333	11
6.49167	11
6.50000	11
6.50833	11
6.51667	11
6.52500	10
6.53333	10
6.54167	10
