"","int"
"0",-1.328
"0.00833581423042572",-0.061
"0.0166716284608514",-0.066
"0.0250074426912772",-0.086
"0.0333432569217029",-0.08
"0.0416790711521286",-0.166
"0.0500148853825543",-0.257
"0.0583506996129801",-0.353
"0.0666865138434058",-0.351
"0.0750223280738315",-0.236
"0.0833581423042572",-0.099
"0.0916939565346829",-0.078
"0.100029770765109",-0.173
"0.108365584995534",-0.35
"0.11670139922596",-0.463
"0.125037213456386",-0.485
"0.133373027686812",-0.482
"0.141708841917237",-0.512
"0.150044656147663",-0.545
"0.158380470378089",-0.473
"0.166716284608514",-0.358
"0.17505209883894",-0.132
"0.183387913069366",0.066
"0.191723727299792",0.196
"0.200059541530217",0.25
"0.208395355760643",0.191
"0.216731169991069",0.036
"0.225066984221495",-0.046
"0.23340279845192",-0.063
"0.241738612682346",-0.09
"0.250074426912772",-0.062
"0.258410241143197",-0.115
"0.266746055373623",-0.165
"0.275081869604049",-0.187
"0.283417683834475",-0.264
"0.2917534980649",-0.325
"0.300089312295326",-0.331
"0.308425126525752",-0.228
"0.316760940756177",-0.164
"0.325096754986603",-0.065
"0.333432569217029",-0.005
"0.341768383447455",0
"0.35010419767788",-0.082
"0.358440011908306",-0.18
"0.366775826138732",-0.194
"0.375111640369158",-0.168
"0.383447454599583",-0.112
"0.391783268830009",-0.145
"0.400119083060435",-0.194
"0.40845489729086",-0.208
"0.416790711521286",-0.245
"0.425126525751712",-0.281
"0.433462339982138",-0.341
"0.441798154212563",-0.391
"0.450133968442989",-0.381
"0.458469782673415",-0.328
"0.46680559690384",-0.325
"0.475141411134266",-0.355
"0.483477225364692",-0.346
"0.491813039595118",-0.368
"0.500148853825543",-0.382
"0.508484668055969",-0.37
"0.516820482286395",-0.309
"0.52515629651682",-0.269
"0.533492110747246",-0.203
"0.541827924977672",-0.088
"0.550163739208098",0.028
"0.558499553438523",0.191
"0.566835367668949",0.336
"0.575171181899375",0.31
"0.583506996129801",0.239
"0.591842810360226",0.261
"0.600178624590652",0.258
"0.608514438821078",0.281
"0.616850253051503",0.319
"0.625186067281929",0.416
"0.633521881512355",0.507
"0.641857695742781",0.655
"0.650193509973206",0.866
"0.658529324203632",0.95
"0.666865138434058",0.931
"0.675200952664484",0.886
"0.683536766894909",0.878
"0.691872581125335",0.836
"0.700208395355761",0.808
"0.708544209586186",0.742
"0.716880023816612",0.711
"0.725215838047038",0.811
"0.733551652277464",1.034
"0.741887466507889",1.25
"0.750223280738315",1.406
"0.758559094968741",1.443
"0.766894909199166",1.438
"0.775230723429592",1.316
"0.783566537660018",1.177
"0.791902351890444",1.033
"0.800238166120869",0.89
"0.808573980351295",0.88
"0.816909794581721",0.919
"0.825245608812146",0.894
"0.833581423042572",0.803
"0.841917237272998",0.711
"0.850253051503424",0.592
"0.858588865733849",0.52
"0.866924679964275",0.457
"0.875260494194701",0.383
"0.883596308425127",0.262
"0.891932122655552",0.172
"0.900267936885978",0.15
"0.908603751116404",0.183
"0.916939565346829",0.237
"0.925275379577255",0.361
"0.933611193807681",0.467
"0.941947008038107",0.49
"0.950282822268532",0.5
"0.958618636498958",0.5
"0.966954450729384",0.495
"0.97529026495981",0.511
"0.983626079190235",0.546
"0.991961893420661",0.461
"1.00029770765109",0.43
"1.00863352188151",0.461
"1.01696933611194",0.467
"1.02530515034236",0.269
"1.03364096457279",0.04
"1.04197677880322",-0.019
"1.05031259303364",0.04
"1.05864840726407",0.084
"1.06698422149449",0.022
"1.07532003572492",-0.047
"1.08365584995534",-0.1
"1.09199166418577",-0.115
"1.1003274784162",-0.194
"1.10866329264662",-0.296
"1.11699910687705",-0.287
"1.12533492110747",-0.186
"1.1336707353379",-0.026
"1.14200654956832",0.084
"1.15034236379875",0.095
"1.15867817802918",0.184
"1.1670139922596",0.341
"1.17534980649003",0.44
"1.18368562072045",0.52
"1.19202143495088",0.607
"1.2003572491813",0.637
"1.20869306341173",0.706
"1.21702887764216",0.783
"1.22536469187258",0.836
"1.23370050610301",0.854
"1.24203632033343",0.795
"1.25037213456386",0.761
"1.25870794879428",0.75
"1.26704376302471",0.788
"1.27537957725514",0.838
"1.28371539148556",0.909
"1.29205120571599",1.062
"1.30038701994641",1.1
"1.30872283417684",1.07
"1.31705864840726",1.078
"1.32539446263769",1.146
"1.33373027686812",1.256
"1.34206609109854",1.309
"1.35040190532897",1.27
"1.35873771955939",1.067
"1.36707353378982",0.888
"1.37540934802024",0.775
"1.38374516225067",0.771
"1.3920809764811",0.849
"1.40041679071152",0.996
"1.40875260494195",1.145
"1.41708841917237",1.292
"1.4254242334028",1.325
"1.43376004763322",1.347
"1.44209586186365",1.31
"1.45043167609408",1.301
"1.4587674903245",1.369
"1.46710330455493",1.446
"1.47543911878535",1.395
"1.48377493301578",1.412
"1.4921107472462",1.425
"1.50044656147663",1.443
"1.50878237570706",1.492
