"","int"
"0",-0.736
"0.00833581423042572",-0.039
"0.0166716284608514",-0.062
"0.0250074426912772",-0.023
"0.0333432569217029",-0.05
"0.0416790711521286",-0.205
"0.0500148853825543",-0.293
"0.0583506996129801",-0.322
"0.0666865138434058",-0.279
"0.0750223280738315",-0.211
"0.0833581423042572",-0.159
"0.0916939565346829",-0.024
"0.100029770765109",0.088
"0.108365584995534",0.1
"0.11670139922596",0.106
"0.125037213456386",0.148
"0.133373027686812",0.15
"0.141708841917237",0.168
"0.150044656147663",0.151
"0.158380470378089",0.073
"0.166716284608514",0.002
"0.17505209883894",-0.016
"0.183387913069366",-0.05
"0.191723727299792",-0.017
"0.200059541530217",-0.012
"0.208395355760643",-0.018
"0.216731169991069",0.057
"0.225066984221495",0.18
"0.23340279845192",0.24
"0.241738612682346",0.181
"0.250074426912772",-0.006
"0.258410241143197",-0.155
"0.266746055373623",-0.2
"0.275081869604049",-0.194
"0.283417683834475",-0.125
"0.2917534980649",0.006
"0.300089312295326",0.132
"0.308425126525752",0.125
"0.316760940756177",0.159
"0.325096754986603",0.24
"0.333432569217029",0.307
"0.341768383447455",0.38
"0.35010419767788",0.4
"0.358440011908306",0.406
"0.366775826138732",0.413
"0.375111640369158",0.377
"0.383447454599583",0.351
"0.391783268830009",0.41
"0.400119083060435",0.427
"0.40845489729086",0.361
"0.416790711521286",0.214
"0.425126525751712",0.126
"0.433462339982138",0.042
"0.441798154212563",0.034
"0.450133968442989",0.136
"0.458469782673415",0.211
"0.46680559690384",0.235
"0.475141411134266",0.212
"0.483477225364692",0.132
"0.491813039595118",0.056
"0.500148853825543",0.066
"0.508484668055969",0.082
"0.516820482286395",0.143
"0.52515629651682",0.194
"0.533492110747246",0.157
"0.541827924977672",-0.007
"0.550163739208098",-0.123
"0.558499553438523",-0.172
"0.566835367668949",-0.152
"0.575171181899375",-0.15
"0.583506996129801",-0.09
"0.591842810360226",0.067
"0.600178624590652",0.137
"0.608514438821078",0.122
"0.616850253051503",0.1
"0.625186067281929",0.102
"0.633521881512355",0.157
"0.641857695742781",0.221
"0.650193509973206",0.209
"0.658529324203632",0.274
"0.666865138434058",0.304
"0.675200952664484",0.317
"0.683536766894909",0.257
"0.691872581125335",0.276
"0.700208395355761",0.306
"0.708544209586186",0.256
"0.716880023816612",0.228
"0.725215838047038",0.166
"0.733551652277464",0.062
"0.741887466507889",0.002
"0.750223280738315",0
"0.758559094968741",0.062
"0.766894909199166",0.155
"0.775230723429592",0.16
"0.783566537660018",0.078
"0.791902351890444",0.033
"0.800238166120869",-0.003
"0.808573980351295",-0.074
"0.816909794581721",-0.155
"0.825245608812146",-0.19
"0.833581423042572",-0.135
"0.841917237272998",-0.026
"0.850253051503424",0.057
"0.858588865733849",0.165
"0.866924679964275",0.2
"0.875260494194701",0.161
"0.883596308425127",0.173
"0.891932122655552",0.155
"0.900267936885978",0.13
"0.908603751116404",0.017
"0.916939565346829",-0.058
"0.925275379577255",-0.131
"0.933611193807681",-0.036
"0.941947008038107",0.064
"0.950282822268532",0.083
"0.958618636498958",0.057
"0.966954450729384",0.069
"0.97529026495981",0.009
"0.983626079190235",-0.07
"0.991961893420661",-0.087
"1.00029770765109",-0.032
"1.00863352188151",-0.014
"1.01696933611194",-0.084
"1.02530515034236",-0.04
"1.03364096457279",-0.025
"1.04197677880322",-0.052
"1.05031259303364",-0.09
"1.05864840726407",-0.063
"1.06698422149449",0.032
"1.07532003572492",0.159
"1.08365584995534",0.2
"1.09199166418577",0.135
"1.1003274784162",-0.017
"1.10866329264662",-0.099
"1.11699910687705",-0.222
"1.12533492110747",-0.3
"1.1336707353379",-0.267
"1.14200654956832",-0.196
"1.15034236379875",-0.078
"1.15867817802918",-0.004
"1.1670139922596",-0.017
"1.17534980649003",-0.028
"1.18368562072045",-0.031
"1.19202143495088",-0.082
"1.2003572491813",-0.156
"1.20869306341173",-0.175
"1.21702887764216",-0.151
"1.22536469187258",-0.138
"1.23370050610301",-0.11
"1.24203632033343",-0.159
"1.25037213456386",-0.234
"1.25870794879428",-0.275
"1.26704376302471",-0.249
"1.27537957725514",-0.239
"1.28371539148556",-0.27
"1.29205120571599",-0.288
"1.30038701994641",-0.344
"1.30872283417684",-0.385
"1.31705864840726",-0.381
"1.32539446263769",-0.329
"1.33373027686812",-0.313
"1.34206609109854",-0.304
"1.35040190532897",-0.307
"1.35873771955939",-0.237
"1.36707353378982",-0.117
"1.37540934802024",-0.025
"1.38374516225067",0.014
"1.3920809764811",0.031
"1.40041679071152",-0.031
"1.40875260494195",-0.192
"1.41708841917237",-0.31
"1.4254242334028",-0.333
"1.43376004763322",-0.375
"1.44209586186365",-0.408
"1.45043167609408",-0.448
"1.4587674903245",-0.499
"1.46710330455493",-0.564
"1.47543911878535",-0.658
"1.48377493301578",-0.764
"1.4921107472462",-0.721
"1.50044656147663",-0.615
"1.50878237570706",-0.537
"1.51711818993748",-0.515
"1.52545400416791",-0.5
"1.53378981839833",-0.453
"1.54212563262876",-0.46
"1.55046144685918",-0.499
"1.55879726108961",-0.576
"1.56713307532004",-0.666
"1.57546888955046",-0.661
"1.58380470378089",-0.582
"1.59214051801131",-0.431
"1.60047633224174",-0.341
"1.60881214647216",-0.297
"1.61714796070259",-0.275
"1.62548377493302",-0.332
"1.63381958916344",-0.436
"1.64215540339387",-0.588
"1.65049121762429",-0.64
"1.65882703185472",-0.639
"1.66716284608514",-0.682
"1.67549866031557",-0.754
"1.683834474546",-0.889
"1.69217028877642",-1
"1.70050610300685",-1.006
"1.70884191723727",-0.925
"1.7171777314677",-0.858
"1.72551354569812",-0.818
"1.73384935992855",-0.82
"1.74218517415898",-0.766
"1.7505209883894",-0.794
"1.75885680261983",-0.919
"1.76719261685025",-1.007
"1.77552843108068",-1.017
"1.7838642453111",-1.017
"1.79220005954153",-1.006
"1.80053587377196",-1
"1.80887168800238",-1
"1.81720750223281",-1
"1.82554331646323",-0.966
"1.83387913069366",-1.042
"1.84221494492408",-1.121
"1.85055075915451",-1.161
"1.85888657338494",-1.196
"1.86722238761536",-1.232
"1.87555820184579",-1.284
"1.88389401607621",-1.347
"1.89222983030664",-1.407
"1.90056564453706",-1.422
"1.90890145876749",-1.4
"1.91723727299792",-1.399
"1.92557308722834",-1.499
"1.93390890145877",-1.631
"1.94224471568919",-1.685
"1.95058052991962",-1.647
"1.95891634415004",-1.522
"1.96725215838047",-1.359
"1.9755879726109",-1.275
"1.98392378684132",-1.257
"1.99225960107175",-1.234
"2.00059541530217",-1.201
"2.0089312295326",-1.134
"2.01726704376302",-1.166
"2.02560285799345",-1.173
"2.03393867222388",-1.15
"2.0422744864543",-1.132
"2.05061030068473",-1.031
"2.05894611491515",-0.907
"2.06728192914558",-0.793
"2.07561774337601",-0.762
"2.08395355760643",-0.755
"2.09228937183686",-0.75
"2.10062518606728",-0.749
"2.10896100029771",-0.722
"2.11729681452813",-0.658
"2.12563262875856",-0.658
"2.13396844298898",-0.625
"2.14230425721941",-0.518
"2.15064007144984",-0.377
"2.15897588568026",-0.327
"2.16731169991069",-0.251
"2.17564751414111",-0.123
"2.18398332837154",-0.002
"2.19231914260196",0.034
"2.20065495683239",0.067
"2.20899077106282",0.031
"2.21732658529324",0
"2.22566239952367",0
"2.23399821375409",0.014
"2.24233402798452",0.129
"2.25066984221495",0.24
"2.25900565644537",0.32
"2.2673414706758",0.368
"2.27567728490622",0.4
"2.28401309913665",0.412
"2.29234891336707",0.438
"2.3006847275975",0.453
"2.30902054182793",0.452
"2.31735635605835",0.504
"2.32569217028878",0.724
"2.3340279845192",0.891
"2.34236379874963",1.022
"2.35069961298005",1.168
"2.35903542721048",1.227
"2.3673712414409",1.303
"2.37570705567133",1.417
"2.38404286990176",1.434
"2.39237868413218",1.362
"2.40071449836261",1.273
"2.40905031259303",1.25
"2.41738612682346",1.299
"2.42572194105389",1.384
"2.43405775528431",1.474
"2.44239356951474",1.549
"2.45072938374516",1.679
"2.45906519797559",1.93
"2.46740101220601",2.178
"2.47573682643644",2.25
"2.48407264066687",2.266
"2.49240845489729",2.341
"2.50074426912772",2.519
"2.50908008335814",2.657
"2.51741589758857",2.711
"2.52575171181899",2.725
"2.53408752604942",2.67
"2.54242334027985",2.582
"2.55075915451027",2.497
"2.5590949687407",2.468
"2.56743078297112",2.488
"2.57576659720155",2.61
"2.58410241143197",2.702
"2.5924382256624",2.731
"2.60077403989283",2.807
"2.60910985412325",2.937
"2.61744566835368",3.039
"2.6257814825841",3.13
"2.63411729681453",3.222
"2.64245311104495",3.385
"2.65078892527538",3.425
"2.65912473950581",3.4
"2.66746055373623",3.356
"2.67579636796666",3.29
"2.68413218219708",3.251
"2.69246799642751",3.211
"2.70080381065793",3.162
"2.70913962488836",3.103
"2.71747543911879",3.03
"2.72581125334921",3.063
"2.73414706757964",3.05
"2.74248288181006",3.061
"2.75081869604049",3.18
"2.75915451027091",3.257
"2.76749032450134",3.215
"2.77582613873177",3.111
"2.78416195296219",2.941
"2.79249776719262",2.784
"2.80083358142304",2.76
"2.80916939565347",2.798
"2.81750520988389",2.823
"2.82584102411432",2.85
"2.83417683834475",2.85
"2.84251265257517",2.804
"2.8508484668056",2.766
"2.85918428103602",2.717
"2.86752009526645",2.741
"2.87585590949687",2.8
"2.8841917237273",2.844
"2.89252753795773",2.823
"2.90086335218815",2.73
"2.90919916641858",2.621
"2.917534980649",2.541
"2.92587079487943",2.588
"2.93420660910985",2.697
"2.94254242334028",2.784
"2.95087823757071",2.873
"2.95921405180113",3.003
"2.96754986603156",3.046
"2.97588568026198",2.999
"2.98422149449241",2.975
"2.99255730872283",2.942
"3.00089312295326",2.833
"3.00922893718369",2.764
"3.01756475141411",2.767
"3.02590056564454",2.689
"3.03423637987496",2.621
"3.04257219410539",2.586
"3.05090800833581",2.525
"3.05924382256624",2.4
"3.06757963679667",2.281
"3.07591545102709",2.211
"3.08425126525752",2.058
"3.09258707948794",1.915
"3.10092289371837",1.789
"3.10925870794879",1.695
"3.11759452217922",1.723
"3.12593033640965",1.829
"3.13426615064007",1.863
"3.1426019648705",1.937
"3.15093777910092",1.983
"3.15927359333135",2.02
"3.16760940756177",2.05
"3.1759452217922",1.991
"3.18428103602263",2.005
"3.19261685025305",2.075
"3.20095266448348",2.188
"3.2092884787139",2.216
"3.21762429294433",2.149
"3.22596010717475",2.057
"3.23429592140518",1.983
"3.24263173563561",1.983
"3.25096754986603",1.881
"3.25930336409646",1.753
"3.26763917832688",1.704
"3.27597499255731",1.638
"3.28431080678773",1.636
"3.29264662101816",1.633
"3.30098243524859",1.626
"3.30931824947901",1.574
"3.31765406370944",1.562
"3.32598987793986",1.63
