"","int"
"0",0.054
"0.00833531864204884",0.034
"0.0166706372840977",0.065
"0.0250059559261465",0.094
"0.0333412745681954",0.102
"0.0416765932102442",0.073
"0.050011911852293",0.025
"0.0583472304943419",-0.02
"0.0666825491363907",-0.058
"0.0750178677784396",-0.078
"0.0833531864204884",-0.073
"0.0916885050625372",-0.065
"0.100023823704586",-0.081
"0.108359142346635",-0.118
"0.116694460988684",-0.154
"0.125029779630733",-0.162
"0.133365098272781",-0.128
"0.14170041691483",-0.068
"0.150035735556879",-0.016
"0.158371054198928",0.02
"0.166706372840977",0.041
"0.175041691483026",0.039
"0.183377010125074",0.013
"0.191712328767123",-0.012
"0.200047647409172",-0.017
"0.208382966051221",-0.031
"0.21671828469327",-0.07
"0.225053603335319",-0.113
"0.233388921977367",-0.121
"0.241724240619416",-0.09
"0.250059559261465",-0.038
"0.258394877903514",0.02
"0.266730196545563",0.066
"0.275065515187612",0.101
"0.283400833829661",0.141
"0.291736152471709",0.174
"0.300071471113758",0.188
"0.308406789755807",0.19
"0.316742108397856",0.19
"0.325077427039905",0.19
"0.333412745681954",0.199
"0.341748064324002",0.239
"0.350083382966051",0.294
"0.3584187016081",0.341
"0.366754020250149",0.377
"0.375089338892198",0.411
"0.383424657534247",0.445
"0.391759976176295",0.452
"0.400095294818344",0.414
"0.408430613460393",0.342
"0.416765932102442",0.245
"0.425101250744491",0.153
"0.43343656938654",0.113
"0.441771888028588",0.12
"0.450107206670637",0.151
"0.458442525312686",0.205
"0.466777843954735",0.272
"0.475113162596784",0.33
"0.483448481238833",0.385
"0.491783799880882",0.439
"0.50011911852293",0.486
"0.508454437164979",0.509
"0.516789755807028",0.492
"0.525125074449077",0.445
"0.533460393091126",0.386
"0.541795711733175",0.302
"0.550131030375223",0.182
"0.558466349017272",0.042
"0.566801667659321",-0.072
"0.57513698630137",-0.152
"0.583472304943419",-0.191
"0.591807623585468",-0.151
"0.600142942227516",-0.033
"0.608478260869565",0.108
"0.616813579511614",0.248
"0.625148898153663",0.369
"0.633484216795712",0.45
"0.641819535437761",0.479
"0.650154854079809",0.475
"0.658490172721858",0.444
"0.666825491363907",0.362
"0.675160810005956",0.216
"0.683496128648005",0.037
"0.691831447290054",-0.135
"0.700166765932102",-0.276
"0.708502084574151",-0.352
"0.7168374032162",-0.333
"0.725172721858249",-0.273
"0.733508040500298",-0.226
"0.741843359142347",-0.202
"0.750178677784396",-0.192
"0.758513996426444",-0.175
"0.766849315068493",-0.14
"0.775184633710542",-0.079
"0.783519952352591",0
"0.79185527099464",0.071
"0.800190589636689",0.125
"0.808525908278737",0.157
"0.816861226920786",0.149
"0.825196545562835",0.103
"0.833531864204884",0.035
"0.841867182846933",-0.029
"0.850202501488982",-0.054
"0.85853782013103",-0.029
"0.866873138773079",0.035
"0.875208457415128",0.137
"0.883543776057177",0.26
"0.891879094699226",0.372
"0.900214413341275",0.47
