R.Time (min)	Intensity
0.00000	0
0.00833	0
0.01667	0
0.02500	0
0.03333	0
0.04167	-0
0.05000	-0
0.05833	-0
0.06667	-0
0.07500	0
0.08333	1
0.09167	1
0.10000	2
0.10833	2
0.11667	2
0.12500	2
0.13333	2
0.14167	3
0.15000	3
0.15833	3
0.16667	3
0.17500	3
0.18333	3
0.19167	3
0.20000	3
0.20833	3
0.21667	3
0.22500	3
0.23333	3
0.24167	3
0.25000	3
0.25833	3
0.26667	3
0.27500	3
0.28333	2
0.29167	2
0.30000	2
0.30833	2
0.31667	2
0.32500	2
0.33333	2
0.34167	2
0.35000	2
0.35833	2
0.36667	2
0.37500	2
0.38333	2
0.39167	2
0.40000	2
0.40833	3
0.41667	3
0.42500	3
0.43333	3
0.44167	2
0.45000	2
0.45833	1
0.46667	1
0.47500	1
0.48333	1
0.49167	0
0.50000	0
0.50833	0
0.51667	-0
0.52500	-1
0.53333	-1
0.54167	-1
0.55000	-1
0.55833	-2
0.56667	-1
0.57500	-1
0.58333	-2
0.59167	-2
0.60000	-2
0.60833	-2
0.61667	-2
0.62500	-2
0.63333	-2
0.64167	-2
0.65000	-2
0.65833	-1
0.66667	-2
0.67500	-2
0.68333	-2
0.69167	-2
0.70000	-3
0.70833	-3
0.71667	-3
0.72500	-3
0.73333	-3
0.74167	-3
0.75000	-3
0.75833	-3
0.76667	-2
0.77500	-2
0.78333	-2
0.79167	-2
0.80000	-3
0.80833	-3
0.81667	-3
0.82500	-2
0.83333	-2
0.84167	-3
0.85000	-3
0.85833	-3
0.86667	-3
0.87500	-3
0.88333	-3
0.89167	-3
0.90000	-3
0.90833	-3
0.91667	-3
0.92500	-3
0.93333	-4
0.94167	-4
0.95000	-4
0.95833	-4
0.96667	-4
0.97500	-3
0.98333	-3
0.99167	-2
1.00000	-2
1.00833	-2
1.01667	-3
1.02500	-3
1.03333	-3
1.04167	-3
1.05000	-3
1.05833	-3
1.06667	-3
1.07500	-3
1.08333	-3
1.09167	-3
1.10000	-3
1.10833	-3
1.11667	-3
1.12500	-3
1.13333	-3
1.14167	-3
1.15000	-3
1.15833	-3
1.16667	-3
1.17500	-4
1.18333	-4
1.19167	-3
1.20000	-3
1.20833	-3
1.21667	-3
1.22500	-2
1.23333	-2
1.24167	-2
1.25000	-2
1.25833	-2
1.26667	-2
1.27500	-2
1.28333	-3
1.29167	-2
1.30000	-2
1.30833	-2
1.31667	-2
1.32500	-2
1.33333	-2
1.34167	-2
1.35000	-3
1.35833	-3
1.36667	-3
1.37500	-3
1.38333	-3
1.39167	-3
1.40000	-3
1.40833	-3
1.41667	-3
1.42500	-3
1.43333	-3
1.44167	-3
1.45000	-3
1.45833	-2
1.46667	-2
1.47500	-2
1.48333	-2
1.49167	-3
1.50000	-2
1.50833	-2
1.51667	-1
1.52500	-1
1.53333	-1
1.54167	-1
1.55000	-1
1.55833	-1
1.56667	-2
1.57500	-2
1.58333	-2
1.59167	-2
1.60000	-2
1.60833	-2
1.61667	-2
1.62500	-2
1.63333	-2
1.64167	-1
1.65000	-2
1.65833	-2
1.66667	-2
1.67500	-3
1.68333	-3
1.69167	-3
1.70000	-3
1.70833	-3
1.71667	-3
1.72500	-4
1.73333	-4
1.74167	-4
1.75000	-5
1.75833	-5
1.76667	-5
1.77500	-5
1.78333	-6
1.79167	-6
1.80000	-7
1.80833	-7
1.81667	-7
1.82500	-7
1.83333	-6
1.84167	-6
1.85000	-5
1.85833	-5
1.86667	-5
1.87500	-5
1.88333	-5
1.89167	-5
1.90000	-5
1.90833	-5
1.91667	-5
1.92500	-5
1.93333	-5
1.94167	-5
1.95000	-5
1.95833	-5
1.96667	-5
1.97500	-4
1.98333	-4
1.99167	-4
2.00000	-4
2.00833	-4
2.01667	-4
2.02500	-4
2.03333	-4
2.04167	-4
2.05000	-3
2.05833	-3
2.06667	-3
2.07500	-4
2.08333	-4
2.09167	-5
2.10000	-5
2.10833	-5
2.11667	-4
2.12500	-4
2.13333	-4
2.14167	-4
2.15000	-4
2.15833	-4
2.16667	-4
2.17500	-4
2.18333	-5
2.19167	-5
2.20000	-4
2.20833	-4
2.21667	-3
2.22500	-3
2.23333	-4
2.24167	-4
2.25000	-4
2.25833	-4
2.26667	-4
2.27500	-4
2.28333	-4
2.29167	-4
2.30000	-4
2.30833	-4
2.31667	-4
2.32500	-3
2.33333	-3
2.34167	-3
2.35000	-3
2.35833	-2
2.36667	-2
2.37500	-2
