"","int"
"0",-0.035
"0.00833531864204884",-0.097
"0.0166706372840977",-0.17
"0.0250059559261465",-0.245
"0.0333412745681954",-0.309
"0.0416765932102442",-0.354
"0.050011911852293",-0.358
"0.0583472304943419",-0.306
"0.0666825491363907",-0.197
"0.0750178677784396",-0.082
"0.0833531864204884",-0.015
"0.0916885050625372",-0.021
"0.100023823704586",-0.065
"0.108359142346635",-0.11
"0.116694460988684",-0.153
"0.125029779630733",-0.18
"0.133365098272781",-0.201
"0.14170041691483",-0.228
"0.150035735556879",-0.262
"0.158371054198928",-0.286
"0.166706372840977",-0.287
"0.175041691483026",-0.274
"0.183377010125074",-0.27
"0.191712328767123",-0.266
"0.200047647409172",-0.237
"0.208382966051221",-0.165
"0.21671828469327",-0.063
"0.225053603335319",0.049
"0.233388921977367",0.144
"0.241724240619416",0.184
"0.250059559261465",0.168
"0.258394877903514",0.133
"0.266730196545563",0.102
"0.275065515187612",0.086
"0.283400833829661",0.127
"0.291736152471709",0.217
"0.300071471113758",0.293
"0.308406789755807",0.31
"0.316742108397856",0.279
"0.325077427039905",0.229
"0.333412745681954",0.181
"0.341748064324002",0.161
"0.350083382966051",0.17
"0.3584187016081",0.182
"0.366754020250149",0.173
"0.375089338892198",0.149
"0.383424657534247",0.117
"0.391759976176295",0.07
"0.400095294818344",0.026
"0.408430613460393",0.013
"0.416765932102442",0.015
"0.425101250744491",-0.001
"0.43343656938654",-0.028
"0.441771888028588",-0.023
"0.450107206670637",0.036
"0.458442525312686",0.121
"0.466777843954735",0.201
"0.475113162596784",0.228
"0.483448481238833",0.172
"0.491783799880882",0.055
"0.50011911852293",-0.046
"0.508454437164979",-0.078
"0.516789755807028",-0.053
"0.525125074449077",-0.001
"0.533460393091126",0.067
"0.541795711733175",0.136
"0.550131030375223",0.205
"0.558466349017272",0.281
"0.566801667659321",0.36
"0.57513698630137",0.413
"0.583472304943419",0.402
"0.591807623585468",0.349
"0.600142942227516",0.303
"0.608478260869565",0.28
"0.616813579511614",0.275
"0.625148898153663",0.273
"0.633484216795712",0.258
"0.641819535437761",0.218
"0.650154854079809",0.15
"0.658490172721858",0.086
"0.666825491363907",0.039
"0.675160810005956",0.013
"0.683496128648005",0.021
"0.691831447290054",0.07
"0.700166765932102",0.14
"0.708502084574151",0.221
"0.7168374032162",0.297
"0.725172721858249",0.334
"0.733508040500298",0.327
"0.741843359142347",0.315
"0.750178677784396",0.33
"0.758513996426444",0.365
"0.766849315068493",0.421
"0.775184633710542",0.496
"0.783519952352591",0.582
"0.79185527099464",0.665
"0.800190589636689",0.728
"0.808525908278737",0.757
"0.816861226920786",0.728
"0.825196545562835",0.638
"0.833531864204884",0.526
"0.841867182846933",0.445
"0.850202501488982",0.431
"0.85853782013103",0.489
"0.866873138773079",0.597
"0.875208457415128",0.693
"0.883543776057177",0.734
"0.891879094699226",0.726
"0.900214413341275",0.705
"0.908549731983323",0.684
"0.916885050625372",0.682
"0.925220369267421",0.724
"0.93355568790947",0.758
"0.941891006551519",0.697
"0.950226325193568",0.555
"0.958561643835616",0.415
"0.966896962477665",0.319
"0.975232281119714",0.293
"0.983567599761763",0.344
