"","int"
"0",0.166
"0.00833581423042572",0.113
"0.0166716284608514",0.042
"0.0250074426912772",0.061
"0.0333432569217029",0.08
"0.0416790711521286",0.035
"0.0500148853825543",-0.025
"0.0583506996129801",-0.107
"0.0666865138434058",-0.125
"0.0750223280738315",-0.129
"0.0833581423042572",-0.1
"0.0916939565346829",-0.096
"0.100029770765109",-0.17
"0.108365584995534",-0.225
"0.11670139922596",-0.176
"0.125037213456386",-0.11
"0.133373027686812",-0.047
"0.141708841917237",-0.012
"0.150044656147663",0.041
"0.158380470378089",0.179
"0.166716284608514",0.247
"0.17505209883894",0.23
"0.183387913069366",0.225
"0.191723727299792",0.225
"0.200059541530217",0.25
"0.208395355760643",0.281
"0.216731169991069",0.33
"0.225066984221495",0.356
"0.23340279845192",0.405
"0.241738612682346",0.434
"0.250074426912772",0.431
"0.258410241143197",0.387
"0.266746055373623",0.336
"0.275081869604049",0.273
"0.283417683834475",0.198
"0.2917534980649",0.162
"0.300089312295326",0.127
"0.308425126525752",0.07
"0.316760940756177",0.035
"0.325096754986603",0.126
"0.333432569217029",0.178
"0.341768383447455",0.2
"0.35010419767788",0.23
"0.358440011908306",0.326
"0.366775826138732",0.509
"0.375111640369158",0.66
"0.383447454599583",0.745
"0.391783268830009",0.8
"0.400119083060435",0.844
"0.40845489729086",1.003
"0.416790711521286",1.188
"0.425126525751712",1.219
"0.433462339982138",1.224
"0.441798154212563",1.22
"0.450133968442989",1.208
"0.458469782673415",1.204
"0.46680559690384",1.218
"0.475141411134266",1.269
"0.483477225364692",1.222
"0.491813039595118",1.224
"0.500148853825543",1.217
"0.508484668055969",1.133
"0.516820482286395",1.055
"0.52515629651682",1.05
"0.533492110747246",1.098
"0.541827924977672",1.175
"0.550163739208098",1.22
"0.558499553438523",1.296
"0.566835367668949",1.375
"0.575171181899375",1.417
"0.583506996129801",1.462
"0.591842810360226",1.48
"0.600178624590652",1.548
"0.608514438821078",1.63
"0.616850253051503",1.608
"0.625186067281929",1.576
"0.633521881512355",1.583
"0.641857695742781",1.676
"0.650193509973206",1.73
"0.658529324203632",1.808
"0.666865138434058",1.871
"0.675200952664484",1.875
"0.683536766894909",1.808
"0.691872581125335",1.673
"0.700208395355761",1.506
"0.708544209586186",1.481
"0.716880023816612",1.569
"0.725215838047038",1.72
"0.733551652277464",1.842
"0.741887466507889",1.863
"0.750223280738315",1.856
"0.758559094968741",1.849
"0.766894909199166",1.85
"0.775230723429592",1.887
"0.783566537660018",1.9
"0.791902351890444",1.885
"0.800238166120869",1.89
"0.808573980351295",1.834
"0.816909794581721",1.775
"0.825245608812146",1.705
"0.833581423042572",1.663
"0.841917237272998",1.65
"0.850253051503424",1.709
"0.858588865733849",1.832
"0.866924679964275",1.839
"0.875260494194701",1.838
"0.883596308425127",1.895
"0.891932122655552",1.955
"0.900267936885978",2.01
"0.908603751116404",1.969
"0.916939565346829",1.953
"0.925275379577255",1.955
"0.933611193807681",1.886
"0.941947008038107",1.77
"0.950282822268532",1.694
"0.958618636498958",1.632
"0.966954450729384",1.625
"0.97529026495981",1.632
"0.983626079190235",1.63
"0.991961893420661",1.663
"1.00029770765109",1.621
"1.00863352188151",1.574
"1.01696933611194",1.525
"1.02530515034236",1.483
"1.03364096457279",1.48
"1.04197677880322",1.511
"1.05031259303364",1.446
"1.05864840726407",1.331
"1.06698422149449",1.311
"1.07532003572492",1.245
"1.08365584995534",1.237
"1.09199166418577",1.237
"1.1003274784162",1.193
"1.10866329264662",1.138
"1.11699910687705",1.125
"1.12533492110747",1.136
"1.1336707353379",1.205
"1.14200654956832",1.226
"1.15034236379875",1.144
"1.15867817802918",1.094
"1.1670139922596",1.036
"1.17534980649003",0.98
"1.18368562072045",0.893
"1.19202143495088",0.774
"1.2003572491813",0.759
"1.20869306341173",0.838
"1.21702887764216",0.89
"1.22536469187258",1.022
"1.23370050610301",1.131
"1.24203632033343",1.222
"1.25037213456386",1.354
"1.25870794879428",1.442
"1.26704376302471",1.484
"1.27537957725514",1.594
"1.28371539148556",1.676
"1.29205120571599",1.75
"1.30038701994641",1.81
"1.30872283417684",1.869
"1.31705864840726",1.946
"1.32539446263769",2.136
"1.33373027686812",2.26
"1.34206609109854",2.353
"1.35040190532897",2.424
"1.35873771955939",2.479
"1.36707353378982",2.469
"1.37540934802024",2.357
"1.38374516225067",2.303
"1.3920809764811",2.258
"1.40041679071152",2.262
"1.40875260494195",2.291
"1.41708841917237",2.327
"1.4254242334028",2.359
"1.43376004763322",2.33
"1.44209586186365",2.319
"1.45043167609408",2.333
"1.4587674903245",2.394
"1.46710330455493",2.499
"1.47543911878535",2.594
"1.48377493301578",2.6
"1.4921107472462",2.577
"1.50044656147663",2.512
"1.50878237570706",2.482
"1.51711818993748",2.472
"1.52545400416791",2.419
"1.53378981839833",2.351
"1.54212563262876",2.345
"1.55046144685918",2.514
"1.55879726108961",2.616
"1.56713307532004",2.542
"1.57546888955046",2.437
"1.58380470378089",2.336
"1.59214051801131",2.3
"1.60047633224174",2.309
"1.60881214647216",2.357
"1.61714796070259",2.375
"1.62548377493302",2.375
"1.63381958916344",2.363
"1.64215540339387",2.293
"1.65049121762429",2.255
"1.65882703185472",2.204
"1.66716284608514",2.222
"1.67549866031557",2.137
"1.683834474546",1.988
"1.69217028877642",1.88
"1.70050610300685",1.776
"1.70884191723727",1.665
"1.7171777314677",1.625
"1.72551354569812",1.668
"1.73384935992855",1.676
"1.74218517415898",1.723
"1.7505209883894",1.758
"1.75885680261983",1.831
"1.76719261685025",1.89
"1.77552843108068",1.836
"1.7838642453111",1.779
"1.79220005954153",1.706
"1.80053587377196",1.594
"1.80887168800238",1.475
"1.81720750223281",1.33
"1.82554331646323",1.132
"1.83387913069366",0.993
"1.84221494492408",0.927
"1.85055075915451",0.881
"1.85888657338494",0.838
"1.86722238761536",0.928
"1.87555820184579",0.995
"1.88389401607621",1.041
"1.89222983030664",1.097
"1.90056564453706",1.168
"1.90890145876749",1.253
"1.91723727299792",1.281
"1.92557308722834",1.337
"1.93390890145877",1.326
"1.94224471568919",1.275
"1.95058052991962",1.29
"1.95891634415004",1.337
"1.96725215838047",1.472
"1.9755879726109",1.601
"1.98392378684132",1.609
"1.99225960107175",1.495
"2.00059541530217",1.455
"2.0089312295326",1.533
"2.01726704376302",1.655
"2.02560285799345",1.688
"2.03393867222388",1.642
"2.0422744864543",1.516
"2.05061030068473",1.372
"2.05894611491515",1.233
"2.06728192914558",1.098
"2.07561774337601",1.066
"2.08395355760643",1.017
"2.09228937183686",1
"2.10062518606728",0.95
"2.10896100029771",0.901
"2.11729681452813",0.888
"2.12563262875856",0.836
"2.13396844298898",0.798
"2.14230425721941",0.793
"2.15064007144984",0.785
"2.15897588568026",0.815
"2.16731169991069",0.79
"2.17564751414111",0.682
"2.18398332837154",0.566
"2.19231914260196",0.451
"2.20065495683239",0.354
"2.20899077106282",0.213
"2.21732658529324",0.113
"2.22566239952367",0.031
"2.23399821375409",0.003
"2.24233402798452",-0.118
"2.25066984221495",-0.314
"2.25900565644537",-0.493
"2.2673414706758",-0.709
"2.27567728490622",-0.903
"2.28401309913665",-1.072
"2.29234891336707",-1.125
"2.3006847275975",-1.13
"2.30902054182793",-1.183
"2.31735635605835",-1.253
"2.32569217028878",-1.288
"2.3340279845192",-1.26
"2.34236379874963",-1.25
"2.35069961298005",-1.285
"2.35903542721048",-1.361
"2.3673712414409",-1.585
"2.37570705567133",-1.804
"2.38404286990176",-1.961
"2.39237868413218",-2.119
"2.40071449836261",-2.295
"2.40905031259303",-2.428
"2.41738612682346",-2.468
"2.42572194105389",-2.544
"2.43405775528431",-2.575
"2.44239356951474",-2.595
"2.45072938374516",-2.698
"2.45906519797559",-2.794
"2.46740101220601",-2.793
"2.47573682643644",-2.74
"2.48407264066687",-2.679
"2.49240845489729",-2.592
"2.50074426912772",-2.558
"2.50908008335814",-2.621
"2.51741589758857",-2.696
"2.52575171181899",-2.649
"2.53408752604942",-2.645
"2.54242334027985",-2.625
"2.55075915451027",-2.639
"2.5590949687407",-2.669
"2.56743078297112",-2.686
"2.57576659720155",-2.713
"2.58410241143197",-2.774
"2.5924382256624",-2.818
"2.60077403989283",-2.806
"2.60910985412325",-2.825
"2.61744566835368",-2.828
"2.6257814825841",-2.894
"2.63411729681453",-2.925
"2.64245311104495",-2.929
"2.65078892527538",-2.967
"2.65912473950581",-2.94
"2.66746055373623",-2.918
"2.67579636796666",-2.93
"2.68413218219708",-3.037
"2.69246799642751",-3.162
"2.70080381065793",-3.2
"2.70913962488836",-3.2
"2.71747543911879",-3.2
"2.72581125334921",-3.182
"2.73414706757964",-3.175
"2.74248288181006",-3.225
"2.75081869604049",-3.366
"2.75915451027091",-3.424
"2.76749032450134",-3.523
"2.77582613873177",-3.575
"2.78416195296219",-3.596
"2.79249776719262",-3.695
"2.80083358142304",-3.811
"2.80916939565347",-3.834
"2.81750520988389",-3.754
"2.82584102411432",-3.692
"2.83417683834475",-3.599
"2.84251265257517",-3.428
"2.8508484668056",-3.285
"2.85918428103602",-3.178
"2.86752009526645",-3.023
"2.87585590949687",-2.916
"2.8841917237273",-2.831
"2.89252753795773",-2.83
"2.90086335218815",-2.897
"2.90919916641858",-2.97
"2.917534980649",-3.077
"2.92587079487943",-3.197
"2.93420660910985",-3.148
"2.94254242334028",-2.986
"2.95087823757071",-2.877
"2.95921405180113",-2.825
"2.96754986603156",-2.762
"2.97588568026198",-2.648
"2.98422149449241",-2.443
"2.99255730872283",-2.192
"3.00089312295326",-1.935
"3.00922893718369",-1.691
"3.01756475141411",-1.575
