"Sample"	"Compound"	"Detector"	"Area"	"Concentration"	"Description"
"A1"	"Formate"	"RID-10A"	8.36892815469249	3.51566343446463	"Sample A1"
"A1"	"Formate"	"SPD-20A 210nm"	37.1938110870287	3.96631353628229	"Sample A1"
"A1"	"Acetate"	"RID-10A"	57.9668111351892	5.65411906796853	"Sample A1"
"A1"	"Acetate"	"SPD-20A 210nm"	63.4679087795936	5.53291605455553	"Sample A1"
"A1"	"Ethanol"	"RID-10A"	116.701950325054	12.514195527627	"Sample A1"
"A1"	"Lactate"	"RID-10A"	3.95502583763952	3.03549952212403	"Sample A1"
"A1"	"Lactate"	"SPD-20A 210nm"	4.53328932644223	2.97146750072814	"Sample A1"
"A1"	"Glucose"	"RID-10A"	-1.34534089014837	1.5984227994902	"Sample A1"
"A2"	"Formate"	"RID-10A"	18.1260626771129	4.22715385360853	"Sample A2"
"A2"	"Formate"	"SPD-20A 210nm"	83.6779275725237	5.32164749521572	"Sample A2"
"A2"	"Acetate"	"RID-10A"	130.06891981997	9.10147706944536	"Sample A2"
"A2"	"Acetate"	"SPD-20A 210nm"	133.334507475826	8.49455517721499	"Sample A2"
"A2"	"Ethanol"	"RID-10A"	265.550216702783	24.9661826597281	"Sample A2"
"A2"	"Lactate"	"RID-10A"	9.39277379563248	3.1878767081633	"Sample A2"
"A2"	"Lactate"	"SPD-20A 210nm"	7.32880288429487	3.0509348440893	"Sample A2"
"A2"	"Glucose"	"RID-10A"	-1.73864810801806	1.5955282473496	"Sample A2"
"A3"	"Formate"	"RID-10A"	6.06836139356562	3.3479060662146	"Sample A3"
"A3"	"Formate"	"SPD-20A 210nm"	28.1914364854949	3.70383196341415	"Sample A3"
"A3"	"Acetate"	"RID-10A"	45.074504084014	5.037709940953	"Sample A3"
"A3"	"Acetate"	"SPD-20A 210nm"	48.1709956485496	4.88448121973844	"Sample A3"
"A3"	"Ethanol"	"RID-10A"	96.5535005834304	10.8286654034279	"Sample A3"
"A3"	"Lactate"	"RID-10A"	3.25745957659608	3.01595224175083	"Sample A3"
"A3"	"Lactate"	"SPD-20A 210nm"	2.43427931643873	2.91179948419682	"Sample A3"
"A3"	"Glucose"	"RID-10A"	-0.469928321386903	1.60486541536321	"Sample A3"
"A4"	"Formate"	"RID-10A"	7.09414069011505	3.42270591036701	"Sample A4"
"A4"	"Formate"	"SPD-20A 210nm"	35.1756790163387	3.90747100821418	"Sample A4"
"A4"	"Acetate"	"RID-10A"	59.9683113852309	5.74981513050818	"Sample A4"
"A4"	"Acetate"	"SPD-20A 210nm"	64.0091226842285	5.55585806552507	"Sample A4"
"A4"	"Ethanol"	"RID-10A"	125.924704117353	13.2857302880844	"Sample A4"
"A4"	"Lactate"	"RID-10A"	4.76286881146857	3.05813698896961	"Sample A4"
"A4"	"Lactate"	"SPD-20A 210nm"	2.3638923441146	2.90979861187691	"Sample A4"
"A4"	"Glucose"	"RID-10A"	-0.147816302717134	1.60723600504678	"Sample A4"
"A5"	"Formate"	"RID-10A"	11.9880896816136	3.77957275597922	"Sample A5"
"A5"	"Formate"	"SPD-20A 210nm"	55.8846145348446	4.51127991507707	"Sample A5"
"A5"	"Acetate"	"RID-10A"	94.1730538423071	7.38521796058859	"Sample A5"
"A5"	"Acetate"	"SPD-20A 210nm"	97.9395847482497	6.99416744044727	"Sample A5"
"A5"	"Ethanol"	"RID-10A"	152.921928654775	15.5441985976134	"Sample A5"
"A5"	"Lactate"	"RID-10A"	6.93748958159688	3.11907445724039	"Sample A5"
"A5"	"Lactate"	"SPD-20A 210nm"	4.29198875291749	2.96460811152014	"Sample A5"
"A5"	"Glucose"	"RID-10A"	2.70517586264381	1.62823265652978	"Sample A5"
"A6"	"Formate"	"RID-10A"	5.61750291715289	3.31502945826989	"Sample A6"
"A6"	"Formate"	"SPD-20A 210nm"	23.2109269856622	3.55861561494337	"Sample A6"
"A6"	"Acetate"	"RID-10A"	45.408743123854	5.05369063346555	"Sample A6"
"A6"	"Acetate"	"SPD-20A 210nm"	47.5403460420141	4.85774803704085	"Sample A6"
"A6"	"Ethanol"	"RID-10A"	92.617377896316	10.499386801513	"Sample A6"
"A6"	"Lactate"	"RID-10A"	3.17096182697114	3.01352839206371	"Sample A6"
