"Minutes"	"Intensity"	"Sample"	"Detector"
"0"	-1.783	"B7.2"	"SPD-20A 260nm"
"0.00833425951653237"	-2.613	"B7.2"	"SPD-20A 260nm"
"0.0166685190330647"	-1.931	"B7.2"	"SPD-20A 260nm"
"0.0250027785495971"	-0.011	"B7.2"	"SPD-20A 260nm"
"0.0333370380661295"	2.213	"B7.2"	"SPD-20A 260nm"
"0.0416712975826619"	4.365	"B7.2"	"SPD-20A 260nm"
"0.0500055570991942"	6.061	"B7.2"	"SPD-20A 260nm"
"0.0583398166157266"	7.113	"B7.2"	"SPD-20A 260nm"
"0.066674076132259"	7.622	"B7.2"	"SPD-20A 260nm"
"0.0750083356487913"	7.735	"B7.2"	"SPD-20A 260nm"
"0.0833425951653237"	7.599	"B7.2"	"SPD-20A 260nm"
"0.0916768546818561"	7.44	"B7.2"	"SPD-20A 260nm"
"0.100011114198388"	7.398	"B7.2"	"SPD-20A 260nm"
"0.108345373714921"	7.44	"B7.2"	"SPD-20A 260nm"
"0.116679633231453"	7.474	"B7.2"	"SPD-20A 260nm"
"0.125013892747986"	7.493	"B7.2"	"SPD-20A 260nm"
"0.133348152264518"	7.549	"B7.2"	"SPD-20A 260nm"
"0.14168241178105"	7.664	"B7.2"	"SPD-20A 260nm"
"0.150016671297583"	7.741	"B7.2"	"SPD-20A 260nm"
"0.158350930814115"	7.682	"B7.2"	"SPD-20A 260nm"
"0.166685190330647"	7.555	"B7.2"	"SPD-20A 260nm"
"0.17501944984718"	7.516	"B7.2"	"SPD-20A 260nm"
"0.183353709363712"	7.621	"B7.2"	"SPD-20A 260nm"
"0.191687968880245"	7.868	"B7.2"	"SPD-20A 260nm"
"0.200022228396777"	8.248	"B7.2"	"SPD-20A 260nm"
"0.208356487913309"	8.55	"B7.2"	"SPD-20A 260nm"
"0.216690747429842"	8.535	"B7.2"	"SPD-20A 260nm"
"0.225025006946374"	8.198	"B7.2"	"SPD-20A 260nm"
"0.233359266462906"	7.687	"B7.2"	"SPD-20A 260nm"
"0.241693525979439"	7.094	"B7.2"	"SPD-20A 260nm"
"0.250027785495971"	6.576	"B7.2"	"SPD-20A 260nm"
"0.258362045012503"	6.216	"B7.2"	"SPD-20A 260nm"
"0.266696304529036"	6.093	"B7.2"	"SPD-20A 260nm"
"0.275030564045568"	6.299	"B7.2"	"SPD-20A 260nm"
"0.283364823562101"	6.805	"B7.2"	"SPD-20A 260nm"
"0.291699083078633"	7.424	"B7.2"	"SPD-20A 260nm"
"0.300033342595165"	8.051	"B7.2"	"SPD-20A 260nm"
