"Minutes"	"Intensity"	"Sample"	"Detector"
"0"	0.318	"B7"	"SPD-20A 260nm"
"0.00833425951653237"	0.63	"B7"	"SPD-20A 260nm"
"0.0166685190330647"	0.579	"B7"	"SPD-20A 260nm"
"0.0250027785495971"	-0.06	"B7"	"SPD-20A 260nm"
"0.0333370380661295"	-0.944	"B7"	"SPD-20A 260nm"
"0.0416712975826619"	-1.598	"B7"	"SPD-20A 260nm"
"0.0500055570991942"	-1.846	"B7"	"SPD-20A 260nm"
"0.0583398166157266"	-1.612	"B7"	"SPD-20A 260nm"
"0.066674076132259"	-0.924	"B7"	"SPD-20A 260nm"
"0.0750083356487913"	-0.135	"B7"	"SPD-20A 260nm"
"0.0833425951653237"	0.495	"B7"	"SPD-20A 260nm"
"0.0916768546818561"	0.982	"B7"	"SPD-20A 260nm"
"0.100011114198388"	1.458	"B7"	"SPD-20A 260nm"
"0.108345373714921"	2.019	"B7"	"SPD-20A 260nm"
"0.116679633231453"	2.698	"B7"	"SPD-20A 260nm"
"0.125013892747986"	3.511	"B7"	"SPD-20A 260nm"
"0.133348152264518"	4.104	"B7"	"SPD-20A 260nm"
"0.14168241178105"	3.998	"B7"	"SPD-20A 260nm"
"0.150016671297583"	3.235	"B7"	"SPD-20A 260nm"
"0.158350930814115"	2.319	"B7"	"SPD-20A 260nm"
"0.166685190330647"	1.492	"B7"	"SPD-20A 260nm"
"0.17501944984718"	0.925	"B7"	"SPD-20A 260nm"
"0.183353709363712"	0.719	"B7"	"SPD-20A 260nm"
"0.191687968880245"	0.692	"B7"	"SPD-20A 260nm"
"0.200022228396777"	0.468	"B7"	"SPD-20A 260nm"
"0.208356487913309"	-0.042	"B7"	"SPD-20A 260nm"
"0.216690747429842"	-0.407	"B7"	"SPD-20A 260nm"
"0.225025006946374"	-0.337	"B7"	"SPD-20A 260nm"
"0.233359266462906"	0.087	"B7"	"SPD-20A 260nm"
"0.241693525979439"	0.706	"B7"	"SPD-20A 260nm"
"0.250027785495971"	1.395	"B7"	"SPD-20A 260nm"
"0.258362045012503"	1.943	"B7"	"SPD-20A 260nm"
"0.266696304529036"	2.218	"B7"	"SPD-20A 260nm"
"0.275030564045568"	1.85	"B7"	"SPD-20A 260nm"
"0.283364823562101"	0.473	"B7"	"SPD-20A 260nm"
"0.291699083078633"	-1.517	"B7"	"SPD-20A 260nm"
"0.300033342595165"	-3.281	"B7"	"SPD-20A 260nm"
"0.308367602111698"	-4.459	"B7"	"SPD-20A 260nm"
"0.31670186162823"	-4.587	"B7"	"SPD-20A 260nm"
"0.325036121144762"	-3.425	"B7"	"SPD-20A 260nm"
"0.333370380661295"	-1.735	"B7"	"SPD-20A 260nm"
"0.341704640177827"	-0.465	"B7"	"SPD-20A 260nm"
"0.35003889969436"	0.251	"B7"	"SPD-20A 260nm"
"0.358373159210892"	0.746	"B7"	"SPD-20A 260nm"
"0.366707418727424"	1.266	"B7"	"SPD-20A 260nm"
"0.375041678243957"	1.804	"B7"	"SPD-20A 260nm"
"0.383375937760489"	2.295	"B7"	"SPD-20A 260nm"
"0.391710197277021"	2.634	"B7"	"SPD-20A 260nm"
"0.400044456793554"	2.645	"B7"	"SPD-20A 260nm"
"0.408378716310086"	2.329	"B7"	"SPD-20A 260nm"
"0.416712975826619"	1.972	"B7"	"SPD-20A 260nm"
"0.425047235343151"	1.772	"B7"	"SPD-20A 260nm"
"0.433381494859683"	1.834	"B7"	"SPD-20A 260nm"
"0.441715754376216"	2.216	"B7"	"SPD-20A 260nm"
"0.450050013892748"	2.821	"B7"	"SPD-20A 260nm"
"0.45838427340928"	3.35	"B7"	"SPD-20A 260nm"
"0.466718532925813"	3.641	"B7"	"SPD-20A 260nm"
"0.475052792442345"	3.624	"B7"	"SPD-20A 260nm"
"0.483387051958877"	3.272	"B7"	"SPD-20A 260nm"
"0.49172131147541"	2.748	"B7"	"SPD-20A 260nm"
"0.500055570991942"	2.322	"B7"	"SPD-20A 260nm"
"0.508389830508475"	2.069	"B7"	"SPD-20A 260nm"
"0.516724090025007"	1.925	"B7"	"SPD-20A 260nm"
"0.525058349541539"	1.801	"B7"	"SPD-20A 260nm"
"0.533392609058072"	1.66	"B7"	"SPD-20A 260nm"
"0.541726868574604"	1.522	"B7"	"SPD-20A 260nm"
"0.550061128091136"	1.451	"B7"	"SPD-20A 260nm"
"0.558395387607669"	1.562	"B7"	"SPD-20A 260nm"
"0.566729647124201"	1.884	"B7"	"SPD-20A 260nm"
"0.575063906640734"	2.084	"B7"	"SPD-20A 260nm"
"0.583398166157266"	1.819	"B7"	"SPD-20A 260nm"
"0.591732425673798"	1.142	"B7"	"SPD-20A 260nm"
"0.600066685190331"	0.333	"B7"	"SPD-20A 260nm"
"0.608400944706863"	-0.458	"B7"	"SPD-20A 260nm"
"0.616735204223395"	-1	"B7"	"SPD-20A 260nm"
"0.625069463739928"	-1.188	"B7"	"SPD-20A 260nm"
