"Minutes"	"Intensity"	"Sample"	"Detector"
"0"	-0.123	"D10.2"	"SPD-20A 260nm"
"0.00833425951653237"	-0.548	"D10.2"	"SPD-20A 260nm"
"0.0166685190330647"	-1.131	"D10.2"	"SPD-20A 260nm"
"0.0250027785495971"	-1.695	"D10.2"	"SPD-20A 260nm"
"0.0333370380661295"	-2.009	"D10.2"	"SPD-20A 260nm"
"0.0416712975826619"	-2.019	"D10.2"	"SPD-20A 260nm"
"0.0500055570991942"	-1.844	"D10.2"	"SPD-20A 260nm"
"0.0583398166157266"	-1.577	"D10.2"	"SPD-20A 260nm"
"0.066674076132259"	-1.129	"D10.2"	"SPD-20A 260nm"
"0.0750083356487913"	-0.318	"D10.2"	"SPD-20A 260nm"
"0.0833425951653237"	0.744	"D10.2"	"SPD-20A 260nm"
"0.0916768546818561"	1.496	"D10.2"	"SPD-20A 260nm"
"0.100011114198388"	1.682	"D10.2"	"SPD-20A 260nm"
"0.108345373714921"	1.352	"D10.2"	"SPD-20A 260nm"
"0.116679633231453"	0.564	"D10.2"	"SPD-20A 260nm"
"0.125013892747986"	-0.332	"D10.2"	"SPD-20A 260nm"
"0.133348152264518"	-0.756	"D10.2"	"SPD-20A 260nm"
"0.14168241178105"	-0.6	"D10.2"	"SPD-20A 260nm"
"0.150016671297583"	-0.254	"D10.2"	"SPD-20A 260nm"
"0.158350930814115"	0.022	"D10.2"	"SPD-20A 260nm"
"0.166685190330647"	0.206	"D10.2"	"SPD-20A 260nm"
"0.17501944984718"	0.37	"D10.2"	"SPD-20A 260nm"
"0.183353709363712"	0.544	"D10.2"	"SPD-20A 260nm"
"0.191687968880245"	0.663	"D10.2"	"SPD-20A 260nm"
"0.200022228396777"	0.674	"D10.2"	"SPD-20A 260nm"
"0.208356487913309"	0.532	"D10.2"	"SPD-20A 260nm"
"0.216690747429842"	0.192	"D10.2"	"SPD-20A 260nm"
"0.225025006946374"	-0.318	"D10.2"	"SPD-20A 260nm"
"0.233359266462906"	-0.936	"D10.2"	"SPD-20A 260nm"
"0.241693525979439"	-1.597	"D10.2"	"SPD-20A 260nm"
"0.250027785495971"	-2.048	"D10.2"	"SPD-20A 260nm"
"0.258362045012503"	-2.137	"D10.2"	"SPD-20A 260nm"
"0.266696304529036"	-1.959	"D10.2"	"SPD-20A 260nm"
"0.275030564045568"	-1.667	"D10.2"	"SPD-20A 260nm"
"0.283364823562101"	-1.358	"D10.2"	"SPD-20A 260nm"
"0.291699083078633"	-1.16	"D10.2"	"SPD-20A 260nm"
"0.300033342595165"	-1.099	"D10.2"	"SPD-20A 260nm"
"0.308367602111698"	-1.032	"D10.2"	"SPD-20A 260nm"
"0.31670186162823"	-0.815	"D10.2"	"SPD-20A 260nm"
"0.325036121144762"	-0.574	"D10.2"	"SPD-20A 260nm"
"0.333370380661295"	-0.66	"D10.2"	"SPD-20A 260nm"
"0.341704640177827"	-1.167	"D10.2"	"SPD-20A 260nm"
"0.35003889969436"	-1.797	"D10.2"	"SPD-20A 260nm"
"0.358373159210892"	-2.37	"D10.2"	"SPD-20A 260nm"
"0.366707418727424"	-2.83	"D10.2"	"SPD-20A 260nm"
"0.375041678243957"	-3.151	"D10.2"	"SPD-20A 260nm"
"0.383375937760489"	-3.365	"D10.2"	"SPD-20A 260nm"
"0.391710197277021"	-3.503	"D10.2"	"SPD-20A 260nm"
"0.400044456793554"	-3.538	"D10.2"	"SPD-20A 260nm"
"0.408378716310086"	-3.31	"D10.2"	"SPD-20A 260nm"
"0.416712975826619"	-2.684	"D10.2"	"SPD-20A 260nm"
"0.425047235343151"	-1.827	"D10.2"	"SPD-20A 260nm"
"0.433381494859683"	-1.072	"D10.2"	"SPD-20A 260nm"
"0.441715754376216"	-0.553	"D10.2"	"SPD-20A 260nm"
"0.450050013892748"	-0.441	"D10.2"	"SPD-20A 260nm"
"0.45838427340928"	-0.839	"D10.2"	"SPD-20A 260nm"
"0.466718532925813"	-1.479	"D10.2"	"SPD-20A 260nm"
"0.475052792442345"	-2.029	"D10.2"	"SPD-20A 260nm"
"0.483387051958877"	-2.399	"D10.2"	"SPD-20A 260nm"
"0.49172131147541"	-2.548	"D10.2"	"SPD-20A 260nm"
"0.500055570991942"	-2.462	"D10.2"	"SPD-20A 260nm"
"0.508389830508475"	-2.282	"D10.2"	"SPD-20A 260nm"
"0.516724090025007"	-2.143	"D10.2"	"SPD-20A 260nm"
"0.525058349541539"	-2.187	"D10.2"	"SPD-20A 260nm"
"0.533392609058072"	-2.622	"D10.2"	"SPD-20A 260nm"
"0.541726868574604"	-3.459	"D10.2"	"SPD-20A 260nm"
"0.550061128091136"	-4.316	"D10.2"	"SPD-20A 260nm"
"0.558395387607669"	-4.95	"D10.2"	"SPD-20A 260nm"
"0.566729647124201"	-5.175	"D10.2"	"SPD-20A 260nm"
"0.575063906640734"	-4.779	"D10.2"	"SPD-20A 260nm"
"0.583398166157266"	-3.825	"D10.2"	"SPD-20A 260nm"
"0.591732425673798"	-2.881	"D10.2"	"SPD-20A 260nm"
"0.600066685190331"	-2.437	"D10.2"	"SPD-20A 260nm"
"0.608400944706863"	-2.328	"D10.2"	"SPD-20A 260nm"
"0.616735204223395"	-2.24	"D10.2"	"SPD-20A 260nm"
"0.625069463739928"	-2.008	"D10.2"	"SPD-20A 260nm"
"0.63340372325646"	-1.511	"D10.2"	"SPD-20A 260nm"
"0.641737982772993"	-0.753	"D10.2"	"SPD-20A 260nm"
"0.650072242289525"	-0.038	"D10.2"	"SPD-20A 260nm"
"0.658406501806057"	0.457	"D10.2"	"SPD-20A 260nm"
"0.66674076132259"	0.728	"D10.2"	"SPD-20A 260nm"
"0.675075020839122"	0.8	"D10.2"	"SPD-20A 260nm"
"0.683409280355654"	0.728	"D10.2"	"SPD-20A 260nm"
"0.691743539872187"	0.618	"D10.2"	"SPD-20A 260nm"
"0.700077799388719"	0.539	"D10.2"	"SPD-20A 260nm"
"0.708412058905251"	0.481	"D10.2"	"SPD-20A 260nm"
"0.716746318421784"	0.402	"D10.2"	"SPD-20A 260nm"
"0.725080577938316"	0.282	"D10.2"	"SPD-20A 260nm"
"0.733414837454849"	0.098	"D10.2"	"SPD-20A 260nm"
"0.741749096971381"	-0.192	"D10.2"	"SPD-20A 260nm"
"0.750083356487913"	-0.678	"D10.2"	"SPD-20A 260nm"
"0.758417616004446"	-1.443	"D10.2"	"SPD-20A 260nm"
"0.766751875520978"	-2.285	"D10.2"	"SPD-20A 260nm"
"0.77508613503751"	-2.941	"D10.2"	"SPD-20A 260nm"
"0.783420394554043"	-3.295	"D10.2"	"SPD-20A 260nm"
"0.791754654070575"	-3.098	"D10.2"	"SPD-20A 260nm"
"0.800088913587108"	-2.252	"D10.2"	"SPD-20A 260nm"
"0.80842317310364"	-1.265	"D10.2"	"SPD-20A 260nm"
"0.816757432620172"	-0.603	"D10.2"	"SPD-20A 260nm"
"0.825091692136705"	-0.361	"D10.2"	"SPD-20A 260nm"
"0.833425951653237"	-0.542	"D10.2"	"SPD-20A 260nm"
"0.841760211169769"	-1.043	"D10.2"	"SPD-20A 260nm"
"0.850094470686302"	-1.454	"D10.2"	"SPD-20A 260nm"
"0.858428730202834"	-1.525	"D10.2"	"SPD-20A 260nm"
"0.866762989719367"	-1.383	"D10.2"	"SPD-20A 260nm"
"0.875097249235899"	-1.27	"D10.2"	"SPD-20A 260nm"
"0.883431508752431"	-1.256	"D10.2"	"SPD-20A 260nm"
"0.891765768268964"	-1.29	"D10.2"	"SPD-20A 260nm"
"0.900100027785496"	-1.334	"D10.2"	"SPD-20A 260nm"
"0.908434287302028"	-1.451	"D10.2"	"SPD-20A 260nm"
"0.916768546818561"	-1.725	"D10.2"	"SPD-20A 260nm"
"0.925102806335093"	-2.14	"D10.2"	"SPD-20A 260nm"
"0.933437065851626"	-2.602	"D10.2"	"SPD-20A 260nm"
"0.941771325368158"	-3.083	"D10.2"	"SPD-20A 260nm"
"0.95010558488469"	-3.578	"D10.2"	"SPD-20A 260nm"
"0.958439844401223"	-4.128	"D10.2"	"SPD-20A 260nm"
"0.966774103917755"	-4.716	"D10.2"	"SPD-20A 260nm"
"0.975108363434287"	-5.301	"D10.2"	"SPD-20A 260nm"
"0.98344262295082"	-5.795	"D10.2"	"SPD-20A 260nm"
"0.991776882467352"	-5.867	"D10.2"	"SPD-20A 260nm"
"1.00011114198388"	-5.349	"D10.2"	"SPD-20A 260nm"
"1.00844540150042"	-4.48	"D10.2"	"SPD-20A 260nm"
"1.01677966101695"	-3.467	"D10.2"	"SPD-20A 260nm"
"1.02511392053348"	-2.488	"D10.2"	"SPD-20A 260nm"
"1.03344818005001"	-1.807	"D10.2"	"SPD-20A 260nm"
"1.04178243956655"	-1.516	"D10.2"	"SPD-20A 260nm"
"1.05011669908308"	-1.649	"D10.2"	"SPD-20A 260nm"
"1.05845095859961"	-2.207	"D10.2"	"SPD-20A 260nm"
"1.06678521811614"	-2.927	"D10.2"	"SPD-20A 260nm"
"1.07511947763268"	-3.498	"D10.2"	"SPD-20A 260nm"
"1.08345373714921"	-3.766	"D10.2"	"SPD-20A 260nm"
"1.09178799666574"	-3.539	"D10.2"	"SPD-20A 260nm"
"1.10012225618227"	-2.766	"D10.2"	"SPD-20A 260nm"
"1.10845651569881"	-1.897	"D10.2"	"SPD-20A 260nm"
"1.11679077521534"	-1.313	"D10.2"	"SPD-20A 260nm"
"1.12512503473187"	-1.063	"D10.2"	"SPD-20A 260nm"
"1.1334592942484"	-1.074	"D10.2"	"SPD-20A 260nm"
"1.14179355376493"	-1.283	"D10.2"	"SPD-20A 260nm"
"1.15012781328147"	-1.614	"D10.2"	"SPD-20A 260nm"
"1.158462072798"	-2.04	"D10.2"	"SPD-20A 260nm"
"1.16679633231453"	-2.547	"D10.2"	"SPD-20A 260nm"
"1.17513059183106"	-3.133	"D10.2"	"SPD-20A 260nm"
"1.1834648513476"	-3.734	"D10.2"	"SPD-20A 260nm"
"1.19179911086413"	-4.133	"D10.2"	"SPD-20A 260nm"
"1.20013337038066"	-4.234	"D10.2"	"SPD-20A 260nm"
"1.20846762989719"	-4.091	"D10.2"	"SPD-20A 260nm"
"1.21680188941373"	-3.756	"D10.2"	"SPD-20A 260nm"
"1.22513614893026"	-3.279	"D10.2"	"SPD-20A 260nm"
"1.23347040844679"	-2.731	"D10.2"	"SPD-20A 260nm"
"1.24180466796332"	-2.211	"D10.2"	"SPD-20A 260nm"
"1.25013892747986"	-2.188	"D10.2"	"SPD-20A 260nm"
"1.25847318699639"	-2.998	"D10.2"	"SPD-20A 260nm"
"1.26680744651292"	-4.256	"D10.2"	"SPD-20A 260nm"
"1.27514170602945"	-5.373	"D10.2"	"SPD-20A 260nm"
"1.28347596554599"	-6.094	"D10.2"	"SPD-20A 260nm"
"1.29181022506252"	-6.159	"D10.2"	"SPD-20A 260nm"
"1.30014448457905"	-5.5	"D10.2"	"SPD-20A 260nm"
"1.30847874409558"	-4.563	"D10.2"	"SPD-20A 260nm"
"1.31681300361211"	-3.735	"D10.2"	"SPD-20A 260nm"
"1.32514726312865"	-3.094	"D10.2"	"SPD-20A 260nm"
"1.33348152264518"	-2.614	"D10.2"	"SPD-20A 260nm"
"1.34181578216171"	-2.32	"D10.2"	"SPD-20A 260nm"
"1.35015004167824"	-2.597	"D10.2"	"SPD-20A 260nm"
"1.35848430119478"	-3.752	"D10.2"	"SPD-20A 260nm"
"1.36681856071131"	-5.346	"D10.2"	"SPD-20A 260nm"
"1.37515282022784"	-6.76	"D10.2"	"SPD-20A 260nm"
"1.38348707974437"	-7.736	"D10.2"	"SPD-20A 260nm"
"1.39182133926091"	-7.914	"D10.2"	"SPD-20A 260nm"
"1.40015559877744"	-7.182	"D10.2"	"SPD-20A 260nm"
"1.40848985829397"	-6.092	"D10.2"	"SPD-20A 260nm"
"1.4168241178105"	-5.153	"D10.2"	"SPD-20A 260nm"
"1.42515837732704"	-4.479	"D10.2"	"SPD-20A 260nm"
"1.43349263684357"	-4.069	"D10.2"	"SPD-20A 260nm"
"1.4418268963601"	-3.884	"D10.2"	"SPD-20A 260nm"
"1.45016115587663"	-3.833	"D10.2"	"SPD-20A 260nm"
"1.45849541539316"	-3.824	"D10.2"	"SPD-20A 260nm"
"1.4668296749097"	-3.777	"D10.2"	"SPD-20A 260nm"
"1.47516393442623"	-3.619	"D10.2"	"SPD-20A 260nm"
"1.48349819394276"	-3.325	"D10.2"	"SPD-20A 260nm"
"1.49183245345929"	-2.907	"D10.2"	"SPD-20A 260nm"
