"Minutes"	"Intensity"	"File"	"Detector"
"0"	-0.292	"E7.2.lcd"	"SPD-20A 260nm"
"0.00833425951653237"	-0.308	"E7.2.lcd"	"SPD-20A 260nm"
"0.0166685190330647"	0.149	"E7.2.lcd"	"SPD-20A 260nm"
"0.0250027785495971"	1.075	"E7.2.lcd"	"SPD-20A 260nm"
"0.0333370380661295"	1.981	"E7.2.lcd"	"SPD-20A 260nm"
"0.0416712975826619"	2.571	"E7.2.lcd"	"SPD-20A 260nm"
"0.0500055570991942"	2.806	"E7.2.lcd"	"SPD-20A 260nm"
"0.0583398166157266"	2.725	"E7.2.lcd"	"SPD-20A 260nm"
"0.066674076132259"	2.4	"E7.2.lcd"	"SPD-20A 260nm"
"0.0750083356487913"	1.925	"E7.2.lcd"	"SPD-20A 260nm"
"0.0833425951653237"	1.351	"E7.2.lcd"	"SPD-20A 260nm"
"0.0916768546818561"	0.815	"E7.2.lcd"	"SPD-20A 260nm"
"0.100011114198388"	0.435	"E7.2.lcd"	"SPD-20A 260nm"
"0.108345373714921"	0.238	"E7.2.lcd"	"SPD-20A 260nm"
"0.116679633231453"	0.189	"E7.2.lcd"	"SPD-20A 260nm"
"0.125013892747986"	0.243	"E7.2.lcd"	"SPD-20A 260nm"
"0.133348152264518"	0.411	"E7.2.lcd"	"SPD-20A 260nm"
"0.14168241178105"	0.729	"E7.2.lcd"	"SPD-20A 260nm"
"0.150016671297583"	1.082	"E7.2.lcd"	"SPD-20A 260nm"
"0.158350930814115"	1.277	"E7.2.lcd"	"SPD-20A 260nm"
"0.166685190330647"	1.232	"E7.2.lcd"	"SPD-20A 260nm"
"0.17501944984718"	0.904	"E7.2.lcd"	"SPD-20A 260nm"
"0.183353709363712"	0.296	"E7.2.lcd"	"SPD-20A 260nm"
"0.191687968880245"	-0.319	"E7.2.lcd"	"SPD-20A 260nm"
"0.200022228396777"	-0.687	"E7.2.lcd"	"SPD-20A 260nm"
"0.208356487913309"	-0.761	"E7.2.lcd"	"SPD-20A 260nm"
"0.216690747429842"	-0.569	"E7.2.lcd"	"SPD-20A 260nm"
"0.225025006946374"	-0.156	"E7.2.lcd"	"SPD-20A 260nm"
"0.233359266462906"	0.348	"E7.2.lcd"	"SPD-20A 260nm"
"0.241693525979439"	0.871	"E7.2.lcd"	"SPD-20A 260nm"
"0.250027785495971"	1.311	"E7.2.lcd"	"SPD-20A 260nm"
"0.258362045012503"	1.529	"E7.2.lcd"	"SPD-20A 260nm"
"0.266696304529036"	1.502	"E7.2.lcd"	"SPD-20A 260nm"
"0.275030564045568"	1.339	"E7.2.lcd"	"SPD-20A 260nm"
"0.283364823562101"	1.119	"E7.2.lcd"	"SPD-20A 260nm"
"0.291699083078633"	0.804	"E7.2.lcd"	"SPD-20A 260nm"
"0.300033342595165"	0.316	"E7.2.lcd"	"SPD-20A 260nm"
"0.308367602111698"	-0.374	"E7.2.lcd"	"SPD-20A 260nm"
"0.31670186162823"	-1.298	"E7.2.lcd"	"SPD-20A 260nm"
"0.325036121144762"	-2.408	"E7.2.lcd"	"SPD-20A 260nm"
"0.333370380661295"	-3.233	"E7.2.lcd"	"SPD-20A 260nm"
"0.341704640177827"	-3.471	"E7.2.lcd"	"SPD-20A 260nm"
"0.35003889969436"	-3.194	"E7.2.lcd"	"SPD-20A 260nm"
"0.358373159210892"	-2.545	"E7.2.lcd"	"SPD-20A 260nm"
"0.366707418727424"	-1.713	"E7.2.lcd"	"SPD-20A 260nm"
"0.375041678243957"	-1.129	"E7.2.lcd"	"SPD-20A 260nm"
"0.383375937760489"	-0.963	"E7.2.lcd"	"SPD-20A 260nm"
"0.391710197277021"	-0.969	"E7.2.lcd"	"SPD-20A 260nm"
"0.400044456793554"	-0.858	"E7.2.lcd"	"SPD-20A 260nm"
"0.408378716310086"	-0.595	"E7.2.lcd"	"SPD-20A 260nm"
"0.416712975826619"	-0.328	"E7.2.lcd"	"SPD-20A 260nm"
"0.425047235343151"	-0.141	"E7.2.lcd"	"SPD-20A 260nm"
"0.433381494859683"	-0.111	"E7.2.lcd"	"SPD-20A 260nm"
"0.441715754376216"	-0.305	"E7.2.lcd"	"SPD-20A 260nm"
"0.450050013892748"	-0.539	"E7.2.lcd"	"SPD-20A 260nm"
"0.45838427340928"	-0.528	"E7.2.lcd"	"SPD-20A 260nm"
"0.466718532925813"	-0.211	"E7.2.lcd"	"SPD-20A 260nm"
"0.475052792442345"	0.266	"E7.2.lcd"	"SPD-20A 260nm"
"0.483387051958877"	0.806	"E7.2.lcd"	"SPD-20A 260nm"
"0.49172131147541"	1.269	"E7.2.lcd"	"SPD-20A 260nm"
"0.500055570991942"	1.576	"E7.2.lcd"	"SPD-20A 260nm"
"0.508389830508475"	1.721	"E7.2.lcd"	"SPD-20A 260nm"
"0.516724090025007"	1.735	"E7.2.lcd"	"SPD-20A 260nm"
"0.525058349541539"	1.626	"E7.2.lcd"	"SPD-20A 260nm"
"0.533392609058072"	1.318	"E7.2.lcd"	"SPD-20A 260nm"
"0.541726868574604"	0.757	"E7.2.lcd"	"SPD-20A 260nm"
"0.550061128091136"	0.077	"E7.2.lcd"	"SPD-20A 260nm"
"0.558395387607669"	-0.573	"E7.2.lcd"	"SPD-20A 260nm"
"0.566729647124201"	-1.146	"E7.2.lcd"	"SPD-20A 260nm"
"0.575063906640734"	-1.532	"E7.2.lcd"	"SPD-20A 260nm"
"0.583398166157266"	-1.695	"E7.2.lcd"	"SPD-20A 260nm"
"0.591732425673798"	-1.724	"E7.2.lcd"	"SPD-20A 260nm"
"0.600066685190331"	-1.722	"E7.2.lcd"	"SPD-20A 260nm"
"0.608400944706863"	-1.744	"E7.2.lcd"	"SPD-20A 260nm"
"0.616735204223395"	-1.798	"E7.2.lcd"	"SPD-20A 260nm"
"0.625069463739928"	-1.89	"E7.2.lcd"	"SPD-20A 260nm"
"0.63340372325646"	-2.058	"E7.2.lcd"	"SPD-20A 260nm"
"0.641737982772993"	-2.334	"E7.2.lcd"	"SPD-20A 260nm"
"0.650072242289525"	-2.619	"E7.2.lcd"	"SPD-20A 260nm"
"0.658406501806057"	-2.754	"E7.2.lcd"	"SPD-20A 260nm"
"0.66674076132259"	-2.667	"E7.2.lcd"	"SPD-20A 260nm"
"0.675075020839122"	-2.314	"E7.2.lcd"	"SPD-20A 260nm"
"0.683409280355654"	-1.696	"E7.2.lcd"	"SPD-20A 260nm"
"0.691743539872187"	-1.041	"E7.2.lcd"	"SPD-20A 260nm"
"0.700077799388719"	-0.542	"E7.2.lcd"	"SPD-20A 260nm"
"0.708412058905251"	-0.194	"E7.2.lcd"	"SPD-20A 260nm"
"0.716746318421784"	0.127	"E7.2.lcd"	"SPD-20A 260nm"
"0.725080577938316"	0.475	"E7.2.lcd"	"SPD-20A 260nm"
"0.733414837454849"	0.655	"E7.2.lcd"	"SPD-20A 260nm"
"0.741749096971381"	0.5	"E7.2.lcd"	"SPD-20A 260nm"
"0.750083356487913"	0.074	"E7.2.lcd"	"SPD-20A 260nm"
"0.758417616004446"	-0.518	"E7.2.lcd"	"SPD-20A 260nm"
"0.766751875520978"	-1.131	"E7.2.lcd"	"SPD-20A 260nm"
"0.77508613503751"	-1.37	"E7.2.lcd"	"SPD-20A 260nm"
"0.783420394554043"	-1.071	"E7.2.lcd"	"SPD-20A 260nm"
"0.791754654070575"	-0.588	"E7.2.lcd"	"SPD-20A 260nm"
"0.800088913587108"	-0.29	"E7.2.lcd"	"SPD-20A 260nm"
"0.80842317310364"	-0.233	"E7.2.lcd"	"SPD-20A 260nm"
"0.816757432620172"	-0.327	"E7.2.lcd"	"SPD-20A 260nm"
"0.825091692136705"	-0.492	"E7.2.lcd"	"SPD-20A 260nm"
"0.833425951653237"	-0.543	"E7.2.lcd"	"SPD-20A 260nm"
"0.841760211169769"	-0.345	"E7.2.lcd"	"SPD-20A 260nm"
"0.850094470686302"	-0.004	"E7.2.lcd"	"SPD-20A 260nm"
"0.858428730202834"	0.274	"E7.2.lcd"	"SPD-20A 260nm"
"0.866762989719367"	0.391	"E7.2.lcd"	"SPD-20A 260nm"
"0.875097249235899"	0.308	"E7.2.lcd"	"SPD-20A 260nm"
"0.883431508752431"	0.044	"E7.2.lcd"	"SPD-20A 260nm"
"0.891765768268964"	-0.269	"E7.2.lcd"	"SPD-20A 260nm"
"0.900100027785496"	-0.516	"E7.2.lcd"	"SPD-20A 260nm"
