"Minutes"	"Intensity"	"Sample"	"Detector"
"0"	-0.458	"blanc4"	"SPD-20A 260nm"
"0.00833425951653237"	-1.062	"blanc4"	"SPD-20A 260nm"
"0.0166685190330647"	-1.712	"blanc4"	"SPD-20A 260nm"
"0.0250027785495971"	-1.958	"blanc4"	"SPD-20A 260nm"
"0.0333370380661295"	-1.576	"blanc4"	"SPD-20A 260nm"
"0.0416712975826619"	-0.777	"blanc4"	"SPD-20A 260nm"
"0.0500055570991942"	0.255	"blanc4"	"SPD-20A 260nm"
"0.0583398166157266"	1.369	"blanc4"	"SPD-20A 260nm"
"0.066674076132259"	2.348	"blanc4"	"SPD-20A 260nm"
"0.0750083356487913"	3.133	"blanc4"	"SPD-20A 260nm"
"0.0833425951653237"	3.684	"blanc4"	"SPD-20A 260nm"
"0.0916768546818561"	4.023	"blanc4"	"SPD-20A 260nm"
"0.100011114198388"	4.166	"blanc4"	"SPD-20A 260nm"
"0.108345373714921"	4.121	"blanc4"	"SPD-20A 260nm"
"0.116679633231453"	3.976	"blanc4"	"SPD-20A 260nm"
"0.125013892747986"	3.918	"blanc4"	"SPD-20A 260nm"
"0.133348152264518"	3.961	"blanc4"	"SPD-20A 260nm"
"0.14168241178105"	3.466	"blanc4"	"SPD-20A 260nm"
"0.150016671297583"	1.706	"blanc4"	"SPD-20A 260nm"
"0.158350930814115"	-0.964	"blanc4"	"SPD-20A 260nm"
"0.166685190330647"	-3.491	"blanc4"	"SPD-20A 260nm"
"0.17501944984718"	-5.413	"blanc4"	"SPD-20A 260nm"
"0.183353709363712"	-6.059	"blanc4"	"SPD-20A 260nm"
"0.191687968880245"	-5.051	"blanc4"	"SPD-20A 260nm"
"0.200022228396777"	-3.353	"blanc4"	"SPD-20A 260nm"
"0.208356487913309"	-2.287	"blanc4"	"SPD-20A 260nm"
"0.216690747429842"	-2.1	"blanc4"	"SPD-20A 260nm"
"0.225025006946374"	-2.356	"blanc4"	"SPD-20A 260nm"
"0.233359266462906"	-2.725	"blanc4"	"SPD-20A 260nm"
"0.241693525979439"	-2.767	"blanc4"	"SPD-20A 260nm"
"0.250027785495971"	-2.107	"blanc4"	"SPD-20A 260nm"
"0.258362045012503"	-0.915	"blanc4"	"SPD-20A 260nm"
"0.266696304529036"	0.31	"blanc4"	"SPD-20A 260nm"
"0.275030564045568"	1.389	"blanc4"	"SPD-20A 260nm"
"0.283364823562101"	2.198	"blanc4"	"SPD-20A 260nm"
"0.291699083078633"	2.69	"blanc4"	"SPD-20A 260nm"
"0.300033342595165"	2.951	"blanc4"	"SPD-20A 260nm"
"0.308367602111698"	3.122	"blanc4"	"SPD-20A 260nm"
"0.31670186162823"	3.272	"blanc4"	"SPD-20A 260nm"
"0.325036121144762"	3.319	"blanc4"	"SPD-20A 260nm"
"0.333370380661295"	3.213	"blanc4"	"SPD-20A 260nm"
"0.341704640177827"	3.049	"blanc4"	"SPD-20A 260nm"
"0.35003889969436"	2.954	"blanc4"	"SPD-20A 260nm"
"0.358373159210892"	2.998	"blanc4"	"SPD-20A 260nm"
"0.366707418727424"	3.22	"blanc4"	"SPD-20A 260nm"
"0.375041678243957"	3.613	"blanc4"	"SPD-20A 260nm"
"0.383375937760489"	4.101	"blanc4"	"SPD-20A 260nm"
"0.391710197277021"	4.645	"blanc4"	"SPD-20A 260nm"
"0.400044456793554"	5.154	"blanc4"	"SPD-20A 260nm"
"0.408378716310086"	5.517	"blanc4"	"SPD-20A 260nm"
"0.416712975826619"	5.704	"blanc4"	"SPD-20A 260nm"
"0.425047235343151"	5.713	"blanc4"	"SPD-20A 260nm"
"0.433381494859683"	5.566	"blanc4"	"SPD-20A 260nm"
"0.441715754376216"	5.326	"blanc4"	"SPD-20A 260nm"
"0.450050013892748"	5.05	"blanc4"	"SPD-20A 260nm"
"0.45838427340928"	4.76	"blanc4"	"SPD-20A 260nm"
"0.466718532925813"	4.441	"blanc4"	"SPD-20A 260nm"
"0.475052792442345"	4.068	"blanc4"	"SPD-20A 260nm"
"0.483387051958877"	3.647	"blanc4"	"SPD-20A 260nm"
"0.49172131147541"	3.191	"blanc4"	"SPD-20A 260nm"
"0.500055570991942"	2.842	"blanc4"	"SPD-20A 260nm"
"0.508389830508475"	2.778	"blanc4"	"SPD-20A 260nm"
"0.516724090025007"	3.024	"blanc4"	"SPD-20A 260nm"
"0.525058349541539"	3.49	"blanc4"	"SPD-20A 260nm"
"0.533392609058072"	4.124	"blanc4"	"SPD-20A 260nm"
"0.541726868574604"	4.702	"blanc4"	"SPD-20A 260nm"
"0.550061128091136"	5.01	"blanc4"	"SPD-20A 260nm"
"0.558395387607669"	5.008	"blanc4"	"SPD-20A 260nm"
"0.566729647124201"	4.742	"blanc4"	"SPD-20A 260nm"
"0.575063906640734"	4.267	"blanc4"	"SPD-20A 260nm"
"0.583398166157266"	3.753	"blanc4"	"SPD-20A 260nm"
"0.591732425673798"	3.31	"blanc4"	"SPD-20A 260nm"
"0.600066685190331"	3.02	"blanc4"	"SPD-20A 260nm"
"0.608400944706863"	2.976	"blanc4"	"SPD-20A 260nm"
"0.616735204223395"	3.166	"blanc4"	"SPD-20A 260nm"
"0.625069463739928"	3.505	"blanc4"	"SPD-20A 260nm"
"0.63340372325646"	3.945	"blanc4"	"SPD-20A 260nm"
"0.641737982772993"	4.304	"blanc4"	"SPD-20A 260nm"
"0.650072242289525"	4.397	"blanc4"	"SPD-20A 260nm"
"0.658406501806057"	4.232	"blanc4"	"SPD-20A 260nm"
"0.66674076132259"	3.94	"blanc4"	"SPD-20A 260nm"
"0.675075020839122"	3.599	"blanc4"	"SPD-20A 260nm"
"0.683409280355654"	3.308	"blanc4"	"SPD-20A 260nm"
"0.691743539872187"	3.12	"blanc4"	"SPD-20A 260nm"
"0.700077799388719"	3.009	"blanc4"	"SPD-20A 260nm"
"0.708412058905251"	2.914	"blanc4"	"SPD-20A 260nm"
"0.716746318421784"	2.86	"blanc4"	"SPD-20A 260nm"
"0.725080577938316"	3.039	"blanc4"	"SPD-20A 260nm"
"0.733414837454849"	3.549	"blanc4"	"SPD-20A 260nm"
"0.741749096971381"	4.194	"blanc4"	"SPD-20A 260nm"
"0.750083356487913"	4.788	"blanc4"	"SPD-20A 260nm"
"0.758417616004446"	5.263	"blanc4"	"SPD-20A 260nm"
"0.766751875520978"	5.544	"blanc4"	"SPD-20A 260nm"
"0.77508613503751"	5.633	"blanc4"	"SPD-20A 260nm"
"0.783420394554043"	5.583	"blanc4"	"SPD-20A 260nm"
