"Compound"	"Slope"	"Y.Intercept"	"Peak.start"	"Peak.end"	"my.detector"
"Acetate"	0.0378808282992741	-1.24335063270476	17.7	18.9	"RID-10A"
"Acetate"	0.0368265884167941	-7.57233666717071	17.7	18.6	"SPD-20A 210nm"
"Ethanol"	0.0480369410277309	-10.7581480225318	26.1	27.7	"RID-10A"
"Lactate"	0.0178990537887375	-0.607707041078262	15.1	16.1	"RID-10A"
"Lactate"	0.0185646383908845	-3.21527454086183	14.9	15.8	"SPD-20A 210nm"
"Formate"	0.0694758351684134	-2.45500930983098	16.4	17.4	"RID-10A"
"Formate"	0.0298535679524148	-5.34155912173192	16.2	17.3	"SPD-20A 210nm"
"Glucose"	-0.0262223690307219	120.834577495986	10.7	11.7	"RID-10A"
"Butyrate"	0.0327805901431243	-5.1648282551116	24.5	26.5	"RID-10A"
"Butanol"	0.0225630324658014	0.259684696553374	43.8	46	"RID-10A"
"Acetone"	0.0761514052174177	-0.622814901155945	25.5	27	"RID-10A"
