R.Time (min)	Intensity
0.00000	2
0.00833	2
0.01667	1
0.02500	0
0.03333	0
0.04167	0
0.05000	-0
0.05833	-1
0.06667	-1
0.07500	-1
0.08333	-1
0.09167	-2
0.10000	-1
0.10833	-1
0.11667	-1
0.12500	-0
0.13333	0
0.14167	1
0.15000	1
0.15833	2
0.16667	2
0.17500	2
0.18333	2
0.19167	2
0.20000	1
0.20833	2
0.21667	2
0.22500	2
0.23333	2
0.24167	2
0.25000	2
0.25833	2
0.26667	1
0.27500	1
0.28333	1
0.29167	1
0.30000	1
0.30833	1
0.31667	1
0.32500	1
0.33333	1
0.34167	0
0.35000	0
0.35833	0
0.36667	-0
0.37500	-1
0.38333	-1
0.39167	-1
0.40000	-2
0.40833	-2
0.41667	-2
0.42500	-2
0.43333	-2
0.44167	-2
0.45000	-2
0.45833	-2
0.46667	-2
0.47500	-2
0.48333	-2
0.49167	-2
0.50000	-1
0.50833	-1
0.51667	-2
0.52500	-2
0.53333	-2
0.54167	-2
0.55000	-3
0.55833	-3
0.56667	-3
0.57500	-3
0.58333	-3
0.59167	-3
0.60000	-2
0.60833	-2
0.61667	-2
0.62500	-2
0.63333	-2
0.64167	-2
0.65000	-2
0.65833	-2
0.66667	-2
0.67500	-2
0.68333	-2
0.69167	-2
0.70000	-2
0.70833	-2
0.71667	-2
0.72500	-2
0.73333	-1
0.74167	-1
0.75000	-1
0.75833	-1
0.76667	-1
0.77500	-0
0.78333	0
0.79167	0
0.80000	0
0.80833	0
0.81667	-0
0.82500	-0
0.83333	0
0.84167	1
0.85000	1
0.85833	1
0.86667	1
0.87500	1
0.88333	1
0.89167	1
0.90000	1
0.90833	2
0.91667	2
0.92500	2
0.93333	2
0.94167	1
0.95000	1
0.95833	0
0.96667	-0
0.97500	-0
0.98333	-0
0.99167	-0
1.00000	-0
1.00833	-0
1.01667	0
1.02500	1
1.03333	1
1.04167	0
1.05000	-0
1.05833	-0
1.06667	-0
1.07500	-0
1.08333	-0
1.09167	-1
