"","int"
"0",-0.01
"0.00833531864204884",-0.022
"0.0166706372840977",0.006
"0.0250059559261465",0.082
"0.0333412745681954",0.191
"0.0416765932102442",0.308
"0.050011911852293",0.409
"0.0583472304943419",0.494
"0.0666825491363907",0.542
"0.0750178677784396",0.532
"0.0833531864204884",0.475
"0.0916885050625372",0.415
"0.100023823704586",0.372
"0.108359142346635",0.356
"0.116694460988684",0.396
"0.125029779630733",0.464
"0.133365098272781",0.491
"0.14170041691483",0.47
"0.150035735556879",0.451
"0.158371054198928",0.462
"0.166706372840977",0.5
"0.175041691483026",0.554
"0.183377010125074",0.604
"0.191712328767123",0.602
"0.200047647409172",0.54
"0.208382966051221",0.471
"0.21671828469327",0.431
"0.225053603335319",0.437
"0.233388921977367",0.475
"0.241724240619416",0.531
"0.250059559261465",0.592
"0.258394877903514",0.643
"0.266730196545563",0.68
"0.275065515187612",0.683
"0.283400833829661",0.636
"0.291736152471709",0.565
"0.300071471113758",0.495
"0.308406789755807",0.452
"0.316742108397856",0.455
"0.325077427039905",0.482
"0.333412745681954",0.483
"0.341748064324002",0.433
"0.350083382966051",0.354
"0.3584187016081",0.271
"0.366754020250149",0.193
"0.375089338892198",0.159
"0.383424657534247",0.174
"0.391759976176295",0.219
"0.400095294818344",0.294
"0.408430613460393",0.397
"0.416765932102442",0.511
"0.425101250744491",0.633
"0.43343656938654",0.751
"0.441771888028588",0.85
"0.450107206670637",0.919
"0.458442525312686",0.964
"0.466777843954735",0.967
"0.475113162596784",0.893
"0.483448481238833",0.76
"0.491783799880882",0.607
"0.50011911852293",0.461
"0.508454437164979",0.374
"0.516789755807028",0.371
"0.525125074449077",0.42
"0.533460393091126",0.478
"0.541795711733175",0.538
"0.550131030375223",0.589
"0.558466349017272",0.61
"0.566801667659321",0.592
"0.57513698630137",0.542
"0.583472304943419",0.497
"0.591807623585468",0.504
"0.600142942227516",0.576
"0.608478260869565",0.691
"0.616813579511614",0.833
"0.625148898153663",0.951
"0.633484216795712",0.985
"0.641819535437761",0.932
"0.650154854079809",0.833
"0.658490172721858",0.722
"0.666825491363907",0.616
"0.675160810005956",0.557
"0.683496128648005",0.576
"0.691831447290054",0.661
"0.700166765932102",0.776
"0.708502084574151",0.864
"0.7168374032162",0.875
"0.725172721858249",0.831
"0.733508040500298",0.81
"0.741843359142347",0.859
"0.750178677784396",0.975
"0.758513996426444",1.144
"0.766849315068493",1.293
"0.775184633710542",1.353
"0.783519952352591",1.327
"0.79185527099464",1.26
"0.800190589636689",1.189
"0.808525908278737",1.138
"0.816861226920786",1.125
"0.825196545562835",1.125
"0.833531864204884",1.104
"0.841867182846933",1.038
"0.850202501488982",0.953
"0.85853782013103",0.886
"0.866873138773079",0.841
"0.875208457415128",0.825
"0.883543776057177",0.827
"0.891879094699226",0.837
"0.900214413341275",0.84
"0.908549731983323",0.84
"0.916885050625372",0.84
"0.925220369267421",0.842
"0.93355568790947",0.864
"0.941891006551519",0.903
"0.950226325193568",0.93
"0.958561643835616",0.94
"0.966896962477665",0.934
"0.975232281119714",0.928
"0.983567599761763",0.937
"0.991902918403812",0.978
"1.00023823704586",1.056
"1.00857355568791",1.139
"1.01690887432996",1.198
"1.02524419297201",1.232
"1.03357951161406",1.237
"1.0419148302561",1.216
"1.05025014889815",1.2
"1.0585854675402",1.211
"1.06692078618225",1.26
"1.0752561048243",1.348
"1.08359142346635",1.466
"1.0919267421084",1.58
"1.10026206075045",1.667
"1.1085973793925",1.714
"1.11693269803454",1.702
"1.12526801667659",1.644
"1.13360333531864",1.548
"1.14193865396069",1.422
"1.15027397260274",1.306
"1.15860929124479",1.243
"1.16694460988684",1.227
"1.17527992852889",1.215
"1.18361524717094",1.172
"1.19195056581298",1.089
"1.20028588445503",0.978
