"","int"
"0",-0.078
"0.00833531864204884",-0.045
"0.0166706372840977",-0.091
"0.0250059559261465",-0.123
"0.0333412745681954",-0.136
"0.0416765932102442",-0.165
"0.050011911852293",-0.247
"0.0583472304943419",-0.359
"0.0666825491363907",-0.453
"0.0750178677784396",-0.519
"0.0833531864204884",-0.564
"0.0916885050625372",-0.576
"0.100023823704586",-0.553
"0.108359142346635",-0.501
"0.116694460988684",-0.43
"0.125029779630733",-0.368
"0.133365098272781",-0.338
"0.14170041691483",-0.34
"0.150035735556879",-0.343
"0.158371054198928",-0.322
"0.166706372840977",-0.264
"0.175041691483026",-0.171
"0.183377010125074",-0.082
"0.191712328767123",-0.017
"0.200047647409172",0.051
"0.208382966051221",0.152
"0.21671828469327",0.273
"0.225053603335319",0.354
"0.233388921977367",0.371
"0.241724240619416",0.317
"0.250059559261465",0.195
"0.258394877903514",0.046
"0.266730196545563",-0.065
"0.275065515187612",-0.118
"0.283400833829661",-0.141
"0.291736152471709",-0.161
"0.300071471113758",-0.198
"0.308406789755807",-0.256
"0.316742108397856",-0.335
"0.325077427039905",-0.393
"0.333412745681954",-0.395
"0.341748064324002",-0.336
"0.350083382966051",-0.245
"0.3584187016081",-0.153
"0.366754020250149",-0.088
"0.375089338892198",-0.065
"0.383424657534247",-0.068
"0.391759976176295",-0.085
"0.400095294818344",-0.11
"0.408430613460393",-0.136
"0.416765932102442",-0.176
"0.425101250744491",-0.218
"0.43343656938654",-0.238
"0.441771888028588",-0.24
"0.450107206670637",-0.229
"0.458442525312686",-0.21
"0.466777843954735",-0.192
"0.475113162596784",-0.18
"0.483448481238833",-0.199
"0.491783799880882",-0.267
"0.50011911852293",-0.356
"0.508454437164979",-0.434
"0.516789755807028",-0.478
"0.525125074449077",-0.458
"0.533460393091126",-0.367
"0.541795711733175",-0.228
"0.550131030375223",-0.056
"0.558466349017272",0.119
"0.566801667659321",0.246
"0.57513698630137",0.301
"0.583472304943419",0.284
"0.591807623585468",0.21
"0.600142942227516",0.11
"0.608478260869565",0.025
"0.616813579511614",-0.039
"0.625148898153663",-0.084
"0.633484216795712",-0.084
"0.641819535437761",-0.051
"0.650154854079809",-0.02
"0.658490172721858",0.001
"0.666825491363907",-0.004
"0.675160810005956",-0.045
"0.683496128648005",-0.094
"0.691831447290054",-0.127
"0.700166765932102",-0.124
"0.708502084574151",-0.081
"0.7168374032162",-0.011
"0.725172721858249",0.048
"0.733508040500298",0.073
"0.741843359142347",0.075
"0.750178677784396",0.082
"0.758513996426444",0.109
"0.766849315068493",0.158
"0.775184633710542",0.234
"0.783519952352591",0.305
"0.79185527099464",0.339
"0.800190589636689",0.328
"0.808525908278737",0.296
"0.816861226920786",0.253
"0.825196545562835",0.205
"0.833531864204884",0.162
"0.841867182846933",0.146
"0.850202501488982",0.171
"0.85853782013103",0.218
"0.866873138773079",0.254
"0.875208457415128",0.257
"0.883543776057177",0.235
"0.891879094699226",0.208
"0.900214413341275",0.171
"0.908549731983323",0.144
"0.916885050625372",0.14
"0.925220369267421",0.14
"0.93355568790947",0.123
"0.941891006551519",0.083
"0.950226325193568",0.044
"0.958561643835616",0.007
"0.966896962477665",-0.02
"0.975232281119714",-0.043
"0.983567599761763",-0.053
"0.991902918403812",-0.019
"1.00023823704586",0.05
"1.00857355568791",0.12
"1.01690887432996",0.172
"1.02524419297201",0.204
"1.03357951161406",0.204
"1.0419148302561",0.181
"1.05025014889815",0.188
"1.0585854675402",0.237
"1.06692078618225",0.305
"1.0752561048243",0.376
"1.08359142346635",0.422
"1.0919267421084",0.421
"1.10026206075045",0.359
"1.1085973793925",0.265
"1.11693269803454",0.175
"1.12526801667659",0.12
"1.13360333531864",0.128
"1.14193865396069",0.179
"1.15027397260274",0.241
"1.15860929124479",0.303
"1.16694460988684",0.352
"1.17527992852889",0.387
"1.18361524717094",0.412
"1.19195056581298",0.408
"1.20028588445503",0.363
"1.20862120309708",0.274
"1.21695652173913",0.169
"1.22529184038118",0.094
"1.23362715902323",0.086
"1.24196247766528",0.115
"1.25029779630733",0.155
"1.25863311494937",0.196
"1.26696843359142",0.218
"1.27530375223347",0.198
"1.28363907087552",0.15
"1.29197438951757",0.108
"1.30030970815962",0.094
"1.30864502680167",0.124
"1.31698034544372",0.205
"1.32531566408577",0.305
"1.33365098272781",0.4
"1.34198630136986",0.473
"1.35032162001191",0.494
"1.35865693865396",0.463
"1.36699225729601",0.433
"1.37532757593806",0.437
"1.38366289458011",0.46
"1.39199821322216",0.496
"1.4003335318642",0.548
"1.40866885050625",0.598
"1.4170041691483",0.638
"1.42533948779035",0.665
"1.4336748064324",0.683
"1.44201012507445",0.706
"1.4503454437165",0.742
"1.45868076235855",0.779
"1.4670160810006",0.801
"1.47535139964264",0.787
"1.48368671828469",0.721
"1.49202203692674",0.61
"1.50035735556879",0.503
"1.50869267421084",0.439
"1.51702799285289",0.437
"1.52536331149494",0.482
"1.53369863013699",0.548
"1.54203394877904",0.599
"1.55036926742108",0.597
"1.55870458606313",0.548
"1.56703990470518",0.488
"1.57537522334723",0.415
"1.58371054198928",0.359
"1.59204586063133",0.363
"1.60038117927338",0.424
"1.60871649791543",0.535
"1.61705181655747",0.659
"1.62538713519952",0.752
"1.63372245384157",0.785
"1.64205777248362",0.745
"1.65039309112567",0.64
"1.65872840976772",0.524
"1.66706372840977",0.462
"1.67539904705182",0.465
"1.68373436569387",0.502
"1.69206968433591",0.562
"1.70040500297796",0.624
"1.70874032162001",0.671
"1.71707564026206",0.697
"1.72541095890411",0.713
"1.73374627754616",0.728
"1.74208159618821",0.709
"1.75041691483026",0.635
"1.7587522334723",0.544
"1.76708755211435",0.494
"1.7754228707564",0.517
"1.78375818939845",0.609
"1.7920935080405",0.749
"1.80042882668255",0.866
"1.8087641453246",0.885
"1.81709946396665",0.802
"1.8254347826087",0.66
"1.83377010125074",0.504
"1.84210541989279",0.386
"1.85044073853484",0.349
"1.85877605717689",0.403
"1.86711137581894",0.536
"1.87544669446099",0.723
"1.88378201310304",0.897
"1.89211733174509",1.027
"1.90045265038714",1.099
"1.90878796902918",1.098
"1.91712328767123",1.042
"1.92545860631328",0.988
"1.93379392495533",0.964
"1.94212924359738",0.954
"1.95046456223943",0.935
"1.95879988088148",0.91
"1.96713519952353",0.887
"1.97547051816557",0.87
"1.98380583680762",0.868
"1.99214115544967",0.892
"2.00047647409172",0.908
"2.00881179273377",0.882
"2.01714711137582",0.817
"2.02548243001787",0.749
"2.03381774865992",0.68
"2.04215306730197",0.61
"2.05048838594401",0.559
"2.05882370458606",0.527
"2.06715902322811",0.507
"2.07549434187016",0.493
"2.08382966051221",0.481
"2.09216497915426",0.494
"2.10050029779631",0.54
"2.10883561643836",0.602
"2.1171709350804",0.66
"2.12550625372245",0.701
"2.1338415723645",0.737
"2.14217689100655",0.777
"2.1505122096486",0.799
"2.15884752829065",0.798
"2.1671828469327",0.814
"2.17551816557475",0.884
"2.1838534842168",0.974
"2.19218880285884",1.048
"2.20052412150089",1.098
"2.20885944014294",1.115
"2.21719475878499",1.1
"2.22553007742704",1.068
"2.23386539606909",1.029
"2.24220071471114",0.978
"2.25053603335319",0.941
"2.25887135199524",0.922
"2.26720667063728",0.941
"2.27554198927933",1.01
"2.28387730792138",1.116
"2.29221262656343",1.254
"2.30054794520548",1.378
"2.30888326384753",1.435
"2.31721858248958",1.402
"2.32555390113163",1.315
"2.33388921977367",1.211
"2.34222453841572",1.129
"2.35055985705777",1.112
"2.35889517569982",1.161
"2.36723049434187",1.239
"2.37556581298392",1.335
"2.38390113162597",1.428
"2.39223645026802",1.505
"2.40057176891007",1.575
"2.40890708755211",1.628
"2.41724240619416",1.664
"2.42557772483621",1.687
"2.43391304347826",1.685
"2.44224836212031",1.669
"2.45058368076236",1.669
"2.45891899940441",1.69
"2.46725431804646",1.712
"2.47558963668851",1.709
"2.48392495533055",1.685
"2.4922602739726",1.667
"2.50059559261465",1.655
"2.5089309112567",1.634
"2.51726622989875",1.588
"2.5256015485408",1.522
"2.53393686718285",1.456
"2.5422721858249",1.424
"2.55060750446694",1.462
