"Minutes"	"Intensity"	"Sample"	"Detector"
"0"	-0.174	"A5"	"SPD-20A 260nm"
"0.00833518621456365"	-0.464	"A5"	"SPD-20A 260nm"
"0.0166703724291273"	-0.748	"A5"	"SPD-20A 260nm"
"0.0250055586436909"	-0.837	"A5"	"SPD-20A 260nm"
"0.0333407448582546"	-0.667	"A5"	"SPD-20A 260nm"
"0.0416759310728182"	-0.399	"A5"	"SPD-20A 260nm"
"0.0500111172873819"	-0.181	"A5"	"SPD-20A 260nm"
"0.0583463035019455"	0.013	"A5"	"SPD-20A 260nm"
"0.0666814897165092"	0.305	"A5"	"SPD-20A 260nm"
"0.0750166759310728"	0.724	"A5"	"SPD-20A 260nm"
"0.0833518621456365"	1.11	"A5"	"SPD-20A 260nm"
"0.0916870483602001"	1.377	"A5"	"SPD-20A 260nm"
"0.100022234574764"	1.432	"A5"	"SPD-20A 260nm"
"0.108357420789327"	1.19	"A5"	"SPD-20A 260nm"
"0.116692607003891"	0.762	"A5"	"SPD-20A 260nm"
"0.125027793218455"	0.463	"A5"	"SPD-20A 260nm"
"0.133362979433018"	0.464	"A5"	"SPD-20A 260nm"
"0.141698165647582"	0.798	"A5"	"SPD-20A 260nm"
"0.150033351862146"	1.47	"A5"	"SPD-20A 260nm"
"0.158368538076709"	2.217	"A5"	"SPD-20A 260nm"
"0.166703724291273"	2.589	"A5"	"SPD-20A 260nm"
"0.175038910505837"	2.481	"A5"	"SPD-20A 260nm"
"0.1833740967204"	2.144	"A5"	"SPD-20A 260nm"
"0.191709282934964"	1.764	"A5"	"SPD-20A 260nm"
"0.200044469149528"	1.512	"A5"	"SPD-20A 260nm"
"0.208379655364091"	1.577	"A5"	"SPD-20A 260nm"
"0.216714841578655"	1.899	"A5"	"SPD-20A 260nm"
"0.225050027793218"	2.123	"A5"	"SPD-20A 260nm"
"0.233385214007782"	2.073	"A5"	"SPD-20A 260nm"
"0.241720400222346"	1.848	"A5"	"SPD-20A 260nm"
"0.250055586436909"	1.564	"A5"	"SPD-20A 260nm"
"0.258390772651473"	1.247	"A5"	"SPD-20A 260nm"
"0.266725958866037"	0.884	"A5"	"SPD-20A 260nm"
"0.2750611450806"	0.477	"A5"	"SPD-20A 260nm"
"0.283396331295164"	0.131	"A5"	"SPD-20A 260nm"
"0.291731517509728"	-0.083	"A5"	"SPD-20A 260nm"
"0.300066703724291"	-0.124	"A5"	"SPD-20A 260nm"
"0.308401889938855"	0.05	"A5"	"SPD-20A 260nm"
"0.316737076153419"	0.35	"A5"	"SPD-20A 260nm"
"0.325072262367982"	0.526	"A5"	"SPD-20A 260nm"
"0.333407448582546"	0.469	"A5"	"SPD-20A 260nm"
"0.341742634797109"	0.226	"A5"	"SPD-20A 260nm"
"0.350077821011673"	-0.168	"A5"	"SPD-20A 260nm"
"0.358413007226237"	-0.594	"A5"	"SPD-20A 260nm"
"0.3667481934408"	-0.882	"A5"	"SPD-20A 260nm"
"0.375083379655364"	-0.973	"A5"	"SPD-20A 260nm"
"0.383418565869928"	-0.814	"A5"	"SPD-20A 260nm"
"0.391753752084491"	-0.4	"A5"	"SPD-20A 260nm"
"0.400088938299055"	0.053	"A5"	"SPD-20A 260nm"
"0.408424124513619"	0.283	"A5"	"SPD-20A 260nm"
"0.416759310728182"	0.215	"A5"	"SPD-20A 260nm"
"0.425094496942746"	-0.106	"A5"	"SPD-20A 260nm"
"0.43342968315731"	-0.619	"A5"	"SPD-20A 260nm"
"0.441764869371873"	-1.086	"A5"	"SPD-20A 260nm"
"0.450100055586437"	-1.325	"A5"	"SPD-20A 260nm"
"0.458435241801001"	-1.309	"A5"	"SPD-20A 260nm"
"0.466770428015564"	-1.063	"A5"	"SPD-20A 260nm"
"0.475105614230128"	-0.653	"A5"	"SPD-20A 260nm"
"0.483440800444691"	-0.265	"A5"	"SPD-20A 260nm"
"0.491775986659255"	0.015	"A5"	"SPD-20A 260nm"
"0.500111172873819"	0.141	"A5"	"SPD-20A 260nm"
"0.508446359088382"	0.053	"A5"	"SPD-20A 260nm"
"0.516781545302946"	-0.167	"A5"	"SPD-20A 260nm"
"0.52511673151751"	-0.271	"A5"	"SPD-20A 260nm"
"0.533451917732073"	-0.138	"A5"	"SPD-20A 260nm"
"0.541787103946637"	0.159	"A5"	"SPD-20A 260nm"
"0.550122290161201"	0.53	"A5"	"SPD-20A 260nm"
"0.558457476375764"	0.85	"A5"	"SPD-20A 260nm"
"0.566792662590328"	0.948	"A5"	"SPD-20A 260nm"
"0.575127848804892"	0.775	"A5"	"SPD-20A 260nm"
"0.583463035019455"	0.404	"A5"	"SPD-20A 260nm"
"0.591798221234019"	-0.113	"A5"	"SPD-20A 260nm"
