"Minutes"	"Intensity"	"Sample"	"Detector"
"0"	-0.228	"B2"	"SPD-20A 260nm"
"0.00833425951653237"	-0.483	"B2"	"SPD-20A 260nm"
"0.0166685190330647"	-0.397	"B2"	"SPD-20A 260nm"
"0.0250027785495971"	-0.121	"B2"	"SPD-20A 260nm"
"0.0333370380661295"	0.232	"B2"	"SPD-20A 260nm"
"0.0416712975826619"	0.483	"B2"	"SPD-20A 260nm"
"0.0500055570991942"	0.458	"B2"	"SPD-20A 260nm"
"0.0583398166157266"	0.117	"B2"	"SPD-20A 260nm"
"0.066674076132259"	-0.522	"B2"	"SPD-20A 260nm"
"0.0750083356487913"	-1.421	"B2"	"SPD-20A 260nm"
"0.0833425951653237"	-2.138	"B2"	"SPD-20A 260nm"
"0.0916768546818561"	-2.323	"B2"	"SPD-20A 260nm"
"0.100011114198388"	-2.273	"B2"	"SPD-20A 260nm"
"0.108345373714921"	-2.676	"B2"	"SPD-20A 260nm"
"0.116679633231453"	-3.72	"B2"	"SPD-20A 260nm"
"0.125013892747986"	-4.964	"B2"	"SPD-20A 260nm"
"0.133348152264518"	-6.148	"B2"	"SPD-20A 260nm"
"0.14168241178105"	-6.929	"B2"	"SPD-20A 260nm"
"0.150016671297583"	-6.97	"B2"	"SPD-20A 260nm"
"0.158350930814115"	-6.368	"B2"	"SPD-20A 260nm"
"0.166685190330647"	-5.582	"B2"	"SPD-20A 260nm"
"0.17501944984718"	-4.821	"B2"	"SPD-20A 260nm"
"0.183353709363712"	-4.179	"B2"	"SPD-20A 260nm"
"0.191687968880245"	-3.66	"B2"	"SPD-20A 260nm"
"0.200022228396777"	-3.304	"B2"	"SPD-20A 260nm"
"0.208356487913309"	-3.252	"B2"	"SPD-20A 260nm"
"0.216690747429842"	-3.529	"B2"	"SPD-20A 260nm"
"0.225025006946374"	-3.959	"B2"	"SPD-20A 260nm"
"0.233359266462906"	-4.427	"B2"	"SPD-20A 260nm"
"0.241693525979439"	-4.834	"B2"	"SPD-20A 260nm"
"0.250027785495971"	-5.094	"B2"	"SPD-20A 260nm"
"0.258362045012503"	-5.176	"B2"	"SPD-20A 260nm"
"0.266696304529036"	-5.058	"B2"	"SPD-20A 260nm"
"0.275030564045568"	-4.761	"B2"	"SPD-20A 260nm"
"0.283364823562101"	-4.406	"B2"	"SPD-20A 260nm"
"0.291699083078633"	-4.064	"B2"	"SPD-20A 260nm"
"0.300033342595165"	-3.816	"B2"	"SPD-20A 260nm"
"0.308367602111698"	-3.805	"B2"	"SPD-20A 260nm"
"0.31670186162823"	-4.013	"B2"	"SPD-20A 260nm"
"0.325036121144762"	-4.193	"B2"	"SPD-20A 260nm"
"0.333370380661295"	-4.187	"B2"	"SPD-20A 260nm"
"0.341704640177827"	-3.948	"B2"	"SPD-20A 260nm"
"0.35003889969436"	-3.434	"B2"	"SPD-20A 260nm"
"0.358373159210892"	-2.794	"B2"	"SPD-20A 260nm"
"0.366707418727424"	-2.451	"B2"	"SPD-20A 260nm"
"0.375041678243957"	-2.586	"B2"	"SPD-20A 260nm"
"0.383375937760489"	-2.914	"B2"	"SPD-20A 260nm"
"0.391710197277021"	-3.158	"B2"	"SPD-20A 260nm"
"0.400044456793554"	-3.204	"B2"	"SPD-20A 260nm"
"0.408378716310086"	-2.988	"B2"	"SPD-20A 260nm"
"0.416712975826619"	-2.548	"B2"	"SPD-20A 260nm"
"0.425047235343151"	-2.112	"B2"	"SPD-20A 260nm"
"0.433381494859683"	-1.809	"B2"	"SPD-20A 260nm"
"0.441715754376216"	-1.651	"B2"	"SPD-20A 260nm"
"0.450050013892748"	-1.596	"B2"	"SPD-20A 260nm"
"0.45838427340928"	-1.604	"B2"	"SPD-20A 260nm"
"0.466718532925813"	-1.599	"B2"	"SPD-20A 260nm"
"0.475052792442345"	-1.535	"B2"	"SPD-20A 260nm"
"0.483387051958877"	-1.601	"B2"	"SPD-20A 260nm"
"0.49172131147541"	-2.014	"B2"	"SPD-20A 260nm"
"0.500055570991942"	-2.65	"B2"	"SPD-20A 260nm"
"0.508389830508475"	-3.201	"B2"	"SPD-20A 260nm"
"0.516724090025007"	-3.54	"B2"	"SPD-20A 260nm"
"0.525058349541539"	-3.481	"B2"	"SPD-20A 260nm"
"0.533392609058072"	-2.92	"B2"	"SPD-20A 260nm"
"0.541726868574604"	-2.175	"B2"	"SPD-20A 260nm"
"0.550061128091136"	-1.608	"B2"	"SPD-20A 260nm"
"0.558395387607669"	-1.321	"B2"	"SPD-20A 260nm"
"0.566729647124201"	-1.312	"B2"	"SPD-20A 260nm"
"0.575063906640734"	-1.526	"B2"	"SPD-20A 260nm"
"0.583398166157266"	-1.789	"B2"	"SPD-20A 260nm"
"0.591732425673798"	-1.948	"B2"	"SPD-20A 260nm"
"0.600066685190331"	-2.009	"B2"	"SPD-20A 260nm"
"0.608400944706863"	-2.091	"B2"	"SPD-20A 260nm"
"0.616735204223395"	-2.272	"B2"	"SPD-20A 260nm"
"0.625069463739928"	-2.518	"B2"	"SPD-20A 260nm"
"0.63340372325646"	-2.779	"B2"	"SPD-20A 260nm"
"0.641737982772993"	-2.904	"B2"	"SPD-20A 260nm"
"0.650072242289525"	-2.737	"B2"	"SPD-20A 260nm"
"0.658406501806057"	-2.308	"B2"	"SPD-20A 260nm"
"0.66674076132259"	-1.82	"B2"	"SPD-20A 260nm"
"0.675075020839122"	-1.344	"B2"	"SPD-20A 260nm"
"0.683409280355654"	-0.896	"B2"	"SPD-20A 260nm"
"0.691743539872187"	-0.478	"B2"	"SPD-20A 260nm"
"0.700077799388719"	-0.097	"B2"	"SPD-20A 260nm"
"0.708412058905251"	0.221	"B2"	"SPD-20A 260nm"
"0.716746318421784"	0.449	"B2"	"SPD-20A 260nm"
"0.725080577938316"	0.502	"B2"	"SPD-20A 260nm"
"0.733414837454849"	0.316	"B2"	"SPD-20A 260nm"
"0.741749096971381"	-0.114	"B2"	"SPD-20A 260nm"
"0.750083356487913"	-0.692	"B2"	"SPD-20A 260nm"
"0.758417616004446"	-1.258	"B2"	"SPD-20A 260nm"
