"Minutes"	"Intensity"	"File"	"Detector"
"0"	0.106	"B6.lcd"	"SPD-20A 260nm"
"0.00833425951653237"	0.318	"B6.lcd"	"SPD-20A 260nm"
"0.0166685190330647"	0.627	"B6.lcd"	"SPD-20A 260nm"
"0.0250027785495971"	1.083	"B6.lcd"	"SPD-20A 260nm"
"0.0333370380661295"	1.652	"B6.lcd"	"SPD-20A 260nm"
"0.0416712975826619"	2.058	"B6.lcd"	"SPD-20A 260nm"
"0.0500055570991942"	2.127	"B6.lcd"	"SPD-20A 260nm"
"0.0583398166157266"	1.955	"B6.lcd"	"SPD-20A 260nm"
"0.066674076132259"	1.656	"B6.lcd"	"SPD-20A 260nm"
"0.0750083356487913"	1.276	"B6.lcd"	"SPD-20A 260nm"
"0.0833425951653237"	0.808	"B6.lcd"	"SPD-20A 260nm"
"0.0916768546818561"	0.261	"B6.lcd"	"SPD-20A 260nm"
"0.100011114198388"	-0.299	"B6.lcd"	"SPD-20A 260nm"
"0.108345373714921"	-0.832	"B6.lcd"	"SPD-20A 260nm"
"0.116679633231453"	-1.178	"B6.lcd"	"SPD-20A 260nm"
"0.125013892747986"	-1.217	"B6.lcd"	"SPD-20A 260nm"
"0.133348152264518"	-1.029	"B6.lcd"	"SPD-20A 260nm"
"0.14168241178105"	-0.815	"B6.lcd"	"SPD-20A 260nm"
"0.150016671297583"	-0.677	"B6.lcd"	"SPD-20A 260nm"
"0.158350930814115"	-0.624	"B6.lcd"	"SPD-20A 260nm"
"0.166685190330647"	-0.634	"B6.lcd"	"SPD-20A 260nm"
"0.17501944984718"	-0.777	"B6.lcd"	"SPD-20A 260nm"
"0.183353709363712"	-1.151	"B6.lcd"	"SPD-20A 260nm"
"0.191687968880245"	-1.704	"B6.lcd"	"SPD-20A 260nm"
"0.200022228396777"	-2.228	"B6.lcd"	"SPD-20A 260nm"
"0.208356487913309"	-2.622	"B6.lcd"	"SPD-20A 260nm"
"0.216690747429842"	-2.702	"B6.lcd"	"SPD-20A 260nm"
"0.225025006946374"	-2.292	"B6.lcd"	"SPD-20A 260nm"
"0.233359266462906"	-1.65	"B6.lcd"	"SPD-20A 260nm"
"0.241693525979439"	-1.335	"B6.lcd"	"SPD-20A 260nm"
