"Minutes"	"Intensity"	"Sample"	"Detector"
"0"	-0.054	"B8.2"	"SPD-20A 260nm"
"0.00833425951653237"	-0.115	"B8.2"	"SPD-20A 260nm"
"0.0166685190330647"	-0.08	"B8.2"	"SPD-20A 260nm"
"0.0250027785495971"	0.103	"B8.2"	"SPD-20A 260nm"
"0.0333370380661295"	0.543	"B8.2"	"SPD-20A 260nm"
"0.0416712975826619"	1.207	"B8.2"	"SPD-20A 260nm"
"0.0500055570991942"	1.936	"B8.2"	"SPD-20A 260nm"
"0.0583398166157266"	2.671	"B8.2"	"SPD-20A 260nm"
"0.066674076132259"	3.244	"B8.2"	"SPD-20A 260nm"
"0.0750083356487913"	3.541	"B8.2"	"SPD-20A 260nm"
"0.0833425951653237"	3.529	"B8.2"	"SPD-20A 260nm"
"0.0916768546818561"	3.204	"B8.2"	"SPD-20A 260nm"
"0.100011114198388"	2.641	"B8.2"	"SPD-20A 260nm"
"0.108345373714921"	2.071	"B8.2"	"SPD-20A 260nm"
"0.116679633231453"	1.62	"B8.2"	"SPD-20A 260nm"
"0.125013892747986"	1.398	"B8.2"	"SPD-20A 260nm"
"0.133348152264518"	1.509	"B8.2"	"SPD-20A 260nm"
"0.14168241178105"	1.86	"B8.2"	"SPD-20A 260nm"
"0.150016671297583"	2.141	"B8.2"	"SPD-20A 260nm"
"0.158350930814115"	2.216	"B8.2"	"SPD-20A 260nm"
"0.166685190330647"	2.182	"B8.2"	"SPD-20A 260nm"
"0.17501944984718"	2.162	"B8.2"	"SPD-20A 260nm"
"0.183353709363712"	2.167	"B8.2"	"SPD-20A 260nm"
"0.191687968880245"	2.123	"B8.2"	"SPD-20A 260nm"
"0.200022228396777"	1.961	"B8.2"	"SPD-20A 260nm"
"0.208356487913309"	1.589	"B8.2"	"SPD-20A 260nm"
"0.216690747429842"	0.97	"B8.2"	"SPD-20A 260nm"
"0.225025006946374"	0.351	"B8.2"	"SPD-20A 260nm"
"0.233359266462906"	-0.014	"B8.2"	"SPD-20A 260nm"
"0.241693525979439"	-0.08	"B8.2"	"SPD-20A 260nm"
"0.250027785495971"	0.127	"B8.2"	"SPD-20A 260nm"
"0.258362045012503"	0.56	"B8.2"	"SPD-20A 260nm"
"0.266696304529036"	0.975	"B8.2"	"SPD-20A 260nm"
"0.275030564045568"	1.171	"B8.2"	"SPD-20A 260nm"
"0.283364823562101"	1.145	"B8.2"	"SPD-20A 260nm"
"0.291699083078633"	0.988	"B8.2"	"SPD-20A 260nm"
"0.300033342595165"	0.79	"B8.2"	"SPD-20A 260nm"
"0.308367602111698"	0.708	"B8.2"	"SPD-20A 260nm"
"0.31670186162823"	0.828	"B8.2"	"SPD-20A 260nm"
"0.325036121144762"	1.076	"B8.2"	"SPD-20A 260nm"
"0.333370380661295"	1.353	"B8.2"	"SPD-20A 260nm"
"0.341704640177827"	1.573	"B8.2"	"SPD-20A 260nm"
"0.35003889969436"	1.589	"B8.2"	"SPD-20A 260nm"
"0.358373159210892"	1.355	"B8.2"	"SPD-20A 260nm"
"0.366707418727424"	1.07	"B8.2"	"SPD-20A 260nm"
"0.375041678243957"	0.912	"B8.2"	"SPD-20A 260nm"
"0.383375937760489"	0.94	"B8.2"	"SPD-20A 260nm"
"0.391710197277021"	1.145	"B8.2"	"SPD-20A 260nm"
"0.400044456793554"	1.464	"B8.2"	"SPD-20A 260nm"
"0.408378716310086"	1.705	"B8.2"	"SPD-20A 260nm"
"0.416712975826619"	1.748	"B8.2"	"SPD-20A 260nm"
"0.425047235343151"	1.594	"B8.2"	"SPD-20A 260nm"
"0.433381494859683"	1.276	"B8.2"	"SPD-20A 260nm"
"0.441715754376216"	0.874	"B8.2"	"SPD-20A 260nm"
"0.450050013892748"	0.55	"B8.2"	"SPD-20A 260nm"
"0.45838427340928"	0.356	"B8.2"	"SPD-20A 260nm"
"0.466718532925813"	0.274	"B8.2"	"SPD-20A 260nm"
"0.475052792442345"	0.278	"B8.2"	"SPD-20A 260nm"
"0.483387051958877"	0.302	"B8.2"	"SPD-20A 260nm"
"0.49172131147541"	0.23	"B8.2"	"SPD-20A 260nm"
"0.500055570991942"	0.017	"B8.2"	"SPD-20A 260nm"
"0.508389830508475"	-0.248	"B8.2"	"SPD-20A 260nm"
