"Minutes"	"Intensity"	"Sample"	"Detector"
"0"	-0.654	"C4.2"	"SPD-20A 260nm"
"0.00833425951653237"	-1.178	"C4.2"	"SPD-20A 260nm"
"0.0166685190330647"	-2.358	"C4.2"	"SPD-20A 260nm"
"0.0250027785495971"	-3.477	"C4.2"	"SPD-20A 260nm"
"0.0333370380661295"	-4.146	"C4.2"	"SPD-20A 260nm"
"0.0416712975826619"	-3.921	"C4.2"	"SPD-20A 260nm"
"0.0500055570991942"	-2.949	"C4.2"	"SPD-20A 260nm"
"0.0583398166157266"	-1.886	"C4.2"	"SPD-20A 260nm"
"0.066674076132259"	-1.004	"C4.2"	"SPD-20A 260nm"
"0.0750083356487913"	-0.382	"C4.2"	"SPD-20A 260nm"
"0.0833425951653237"	-0.019	"C4.2"	"SPD-20A 260nm"
"0.0916768546818561"	0.208	"C4.2"	"SPD-20A 260nm"
"0.100011114198388"	0.514	"C4.2"	"SPD-20A 260nm"
"0.108345373714921"	0.936	"C4.2"	"SPD-20A 260nm"
"0.116679633231453"	1.13	"C4.2"	"SPD-20A 260nm"
"0.125013892747986"	0.869	"C4.2"	"SPD-20A 260nm"
"0.133348152264518"	0.448	"C4.2"	"SPD-20A 260nm"
"0.14168241178105"	0.282	"C4.2"	"SPD-20A 260nm"
"0.150016671297583"	0.398	"C4.2"	"SPD-20A 260nm"
"0.158350930814115"	0.524	"C4.2"	"SPD-20A 260nm"
"0.166685190330647"	0.487	"C4.2"	"SPD-20A 260nm"
"0.17501944984718"	0.134	"C4.2"	"SPD-20A 260nm"
"0.183353709363712"	-0.657	"C4.2"	"SPD-20A 260nm"
"0.191687968880245"	-1.535	"C4.2"	"SPD-20A 260nm"
"0.200022228396777"	-1.824	"C4.2"	"SPD-20A 260nm"
"0.208356487913309"	-1.388	"C4.2"	"SPD-20A 260nm"
"0.216690747429842"	-0.703	"C4.2"	"SPD-20A 260nm"
"0.225025006946374"	-0.085	"C4.2"	"SPD-20A 260nm"
"0.233359266462906"	0.262	"C4.2"	"SPD-20A 260nm"
"0.241693525979439"	0.192	"C4.2"	"SPD-20A 260nm"
"0.250027785495971"	-0.153	"C4.2"	"SPD-20A 260nm"
"0.258362045012503"	-0.319	"C4.2"	"SPD-20A 260nm"
"0.266696304529036"	-0.144	"C4.2"	"SPD-20A 260nm"
"0.275030564045568"	-0.001	"C4.2"	"SPD-20A 260nm"
"0.283364823562101"	-0.244	"C4.2"	"SPD-20A 260nm"
"0.291699083078633"	-0.762	"C4.2"	"SPD-20A 260nm"
"0.300033342595165"	-1.228	"C4.2"	"SPD-20A 260nm"
"0.308367602111698"	-1.461	"C4.2"	"SPD-20A 260nm"
"0.31670186162823"	-1.234	"C4.2"	"SPD-20A 260nm"
"0.325036121144762"	-0.43	"C4.2"	"SPD-20A 260nm"
"0.333370380661295"	0.524	"C4.2"	"SPD-20A 260nm"
"0.341704640177827"	1.123	"C4.2"	"SPD-20A 260nm"
"0.35003889969436"	1.294	"C4.2"	"SPD-20A 260nm"
"0.358373159210892"	1.226	"C4.2"	"SPD-20A 260nm"
"0.366707418727424"	1.082	"C4.2"	"SPD-20A 260nm"
"0.375041678243957"	1.062	"C4.2"	"SPD-20A 260nm"
"0.383375937760489"	1.311	"C4.2"	"SPD-20A 260nm"
"0.391710197277021"	1.708	"C4.2"	"SPD-20A 260nm"
"0.400044456793554"	1.98	"C4.2"	"SPD-20A 260nm"
"0.408378716310086"	1.971	"C4.2"	"SPD-20A 260nm"
"0.416712975826619"	1.506	"C4.2"	"SPD-20A 260nm"
"0.425047235343151"	0.498	"C4.2"	"SPD-20A 260nm"
"0.433381494859683"	-0.687	"C4.2"	"SPD-20A 260nm"
"0.441715754376216"	-1.643	"C4.2"	"SPD-20A 260nm"
"0.450050013892748"	-2.254	"C4.2"	"SPD-20A 260nm"
"0.45838427340928"	-2.437	"C4.2"	"SPD-20A 260nm"
"0.466718532925813"	-2.195	"C4.2"	"SPD-20A 260nm"
"0.475052792442345"	-1.783	"C4.2"	"SPD-20A 260nm"
"0.483387051958877"	-1.397	"C4.2"	"SPD-20A 260nm"
"0.49172131147541"	-1.071	"C4.2"	"SPD-20A 260nm"
"0.500055570991942"	-0.77	"C4.2"	"SPD-20A 260nm"
"0.508389830508475"	-0.471	"C4.2"	"SPD-20A 260nm"
"0.516724090025007"	-0.233	"C4.2"	"SPD-20A 260nm"
"0.525058349541539"	-0.088	"C4.2"	"SPD-20A 260nm"
"0.533392609058072"	0.003	"C4.2"	"SPD-20A 260nm"
"0.541726868574604"	0.142	"C4.2"	"SPD-20A 260nm"
"0.550061128091136"	0.33	"C4.2"	"SPD-20A 260nm"
"0.558395387607669"	0.4	"C4.2"	"SPD-20A 260nm"
"0.566729647124201"	0.244	"C4.2"	"SPD-20A 260nm"
"0.575063906640734"	-0.113	"C4.2"	"SPD-20A 260nm"
"0.583398166157266"	-0.638	"C4.2"	"SPD-20A 260nm"
"0.591732425673798"	-1.134	"C4.2"	"SPD-20A 260nm"
"0.600066685190331"	-1.294	"C4.2"	"SPD-20A 260nm"
"0.608400944706863"	-1.127	"C4.2"	"SPD-20A 260nm"
"0.616735204223395"	-1.047	"C4.2"	"SPD-20A 260nm"
"0.625069463739928"	-1.32	"C4.2"	"SPD-20A 260nm"
"0.63340372325646"	-1.827	"C4.2"	"SPD-20A 260nm"
"0.641737982772993"	-2.392	"C4.2"	"SPD-20A 260nm"
"0.650072242289525"	-2.813	"C4.2"	"SPD-20A 260nm"
"0.658406501806057"	-2.626	"C4.2"	"SPD-20A 260nm"
"0.66674076132259"	-1.639	"C4.2"	"SPD-20A 260nm"
"0.675075020839122"	-0.3	"C4.2"	"SPD-20A 260nm"
"0.683409280355654"	1.064	"C4.2"	"SPD-20A 260nm"
"0.691743539872187"	2.252	"C4.2"	"SPD-20A 260nm"
"0.700077799388719"	3.035	"C4.2"	"SPD-20A 260nm"
"0.708412058905251"	3.302	"C4.2"	"SPD-20A 260nm"
"0.716746318421784"	2.772	"C4.2"	"SPD-20A 260nm"
"0.725080577938316"	1.272	"C4.2"	"SPD-20A 260nm"
"0.733414837454849"	-0.592	"C4.2"	"SPD-20A 260nm"
"0.741749096971381"	-2.16	"C4.2"	"SPD-20A 260nm"
"0.750083356487913"	-3.233	"C4.2"	"SPD-20A 260nm"
"0.758417616004446"	-3.667	"C4.2"	"SPD-20A 260nm"
"0.766751875520978"	-3.499	"C4.2"	"SPD-20A 260nm"
"0.77508613503751"	-3.091	"C4.2"	"SPD-20A 260nm"
"0.783420394554043"	-2.737	"C4.2"	"SPD-20A 260nm"
"0.791754654070575"	-2.43	"C4.2"	"SPD-20A 260nm"
"0.800088913587108"	-1.993	"C4.2"	"SPD-20A 260nm"
"0.80842317310364"	-1.357	"C4.2"	"SPD-20A 260nm"
"0.816757432620172"	-0.747	"C4.2"	"SPD-20A 260nm"
"0.825091692136705"	-0.299	"C4.2"	"SPD-20A 260nm"
"0.833425951653237"	-0.018	"C4.2"	"SPD-20A 260nm"
"0.841760211169769"	0.099	"C4.2"	"SPD-20A 260nm"
"0.850094470686302"	0.084	"C4.2"	"SPD-20A 260nm"
"0.858428730202834"	0.048	"C4.2"	"SPD-20A 260nm"
"0.866762989719367"	0.071	"C4.2"	"SPD-20A 260nm"
"0.875097249235899"	0.176	"C4.2"	"SPD-20A 260nm"
"0.883431508752431"	0.37	"C4.2"	"SPD-20A 260nm"
"0.891765768268964"	0.51	"C4.2"	"SPD-20A 260nm"
"0.900100027785496"	0.311	"C4.2"	"SPD-20A 260nm"
"0.908434287302028"	-0.285	"C4.2"	"SPD-20A 260nm"
"0.916768546818561"	-0.941	"C4.2"	"SPD-20A 260nm"
"0.925102806335093"	-1.452	"C4.2"	"SPD-20A 260nm"
"0.933437065851626"	-1.795	"C4.2"	"SPD-20A 260nm"
"0.941771325368158"	-1.976	"C4.2"	"SPD-20A 260nm"
"0.95010558488469"	-2.027	"C4.2"	"SPD-20A 260nm"
"0.958439844401223"	-2.054	"C4.2"	"SPD-20A 260nm"
"0.966774103917755"	-2.133	"C4.2"	"SPD-20A 260nm"
"0.975108363434287"	-2.239	"C4.2"	"SPD-20A 260nm"
"0.98344262295082"	-2.34	"C4.2"	"SPD-20A 260nm"
"0.991776882467352"	-2.416	"C4.2"	"SPD-20A 260nm"
"1.00011114198388"	-2.41	"C4.2"	"SPD-20A 260nm"
"1.00844540150042"	-2.334	"C4.2"	"SPD-20A 260nm"
"1.01677966101695"	-2.386	"C4.2"	"SPD-20A 260nm"
"1.02511392053348"	-2.687	"C4.2"	"SPD-20A 260nm"
"1.03344818005001"	-3.059	"C4.2"	"SPD-20A 260nm"
"1.04178243956655"	-3.243	"C4.2"	"SPD-20A 260nm"
"1.05011669908308"	-3.089	"C4.2"	"SPD-20A 260nm"
"1.05845095859961"	-2.42	"C4.2"	"SPD-20A 260nm"
"1.06678521811614"	-1.201	"C4.2"	"SPD-20A 260nm"
"1.07511947763268"	0.066	"C4.2"	"SPD-20A 260nm"
