"Minutes"	"Intensity"	"Sample"	"Detector"
"0"	-0.036	"C5"	"SPD-20A 260nm"
"0.00833425951653237"	-0.032	"C5"	"SPD-20A 260nm"
"0.0166685190330647"	0.034	"C5"	"SPD-20A 260nm"
"0.0250027785495971"	0.077	"C5"	"SPD-20A 260nm"
"0.0333370380661295"	0.025	"C5"	"SPD-20A 260nm"
"0.0416712975826619"	-0.157	"C5"	"SPD-20A 260nm"
"0.0500055570991942"	-0.475	"C5"	"SPD-20A 260nm"
"0.0583398166157266"	-0.783	"C5"	"SPD-20A 260nm"
"0.066674076132259"	-0.945	"C5"	"SPD-20A 260nm"
"0.0750083356487913"	-1.183	"C5"	"SPD-20A 260nm"
"0.0833425951653237"	-2.044	"C5"	"SPD-20A 260nm"
"0.0916768546818561"	-3.679	"C5"	"SPD-20A 260nm"
"0.100011114198388"	-5.494	"C5"	"SPD-20A 260nm"
"0.108345373714921"	-7.145	"C5"	"SPD-20A 260nm"
"0.116679633231453"	-8.188	"C5"	"SPD-20A 260nm"
"0.125013892747986"	-8.118	"C5"	"SPD-20A 260nm"
"0.133348152264518"	-7.079	"C5"	"SPD-20A 260nm"
"0.14168241178105"	-5.827	"C5"	"SPD-20A 260nm"
"0.150016671297583"	-4.693	"C5"	"SPD-20A 260nm"
"0.158350930814115"	-3.718	"C5"	"SPD-20A 260nm"
"0.166685190330647"	-2.838	"C5"	"SPD-20A 260nm"
"0.17501944984718"	-2.061	"C5"	"SPD-20A 260nm"
"0.183353709363712"	-1.459	"C5"	"SPD-20A 260nm"
"0.191687968880245"	-1.012	"C5"	"SPD-20A 260nm"
"0.200022228396777"	-0.683	"C5"	"SPD-20A 260nm"
"0.208356487913309"	-0.452	"C5"	"SPD-20A 260nm"
"0.216690747429842"	-0.354	"C5"	"SPD-20A 260nm"
"0.225025006946374"	-0.453	"C5"	"SPD-20A 260nm"
"0.233359266462906"	-0.814	"C5"	"SPD-20A 260nm"
"0.241693525979439"	-1.545	"C5"	"SPD-20A 260nm"
"0.250027785495971"	-2.652	"C5"	"SPD-20A 260nm"
"0.258362045012503"	-3.644	"C5"	"SPD-20A 260nm"
"0.266696304529036"	-4.129	"C5"	"SPD-20A 260nm"
"0.275030564045568"	-4.049	"C5"	"SPD-20A 260nm"
"0.283364823562101"	-3.443	"C5"	"SPD-20A 260nm"
"0.291699083078633"	-2.406	"C5"	"SPD-20A 260nm"
