"Minutes"	"Intensity"	"Sample"	"Detector"
"0"	0.127	"D4"	"SPD-20A 260nm"
"0.00833425951653237"	0.248	"D4"	"SPD-20A 260nm"
"0.0166685190330647"	0.297	"D4"	"SPD-20A 260nm"
"0.0250027785495971"	0.177	"D4"	"SPD-20A 260nm"
"0.0333370380661295"	-0.155	"D4"	"SPD-20A 260nm"
"0.0416712975826619"	-0.504	"D4"	"SPD-20A 260nm"
"0.0500055570991942"	-0.69	"D4"	"SPD-20A 260nm"
"0.0583398166157266"	-0.677	"D4"	"SPD-20A 260nm"
"0.066674076132259"	-0.499	"D4"	"SPD-20A 260nm"
"0.0750083356487913"	-0.178	"D4"	"SPD-20A 260nm"
"0.0833425951653237"	0.232	"D4"	"SPD-20A 260nm"
"0.0916768546818561"	0.714	"D4"	"SPD-20A 260nm"
"0.100011114198388"	1.197	"D4"	"SPD-20A 260nm"
"0.108345373714921"	1.581	"D4"	"SPD-20A 260nm"
"0.116679633231453"	1.787	"D4"	"SPD-20A 260nm"
"0.125013892747986"	1.598	"D4"	"SPD-20A 260nm"
"0.133348152264518"	0.874	"D4"	"SPD-20A 260nm"
"0.14168241178105"	-0.259	"D4"	"SPD-20A 260nm"
"0.150016671297583"	-1.722	"D4"	"SPD-20A 260nm"
"0.158350930814115"	-3.244	"D4"	"SPD-20A 260nm"
"0.166685190330647"	-4.291	"D4"	"SPD-20A 260nm"
"0.17501944984718"	-4.716	"D4"	"SPD-20A 260nm"
"0.183353709363712"	-4.542	"D4"	"SPD-20A 260nm"
"0.191687968880245"	-3.817	"D4"	"SPD-20A 260nm"
"0.200022228396777"	-2.872	"D4"	"SPD-20A 260nm"
"0.208356487913309"	-2.095	"D4"	"SPD-20A 260nm"
"0.216690747429842"	-1.577	"D4"	"SPD-20A 260nm"
"0.225025006946374"	-1.336	"D4"	"SPD-20A 260nm"
"0.233359266462906"	-1.357	"D4"	"SPD-20A 260nm"
"0.241693525979439"	-1.565	"D4"	"SPD-20A 260nm"
"0.250027785495971"	-1.879	"D4"	"SPD-20A 260nm"
"0.258362045012503"	-2.143	"D4"	"SPD-20A 260nm"
"0.266696304529036"	-2.082	"D4"	"SPD-20A 260nm"
"0.275030564045568"	-1.631	"D4"	"SPD-20A 260nm"
"0.283364823562101"	-1.014	"D4"	"SPD-20A 260nm"
"0.291699083078633"	-0.376	"D4"	"SPD-20A 260nm"
"0.300033342595165"	0.092	"D4"	"SPD-20A 260nm"
"0.308367602111698"	0.163	"D4"	"SPD-20A 260nm"
"0.31670186162823"	-0.126	"D4"	"SPD-20A 260nm"
"0.325036121144762"	-0.507	"D4"	"SPD-20A 260nm"
"0.333370380661295"	-0.83	"D4"	"SPD-20A 260nm"
"0.341704640177827"	-0.989	"D4"	"SPD-20A 260nm"
"0.35003889969436"	-0.885	"D4"	"SPD-20A 260nm"
"0.358373159210892"	-0.535	"D4"	"SPD-20A 260nm"
"0.366707418727424"	-0.035	"D4"	"SPD-20A 260nm"
"0.375041678243957"	0.534	"D4"	"SPD-20A 260nm"
"0.383375937760489"	0.948	"D4"	"SPD-20A 260nm"
"0.391710197277021"	1.083	"D4"	"SPD-20A 260nm"
"0.400044456793554"	1.014	"D4"	"SPD-20A 260nm"
"0.408378716310086"	0.893	"D4"	"SPD-20A 260nm"
"0.416712975826619"	0.79	"D4"	"SPD-20A 260nm"
"0.425047235343151"	0.693	"D4"	"SPD-20A 260nm"
"0.433381494859683"	0.573	"D4"	"SPD-20A 260nm"
"0.441715754376216"	0.437	"D4"	"SPD-20A 260nm"
"0.450050013892748"	0.329	"D4"	"SPD-20A 260nm"
"0.45838427340928"	0.32	"D4"	"SPD-20A 260nm"
"0.466718532925813"	0.512	"D4"	"SPD-20A 260nm"
"0.475052792442345"	0.928	"D4"	"SPD-20A 260nm"
"0.483387051958877"	1.425	"D4"	"SPD-20A 260nm"
"0.49172131147541"	1.919	"D4"	"SPD-20A 260nm"
"0.500055570991942"	2.3	"D4"	"SPD-20A 260nm"
"0.508389830508475"	2.428	"D4"	"SPD-20A 260nm"
"0.516724090025007"	2.263	"D4"	"SPD-20A 260nm"
"0.525058349541539"	1.825	"D4"	"SPD-20A 260nm"
"0.533392609058072"	1.14	"D4"	"SPD-20A 260nm"
"0.541726868574604"	0.437	"D4"	"SPD-20A 260nm"
"0.550061128091136"	-0.084	"D4"	"SPD-20A 260nm"
"0.558395387607669"	-0.514	"D4"	"SPD-20A 260nm"
"0.566729647124201"	-1.185	"D4"	"SPD-20A 260nm"
"0.575063906640734"	-2.205	"D4"	"SPD-20A 260nm"
"0.583398166157266"	-3.165	"D4"	"SPD-20A 260nm"
"0.591732425673798"	-3.782	"D4"	"SPD-20A 260nm"
"0.600066685190331"	-3.882	"D4"	"SPD-20A 260nm"
"0.608400944706863"	-3.285	"D4"	"SPD-20A 260nm"
"0.616735204223395"	-2.139	"D4"	"SPD-20A 260nm"
"0.625069463739928"	-0.998	"D4"	"SPD-20A 260nm"
"0.63340372325646"	-0.1	"D4"	"SPD-20A 260nm"
"0.641737982772993"	0.415	"D4"	"SPD-20A 260nm"
"0.650072242289525"	0.438	"D4"	"SPD-20A 260nm"
"0.658406501806057"	0.091	"D4"	"SPD-20A 260nm"
"0.66674076132259"	-0.362	"D4"	"SPD-20A 260nm"
"0.675075020839122"	-0.792	"D4"	"SPD-20A 260nm"
"0.683409280355654"	-1.004	"D4"	"SPD-20A 260nm"
"0.691743539872187"	-0.886	"D4"	"SPD-20A 260nm"
"0.700077799388719"	-0.539	"D4"	"SPD-20A 260nm"
"0.708412058905251"	-0.099	"D4"	"SPD-20A 260nm"
"0.716746318421784"	0.33	"D4"	"SPD-20A 260nm"
"0.725080577938316"	0.535	"D4"	"SPD-20A 260nm"
"0.733414837454849"	0.405	"D4"	"SPD-20A 260nm"
"0.741749096971381"	0.054	"D4"	"SPD-20A 260nm"
"0.750083356487913"	-0.382	"D4"	"SPD-20A 260nm"
"0.758417616004446"	-0.821	"D4"	"SPD-20A 260nm"
"0.766751875520978"	-1.217	"D4"	"SPD-20A 260nm"
"0.77508613503751"	-1.576	"D4"	"SPD-20A 260nm"
"0.783420394554043"	-1.872	"D4"	"SPD-20A 260nm"
"0.791754654070575"	-2.092	"D4"	"SPD-20A 260nm"
"0.800088913587108"	-2.217	"D4"	"SPD-20A 260nm"
"0.80842317310364"	-2.21	"D4"	"SPD-20A 260nm"
"0.816757432620172"	-2.156	"D4"	"SPD-20A 260nm"
"0.825091692136705"	-2.392	"D4"	"SPD-20A 260nm"
"0.833425951653237"	-3.098	"D4"	"SPD-20A 260nm"
"0.841760211169769"	-3.932	"D4"	"SPD-20A 260nm"
"0.850094470686302"	-4.559	"D4"	"SPD-20A 260nm"
"0.858428730202834"	-4.929	"D4"	"SPD-20A 260nm"
"0.866762989719367"	-5.113	"D4"	"SPD-20A 260nm"
"0.875097249235899"	-5.238	"D4"	"SPD-20A 260nm"
"0.883431508752431"	-5.537	"D4"	"SPD-20A 260nm"
"0.891765768268964"	-6.161	"D4"	"SPD-20A 260nm"
"0.900100027785496"	-6.739	"D4"	"SPD-20A 260nm"
"0.908434287302028"	-6.694	"D4"	"SPD-20A 260nm"
"0.916768546818561"	-5.938	"D4"	"SPD-20A 260nm"
"0.925102806335093"	-4.75	"D4"	"SPD-20A 260nm"
"0.933437065851626"	-3.267	"D4"	"SPD-20A 260nm"
"0.941771325368158"	-1.949	"D4"	"SPD-20A 260nm"
"0.95010558488469"	-1.176	"D4"	"SPD-20A 260nm"
"0.958439844401223"	-1.038	"D4"	"SPD-20A 260nm"
"0.966774103917755"	-1.56	"D4"	"SPD-20A 260nm"
"0.975108363434287"	-2.633	"D4"	"SPD-20A 260nm"
"0.98344262295082"	-3.726	"D4"	"SPD-20A 260nm"
"0.991776882467352"	-4.506	"D4"	"SPD-20A 260nm"
"1.00011114198388"	-4.742	"D4"	"SPD-20A 260nm"
"1.00844540150042"	-4.208	"D4"	"SPD-20A 260nm"
"1.01677966101695"	-3.04	"D4"	"SPD-20A 260nm"
"1.02511392053348"	-1.791	"D4"	"SPD-20A 260nm"
"1.03344818005001"	-0.727	"D4"	"SPD-20A 260nm"
"1.04178243956655"	-0.072	"D4"	"SPD-20A 260nm"
"1.05011669908308"	-0.004	"D4"	"SPD-20A 260nm"
"1.05845095859961"	-0.429	"D4"	"SPD-20A 260nm"
"1.06678521811614"	-1.111	"D4"	"SPD-20A 260nm"
"1.07511947763268"	-1.883	"D4"	"SPD-20A 260nm"
"1.08345373714921"	-2.299	"D4"	"SPD-20A 260nm"
"1.09178799666574"	-2.062	"D4"	"SPD-20A 260nm"
"1.10012225618227"	-1.343	"D4"	"SPD-20A 260nm"
"1.10845651569881"	-0.439	"D4"	"SPD-20A 260nm"
"1.11679077521534"	0.381	"D4"	"SPD-20A 260nm"
"1.12512503473187"	0.529	"D4"	"SPD-20A 260nm"
"1.1334592942484"	-0.262	"D4"	"SPD-20A 260nm"
"1.14179355376493"	-1.564	"D4"	"SPD-20A 260nm"
"1.15012781328147"	-2.988	"D4"	"SPD-20A 260nm"
"1.158462072798"	-4.156	"D4"	"SPD-20A 260nm"
"1.16679633231453"	-4.493	"D4"	"SPD-20A 260nm"
"1.17513059183106"	-3.893	"D4"	"SPD-20A 260nm"
"1.1834648513476"	-2.816	"D4"	"SPD-20A 260nm"
"1.19179911086413"	-1.55	"D4"	"SPD-20A 260nm"
"1.20013337038066"	-0.401	"D4"	"SPD-20A 260nm"
"1.20846762989719"	0.338	"D4"	"SPD-20A 260nm"
"1.21680188941373"	0.67	"D4"	"SPD-20A 260nm"
"1.22513614893026"	0.758	"D4"	"SPD-20A 260nm"
"1.23347040844679"	0.711	"D4"	"SPD-20A 260nm"
"1.24180466796332"	0.458	"D4"	"SPD-20A 260nm"
"1.25013892747986"	-0.119	"D4"	"SPD-20A 260nm"
"1.25847318699639"	-0.895	"D4"	"SPD-20A 260nm"
"1.26680744651292"	-1.566	"D4"	"SPD-20A 260nm"
"1.27514170602945"	-2.05	"D4"	"SPD-20A 260nm"
"1.28347596554599"	-2.405	"D4"	"SPD-20A 260nm"
"1.29181022506252"	-2.67	"D4"	"SPD-20A 260nm"
"1.30014448457905"	-2.762	"D4"	"SPD-20A 260nm"
"1.30847874409558"	-2.519	"D4"	"SPD-20A 260nm"
"1.31681300361211"	-1.932	"D4"	"SPD-20A 260nm"
"1.32514726312865"	-1.152	"D4"	"SPD-20A 260nm"
"1.33348152264518"	-0.257	"D4"	"SPD-20A 260nm"
"1.34181578216171"	0.423	"D4"	"SPD-20A 260nm"
"1.35015004167824"	0.595	"D4"	"SPD-20A 260nm"
"1.35848430119478"	0.421	"D4"	"SPD-20A 260nm"
"1.36681856071131"	0.356	"D4"	"SPD-20A 260nm"
"1.37515282022784"	0.583	"D4"	"SPD-20A 260nm"
"1.38348707974437"	1.054	"D4"	"SPD-20A 260nm"
"1.39182133926091"	1.711	"D4"	"SPD-20A 260nm"
"1.40015559877744"	2.392	"D4"	"SPD-20A 260nm"
"1.40848985829397"	2.922	"D4"	"SPD-20A 260nm"
"1.4168241178105"	3.245	"D4"	"SPD-20A 260nm"
"1.42515837732704"	3.249	"D4"	"SPD-20A 260nm"
"1.43349263684357"	2.894	"D4"	"SPD-20A 260nm"
"1.4418268963601"	2.397	"D4"	"SPD-20A 260nm"
"1.45016115587663"	1.942	"D4"	"SPD-20A 260nm"
"1.45849541539316"	1.581	"D4"	"SPD-20A 260nm"
"1.4668296749097"	1.35	"D4"	"SPD-20A 260nm"
"1.47516393442623"	1.228	"D4"	"SPD-20A 260nm"
"1.48349819394276"	1.076	"D4"	"SPD-20A 260nm"
"1.49183245345929"	0.789	"D4"	"SPD-20A 260nm"
"1.50016671297583"	0.581	"D4"	"SPD-20A 260nm"
"1.50850097249236"	0.818	"D4"	"SPD-20A 260nm"
"1.51683523200889"	1.517	"D4"	"SPD-20A 260nm"
"1.52516949152542"	2.311	"D4"	"SPD-20A 260nm"
"1.53350375104196"	3.014	"D4"	"SPD-20A 260nm"
"1.54183801055849"	3.314	"D4"	"SPD-20A 260nm"
"1.55017227007502"	2.849	"D4"	"SPD-20A 260nm"
"1.55850652959155"	1.674	"D4"	"SPD-20A 260nm"
"1.56684078910809"	0.492	"D4"	"SPD-20A 260nm"
"1.57517504862462"	-0.138	"D4"	"SPD-20A 260nm"
"1.58350930814115"	-0.329	"D4"	"SPD-20A 260nm"
"1.59184356765768"	-0.342	"D4"	"SPD-20A 260nm"
"1.60017782717422"	-0.431	"D4"	"SPD-20A 260nm"
"1.60851208669075"	-0.892	"D4"	"SPD-20A 260nm"
"1.61684634620728"	-1.79	"D4"	"SPD-20A 260nm"
"1.62518060572381"	-2.789	"D4"	"SPD-20A 260nm"
"1.63351486524034"	-3.541	"D4"	"SPD-20A 260nm"
"1.64184912475688"	-4.005	"D4"	"SPD-20A 260nm"
"1.65018338427341"	-4.268	"D4"	"SPD-20A 260nm"
"1.65851764378994"	-4.359	"D4"	"SPD-20A 260nm"
"1.66685190330647"	-4.295	"D4"	"SPD-20A 260nm"
"1.67518616282301"	-4.083	"D4"	"SPD-20A 260nm"
"1.68352042233954"	-3.697	"D4"	"SPD-20A 260nm"
"1.69185468185607"	-3.085	"D4"	"SPD-20A 260nm"
"1.7001889413726"	-2.432	"D4"	"SPD-20A 260nm"
"1.70852320088914"	-2.035	"D4"	"SPD-20A 260nm"
"1.71685746040567"	-1.902	"D4"	"SPD-20A 260nm"
"1.7251917199222"	-1.746	"D4"	"SPD-20A 260nm"
"1.73352597943873"	-1.381	"D4"	"SPD-20A 260nm"
"1.74186023895527"	-0.847	"D4"	"SPD-20A 260nm"
"1.7501944984718"	-0.223	"D4"	"SPD-20A 260nm"
"1.75852875798833"	0.367	"D4"	"SPD-20A 260nm"
"1.76686301750486"	0.67	"D4"	"SPD-20A 260nm"
"1.7751972770214"	0.615	"D4"	"SPD-20A 260nm"
"1.78353153653793"	0.322	"D4"	"SPD-20A 260nm"
"1.79186579605446"	-0.114	"D4"	"SPD-20A 260nm"
"1.80020005557099"	-0.518	"D4"	"SPD-20A 260nm"
"1.80853431508752"	-0.68	"D4"	"SPD-20A 260nm"
"1.81686857460406"	-0.548	"D4"	"SPD-20A 260nm"
"1.82520283412059"	-0.181	"D4"	"SPD-20A 260nm"
"1.83353709363712"	0.382	"D4"	"SPD-20A 260nm"
"1.84187135315365"	0.925	"D4"	"SPD-20A 260nm"
"1.85020561267019"	1.242	"D4"	"SPD-20A 260nm"
"1.85853987218672"	1.378	"D4"	"SPD-20A 260nm"
"1.86687413170325"	1.53	"D4"	"SPD-20A 260nm"
"1.87520839121978"	1.793	"D4"	"SPD-20A 260nm"
"1.88354265073632"	2.11	"D4"	"SPD-20A 260nm"
"1.89187691025285"	2.429	"D4"	"SPD-20A 260nm"
"1.90021116976938"	2.549	"D4"	"SPD-20A 260nm"
"1.90854542928591"	2.122	"D4"	"SPD-20A 260nm"
"1.91687968880245"	1.168	"D4"	"SPD-20A 260nm"
"1.92521394831898"	0.218	"D4"	"SPD-20A 260nm"
"1.93354820783551"	-0.485	"D4"	"SPD-20A 260nm"
"1.94188246735204"	-0.944	"D4"	"SPD-20A 260nm"
"1.95021672686857"	-1.195	"D4"	"SPD-20A 260nm"
"1.95855098638511"	-1.363	"D4"	"SPD-20A 260nm"
"1.96688524590164"	-1.708	"D4"	"SPD-20A 260nm"
"1.97521950541817"	-2.289	"D4"	"SPD-20A 260nm"
"1.9835537649347"	-2.635	"D4"	"SPD-20A 260nm"
"1.99188802445124"	-2.4	"D4"	"SPD-20A 260nm"
"2.00022228396777"	-1.811	"D4"	"SPD-20A 260nm"
"2.0085565434843"	-1.317	"D4"	"SPD-20A 260nm"
"2.01689080300083"	-1.091	"D4"	"SPD-20A 260nm"
"2.02522506251737"	-1.146	"D4"	"SPD-20A 260nm"
"2.0335593220339"	-1.421	"D4"	"SPD-20A 260nm"
"2.04189358155043"	-1.598	"D4"	"SPD-20A 260nm"
"2.05022784106696"	-1.347	"D4"	"SPD-20A 260nm"
"2.0585621005835"	-0.834	"D4"	"SPD-20A 260nm"
"2.06689636010003"	-0.637	"D4"	"SPD-20A 260nm"
"2.07523061961656"	-0.982	"D4"	"SPD-20A 260nm"
"2.08356487913309"	-1.638	"D4"	"SPD-20A 260nm"
"2.09189913864963"	-2.419	"D4"	"SPD-20A 260nm"
"2.10023339816616"	-3.201	"D4"	"SPD-20A 260nm"
"2.10856765768269"	-3.893	"D4"	"SPD-20A 260nm"
"2.11690191719922"	-4.487	"D4"	"SPD-20A 260nm"
"2.12523617671575"	-4.931	"D4"	"SPD-20A 260nm"
"2.13357043623229"	-5.182	"D4"	"SPD-20A 260nm"
"2.14190469574882"	-5.121	"D4"	"SPD-20A 260nm"
"2.15023895526535"	-4.651	"D4"	"SPD-20A 260nm"
"2.15857321478188"	-3.906	"D4"	"SPD-20A 260nm"
"2.16690747429842"	-3.182	"D4"	"SPD-20A 260nm"
"2.17524173381495"	-2.551	"D4"	"SPD-20A 260nm"
"2.18357599333148"	-1.913	"D4"	"SPD-20A 260nm"
"2.19191025284801"	-1.17	"D4"	"SPD-20A 260nm"
"2.20024451236455"	-0.557	"D4"	"SPD-20A 260nm"
"2.20857877188108"	-0.481	"D4"	"SPD-20A 260nm"
"2.21691303139761"	-0.951	"D4"	"SPD-20A 260nm"
"2.22524729091414"	-1.566	"D4"	"SPD-20A 260nm"
"2.23358155043068"	-2.072	"D4"	"SPD-20A 260nm"
"2.24191580994721"	-2.169	"D4"	"SPD-20A 260nm"
"2.25025006946374"	-1.563	"D4"	"SPD-20A 260nm"
"2.25858432898027"	-0.438	"D4"	"SPD-20A 260nm"
"2.26691858849681"	0.684	"D4"	"SPD-20A 260nm"
"2.27525284801334"	1.652	"D4"	"SPD-20A 260nm"
"2.28358710752987"	2.52	"D4"	"SPD-20A 260nm"
"2.2919213670464"	3.384	"D4"	"SPD-20A 260nm"
"2.30025562656293"	4.126	"D4"	"SPD-20A 260nm"
"2.30858988607947"	4.474	"D4"	"SPD-20A 260nm"
"2.316924145596"	4.331	"D4"	"SPD-20A 260nm"
"2.32525840511253"	3.626	"D4"	"SPD-20A 260nm"
"2.33359266462906"	2.345	"D4"	"SPD-20A 260nm"
"2.3419269241456"	0.986	"D4"	"SPD-20A 260nm"
"2.35026118366213"	0.002	"D4"	"SPD-20A 260nm"
"2.35859544317866"	-0.542	"D4"	"SPD-20A 260nm"
"2.36692970269519"	-0.687	"D4"	"SPD-20A 260nm"
"2.37526396221173"	-0.502	"D4"	"SPD-20A 260nm"
"2.38359822172826"	-0.137	"D4"	"SPD-20A 260nm"
"2.39193248124479"	0.312	"D4"	"SPD-20A 260nm"
"2.40026674076132"	0.845	"D4"	"SPD-20A 260nm"
"2.40860100027786"	1.521	"D4"	"SPD-20A 260nm"
"2.41693525979439"	2.234	"D4"	"SPD-20A 260nm"
"2.42526951931092"	2.478	"D4"	"SPD-20A 260nm"
"2.43360377882745"	1.947	"D4"	"SPD-20A 260nm"
"2.44193803834398"	0.717	"D4"	"SPD-20A 260nm"
"2.45027229786052"	-1.164	"D4"	"SPD-20A 260nm"
"2.45860655737705"	-3.264	"D4"	"SPD-20A 260nm"
"2.46694081689358"	-4.641	"D4"	"SPD-20A 260nm"
"2.47527507641011"	-5.012	"D4"	"SPD-20A 260nm"
"2.48360933592665"	-4.677	"D4"	"SPD-20A 260nm"
"2.49194359544318"	-3.888	"D4"	"SPD-20A 260nm"
"2.50027785495971"	-3.003	"D4"	"SPD-20A 260nm"
"2.50861211447624"	-2.441	"D4"	"SPD-20A 260nm"
"2.51694637399278"	-2.216	"D4"	"SPD-20A 260nm"
"2.52528063350931"	-1.944	"D4"	"SPD-20A 260nm"
"2.53361489302584"	-1.371	"D4"	"SPD-20A 260nm"
"2.54194915254237"	-0.654	"D4"	"SPD-20A 260nm"
"2.55028341205891"	-0.001	"D4"	"SPD-20A 260nm"
"2.55861767157544"	0.495	"D4"	"SPD-20A 260nm"
"2.56695193109197"	0.727	"D4"	"SPD-20A 260nm"
"2.5752861906085"	0.7	"D4"	"SPD-20A 260nm"
"2.58362045012503"	0.636	"D4"	"SPD-20A 260nm"
"2.59195470964157"	0.733	"D4"	"SPD-20A 260nm"
"2.6002889691581"	1.007	"D4"	"SPD-20A 260nm"
"2.60862322867463"	1.372	"D4"	"SPD-20A 260nm"
"2.61695748819116"	1.781	"D4"	"SPD-20A 260nm"
"2.6252917477077"	2.181	"D4"	"SPD-20A 260nm"
"2.63362600722423"	2.575	"D4"	"SPD-20A 260nm"
"2.64196026674076"	2.834	"D4"	"SPD-20A 260nm"
"2.65029452625729"	2.803	"D4"	"SPD-20A 260nm"
"2.65862878577383"	2.526	"D4"	"SPD-20A 260nm"
"2.66696304529036"	2.225	"D4"	"SPD-20A 260nm"
"2.67529730480689"	1.998	"D4"	"SPD-20A 260nm"
"2.68363156432342"	1.913	"D4"	"SPD-20A 260nm"
"2.69196582383996"	2.015	"D4"	"SPD-20A 260nm"
"2.70030008335649"	2.121	"D4"	"SPD-20A 260nm"
"2.70863434287302"	1.91	"D4"	"SPD-20A 260nm"
"2.71696860238955"	1.338	"D4"	"SPD-20A 260nm"
"2.72530286190609"	0.681	"D4"	"SPD-20A 260nm"
"2.73363712142262"	0.096	"D4"	"SPD-20A 260nm"
"2.74197138093915"	-0.211	"D4"	"SPD-20A 260nm"
"2.75030564045568"	-0.06	"D4"	"SPD-20A 260nm"
"2.75863989997221"	0.435	"D4"	"SPD-20A 260nm"
"2.76697415948875"	0.949	"D4"	"SPD-20A 260nm"
"2.77530841900528"	1.356	"D4"	"SPD-20A 260nm"
"2.78364267852181"	1.626	"D4"	"SPD-20A 260nm"
"2.79197693803834"	1.771	"D4"	"SPD-20A 260nm"
"2.80031119755488"	1.834	"D4"	"SPD-20A 260nm"
"2.80864545707141"	1.865	"D4"	"SPD-20A 260nm"
"2.81697971658794"	1.855	"D4"	"SPD-20A 260nm"
"2.82531397610447"	1.695	"D4"	"SPD-20A 260nm"
"2.83364823562101"	1.317	"D4"	"SPD-20A 260nm"
"2.84198249513754"	0.979	"D4"	"SPD-20A 260nm"
"2.85031675465407"	0.966	"D4"	"SPD-20A 260nm"
"2.8586510141706"	1.335	"D4"	"SPD-20A 260nm"
"2.86698527368714"	2.052	"D4"	"SPD-20A 260nm"
"2.87531953320367"	3.053	"D4"	"SPD-20A 260nm"
"2.8836537927202"	3.924	"D4"	"SPD-20A 260nm"
"2.89198805223673"	4.379	"D4"	"SPD-20A 260nm"
"2.90032231175327"	4.41	"D4"	"SPD-20A 260nm"
"2.9086565712698"	4.068	"D4"	"SPD-20A 260nm"
"2.91699083078633"	3.445	"D4"	"SPD-20A 260nm"
