"Minutes"	"Intensity"	"Sample"	"Detector"
"0"	-0.006	"D5.2"	"SPD-20A 260nm"
"0.00833425951653237"	-0.001	"D5.2"	"SPD-20A 260nm"
"0.0166685190330647"	-0.072	"D5.2"	"SPD-20A 260nm"
"0.0250027785495971"	-0.241	"D5.2"	"SPD-20A 260nm"
"0.0333370380661295"	-0.432	"D5.2"	"SPD-20A 260nm"
"0.0416712975826619"	-0.584	"D5.2"	"SPD-20A 260nm"
"0.0500055570991942"	-0.583	"D5.2"	"SPD-20A 260nm"
"0.0583398166157266"	-0.295	"D5.2"	"SPD-20A 260nm"
"0.066674076132259"	0.166	"D5.2"	"SPD-20A 260nm"
"0.0750083356487913"	0.496	"D5.2"	"SPD-20A 260nm"
"0.0833425951653237"	0.606	"D5.2"	"SPD-20A 260nm"
"0.0916768546818561"	0.617	"D5.2"	"SPD-20A 260nm"
"0.100011114198388"	0.643	"D5.2"	"SPD-20A 260nm"
"0.108345373714921"	0.758	"D5.2"	"SPD-20A 260nm"
"0.116679633231453"	1.033	"D5.2"	"SPD-20A 260nm"
"0.125013892747986"	1.426	"D5.2"	"SPD-20A 260nm"
"0.133348152264518"	1.744	"D5.2"	"SPD-20A 260nm"
"0.14168241178105"	1.9	"D5.2"	"SPD-20A 260nm"
"0.150016671297583"	1.91	"D5.2"	"SPD-20A 260nm"
"0.158350930814115"	1.834	"D5.2"	"SPD-20A 260nm"
"0.166685190330647"	1.734	"D5.2"	"SPD-20A 260nm"
"0.17501944984718"	1.662	"D5.2"	"SPD-20A 260nm"
"0.183353709363712"	1.655	"D5.2"	"SPD-20A 260nm"
"0.191687968880245"	1.749	"D5.2"	"SPD-20A 260nm"
"0.200022228396777"	1.942	"D5.2"	"SPD-20A 260nm"
"0.208356487913309"	2.084	"D5.2"	"SPD-20A 260nm"
"0.216690747429842"	1.995	"D5.2"	"SPD-20A 260nm"
"0.225025006946374"	1.705	"D5.2"	"SPD-20A 260nm"
"0.233359266462906"	1.455	"D5.2"	"SPD-20A 260nm"
"0.241693525979439"	1.39	"D5.2"	"SPD-20A 260nm"
"0.250027785495971"	1.577	"D5.2"	"SPD-20A 260nm"
"0.258362045012503"	2.064	"D5.2"	"SPD-20A 260nm"
"0.266696304529036"	2.745	"D5.2"	"SPD-20A 260nm"
"0.275030564045568"	3.396	"D5.2"	"SPD-20A 260nm"
"0.283364823562101"	3.913	"D5.2"	"SPD-20A 260nm"
"0.291699083078633"	4.157	"D5.2"	"SPD-20A 260nm"
"0.300033342595165"	4.043	"D5.2"	"SPD-20A 260nm"
"0.308367602111698"	3.63	"D5.2"	"SPD-20A 260nm"
"0.31670186162823"	2.976	"D5.2"	"SPD-20A 260nm"
"0.325036121144762"	2.165	"D5.2"	"SPD-20A 260nm"
"0.333370380661295"	1.433	"D5.2"	"SPD-20A 260nm"
"0.341704640177827"	0.864	"D5.2"	"SPD-20A 260nm"
"0.35003889969436"	0.471	"D5.2"	"SPD-20A 260nm"
"0.358373159210892"	0.247	"D5.2"	"SPD-20A 260nm"
"0.366707418727424"	0.128	"D5.2"	"SPD-20A 260nm"
"0.375041678243957"	-0.014	"D5.2"	"SPD-20A 260nm"
"0.383375937760489"	-0.224	"D5.2"	"SPD-20A 260nm"
"0.391710197277021"	-0.388	"D5.2"	"SPD-20A 260nm"
"0.400044456793554"	-0.416	"D5.2"	"SPD-20A 260nm"
"0.408378716310086"	-0.317	"D5.2"	"SPD-20A 260nm"
"0.416712975826619"	-0.153	"D5.2"	"SPD-20A 260nm"
"0.425047235343151"	-0.013	"D5.2"	"SPD-20A 260nm"
"0.433381494859683"	-0.112	"D5.2"	"SPD-20A 260nm"
"0.441715754376216"	-0.518	"D5.2"	"SPD-20A 260nm"
"0.450050013892748"	-0.784	"D5.2"	"SPD-20A 260nm"
"0.45838427340928"	-0.481	"D5.2"	"SPD-20A 260nm"
"0.466718532925813"	0.319	"D5.2"	"SPD-20A 260nm"
"0.475052792442345"	1.309	"D5.2"	"SPD-20A 260nm"
"0.483387051958877"	2.289	"D5.2"	"SPD-20A 260nm"
"0.49172131147541"	2.761	"D5.2"	"SPD-20A 260nm"
"0.500055570991942"	2.437	"D5.2"	"SPD-20A 260nm"
"0.508389830508475"	1.664	"D5.2"	"SPD-20A 260nm"
"0.516724090025007"	0.932	"D5.2"	"SPD-20A 260nm"
"0.525058349541539"	0.334	"D5.2"	"SPD-20A 260nm"
"0.533392609058072"	-0.248	"D5.2"	"SPD-20A 260nm"
"0.541726868574604"	-0.92	"D5.2"	"SPD-20A 260nm"
"0.550061128091136"	-1.619	"D5.2"	"SPD-20A 260nm"
"0.558395387607669"	-2.308	"D5.2"	"SPD-20A 260nm"
"0.566729647124201"	-2.825	"D5.2"	"SPD-20A 260nm"
"0.575063906640734"	-2.871	"D5.2"	"SPD-20A 260nm"
"0.583398166157266"	-2.411	"D5.2"	"SPD-20A 260nm"
"0.591732425673798"	-1.817	"D5.2"	"SPD-20A 260nm"
"0.600066685190331"	-1.345	"D5.2"	"SPD-20A 260nm"
"0.608400944706863"	-1.16	"D5.2"	"SPD-20A 260nm"
"0.616735204223395"	-1.412	"D5.2"	"SPD-20A 260nm"
"0.625069463739928"	-1.942	"D5.2"	"SPD-20A 260nm"
"0.63340372325646"	-2.214	"D5.2"	"SPD-20A 260nm"
"0.641737982772993"	-1.974	"D5.2"	"SPD-20A 260nm"
"0.650072242289525"	-1.297	"D5.2"	"SPD-20A 260nm"
"0.658406501806057"	-0.235	"D5.2"	"SPD-20A 260nm"
"0.66674076132259"	0.943	"D5.2"	"SPD-20A 260nm"
"0.675075020839122"	1.79	"D5.2"	"SPD-20A 260nm"
"0.683409280355654"	2.207	"D5.2"	"SPD-20A 260nm"
"0.691743539872187"	2.327	"D5.2"	"SPD-20A 260nm"
"0.700077799388719"	2.254	"D5.2"	"SPD-20A 260nm"
"0.708412058905251"	2	"D5.2"	"SPD-20A 260nm"
"0.716746318421784"	1.511	"D5.2"	"SPD-20A 260nm"
"0.725080577938316"	0.847	"D5.2"	"SPD-20A 260nm"
"0.733414837454849"	0.222	"D5.2"	"SPD-20A 260nm"
"0.741749096971381"	-0.291	"D5.2"	"SPD-20A 260nm"
"0.750083356487913"	-0.711	"D5.2"	"SPD-20A 260nm"
"0.758417616004446"	-1.054	"D5.2"	"SPD-20A 260nm"
"0.766751875520978"	-1.282	"D5.2"	"SPD-20A 260nm"
"0.77508613503751"	-1.322	"D5.2"	"SPD-20A 260nm"
"0.783420394554043"	-1.145	"D5.2"	"SPD-20A 260nm"
"0.791754654070575"	-0.752	"D5.2"	"SPD-20A 260nm"
"0.800088913587108"	-0.137	"D5.2"	"SPD-20A 260nm"
"0.80842317310364"	0.536	"D5.2"	"SPD-20A 260nm"
"0.816757432620172"	1.083	"D5.2"	"SPD-20A 260nm"
"0.825091692136705"	1.482	"D5.2"	"SPD-20A 260nm"
"0.833425951653237"	1.724	"D5.2"	"SPD-20A 260nm"
"0.841760211169769"	1.781	"D5.2"	"SPD-20A 260nm"
"0.850094470686302"	1.522	"D5.2"	"SPD-20A 260nm"
"0.858428730202834"	0.821	"D5.2"	"SPD-20A 260nm"
"0.866762989719367"	-0.071	"D5.2"	"SPD-20A 260nm"
"0.875097249235899"	-0.674	"D5.2"	"SPD-20A 260nm"
"0.883431508752431"	-0.852	"D5.2"	"SPD-20A 260nm"
"0.891765768268964"	-0.727	"D5.2"	"SPD-20A 260nm"
"0.900100027785496"	-0.427	"D5.2"	"SPD-20A 260nm"
"0.908434287302028"	-0.124	"D5.2"	"SPD-20A 260nm"
"0.916768546818561"	-0.006	"D5.2"	"SPD-20A 260nm"
"0.925102806335093"	-0.078	"D5.2"	"SPD-20A 260nm"
"0.933437065851626"	-0.152	"D5.2"	"SPD-20A 260nm"
"0.941771325368158"	-0.131	"D5.2"	"SPD-20A 260nm"
"0.95010558488469"	-0.062	"D5.2"	"SPD-20A 260nm"
"0.958439844401223"	-0.02	"D5.2"	"SPD-20A 260nm"
"0.966774103917755"	-0.023	"D5.2"	"SPD-20A 260nm"
"0.975108363434287"	-0.035	"D5.2"	"SPD-20A 260nm"
"0.98344262295082"	-0.055	"D5.2"	"SPD-20A 260nm"
"0.991776882467352"	-0.211	"D5.2"	"SPD-20A 260nm"
"1.00011114198388"	-0.606	"D5.2"	"SPD-20A 260nm"
"1.00844540150042"	-1.089	"D5.2"	"SPD-20A 260nm"
"1.01677966101695"	-1.442	"D5.2"	"SPD-20A 260nm"
"1.02511392053348"	-1.545	"D5.2"	"SPD-20A 260nm"
"1.03344818005001"	-1.279	"D5.2"	"SPD-20A 260nm"
"1.04178243956655"	-0.633	"D5.2"	"SPD-20A 260nm"
"1.05011669908308"	0.063	"D5.2"	"SPD-20A 260nm"
"1.05845095859961"	0.536	"D5.2"	"SPD-20A 260nm"
"1.06678521811614"	0.696	"D5.2"	"SPD-20A 260nm"
"1.07511947763268"	0.511	"D5.2"	"SPD-20A 260nm"
"1.08345373714921"	0.074	"D5.2"	"SPD-20A 260nm"
"1.09178799666574"	-0.276	"D5.2"	"SPD-20A 260nm"
"1.10012225618227"	-0.319	"D5.2"	"SPD-20A 260nm"
"1.10845651569881"	-0.114	"D5.2"	"SPD-20A 260nm"
"1.11679077521534"	0.196	"D5.2"	"SPD-20A 260nm"
"1.12512503473187"	0.526	"D5.2"	"SPD-20A 260nm"
