"Minutes"	"Intensity"	"Sample"	"Detector"
"0"	-0.464	"F2"	"SPD-20A 260nm"
"0.00833425951653237"	-1.196	"F2"	"SPD-20A 260nm"
"0.0166685190330647"	-1.868	"F2"	"SPD-20A 260nm"
"0.0250027785495971"	-2.339	"F2"	"SPD-20A 260nm"
"0.0333370380661295"	-2.406	"F2"	"SPD-20A 260nm"
"0.0416712975826619"	-1.965	"F2"	"SPD-20A 260nm"
"0.0500055570991942"	-1.264	"F2"	"SPD-20A 260nm"
"0.0583398166157266"	-0.532	"F2"	"SPD-20A 260nm"
"0.066674076132259"	0.092	"F2"	"SPD-20A 260nm"
"0.0750083356487913"	0.377	"F2"	"SPD-20A 260nm"
"0.0833425951653237"	0.263	"F2"	"SPD-20A 260nm"
"0.0916768546818561"	-0.061	"F2"	"SPD-20A 260nm"
"0.100011114198388"	-0.438	"F2"	"SPD-20A 260nm"
"0.108345373714921"	-0.709	"F2"	"SPD-20A 260nm"
"0.116679633231453"	-0.706	"F2"	"SPD-20A 260nm"
"0.125013892747986"	-0.44	"F2"	"SPD-20A 260nm"
"0.133348152264518"	-0.127	"F2"	"SPD-20A 260nm"
"0.14168241178105"	0.131	"F2"	"SPD-20A 260nm"
"0.150016671297583"	0.292	"F2"	"SPD-20A 260nm"
"0.158350930814115"	0.336	"F2"	"SPD-20A 260nm"
"0.166685190330647"	0.253	"F2"	"SPD-20A 260nm"
"0.17501944984718"	0.046	"F2"	"SPD-20A 260nm"
"0.183353709363712"	-0.298	"F2"	"SPD-20A 260nm"
"0.191687968880245"	-0.762	"F2"	"SPD-20A 260nm"
"0.200022228396777"	-1.338	"F2"	"SPD-20A 260nm"
"0.208356487913309"	-1.97	"F2"	"SPD-20A 260nm"
"0.216690747429842"	-2.574	"F2"	"SPD-20A 260nm"
"0.225025006946374"	-3.111	"F2"	"SPD-20A 260nm"
"0.233359266462906"	-3.501	"F2"	"SPD-20A 260nm"
"0.241693525979439"	-3.719	"F2"	"SPD-20A 260nm"
"0.250027785495971"	-3.725	"F2"	"SPD-20A 260nm"
"0.258362045012503"	-3.475	"F2"	"SPD-20A 260nm"
"0.266696304529036"	-3.019	"F2"	"SPD-20A 260nm"
"0.275030564045568"	-2.493	"F2"	"SPD-20A 260nm"
"0.283364823562101"	-1.958	"F2"	"SPD-20A 260nm"
"0.291699083078633"	-1.528	"F2"	"SPD-20A 260nm"
"0.300033342595165"	-1.262	"F2"	"SPD-20A 260nm"
"0.308367602111698"	-1.079	"F2"	"SPD-20A 260nm"
"0.31670186162823"	-0.83	"F2"	"SPD-20A 260nm"
"0.325036121144762"	-0.481	"F2"	"SPD-20A 260nm"
"0.333370380661295"	-0.155	"F2"	"SPD-20A 260nm"
"0.341704640177827"	0.054	"F2"	"SPD-20A 260nm"
"0.35003889969436"	0.091	"F2"	"SPD-20A 260nm"
"0.358373159210892"	-0.053	"F2"	"SPD-20A 260nm"
"0.366707418727424"	-0.287	"F2"	"SPD-20A 260nm"
"0.375041678243957"	-0.454	"F2"	"SPD-20A 260nm"
"0.383375937760489"	-0.54	"F2"	"SPD-20A 260nm"
"0.391710197277021"	-0.765	"F2"	"SPD-20A 260nm"
"0.400044456793554"	-1.319	"F2"	"SPD-20A 260nm"
"0.408378716310086"	-2.106	"F2"	"SPD-20A 260nm"
"0.416712975826619"	-2.96	"F2"	"SPD-20A 260nm"
"0.425047235343151"	-3.758	"F2"	"SPD-20A 260nm"
"0.433381494859683"	-4.186	"F2"	"SPD-20A 260nm"
"0.441715754376216"	-4.116	"F2"	"SPD-20A 260nm"
"0.450050013892748"	-3.781	"F2"	"SPD-20A 260nm"
"0.45838427340928"	-3.431	"F2"	"SPD-20A 260nm"
"0.466718532925813"	-3.217	"F2"	"SPD-20A 260nm"
"0.475052792442345"	-3.314	"F2"	"SPD-20A 260nm"
"0.483387051958877"	-3.742	"F2"	"SPD-20A 260nm"
"0.49172131147541"	-4.109	"F2"	"SPD-20A 260nm"
"0.500055570991942"	-4.105	"F2"	"SPD-20A 260nm"
"0.508389830508475"	-3.718	"F2"	"SPD-20A 260nm"
"0.516724090025007"	-3.014	"F2"	"SPD-20A 260nm"
"0.525058349541539"	-2.142	"F2"	"SPD-20A 260nm"
"0.533392609058072"	-1.497	"F2"	"SPD-20A 260nm"
"0.541726868574604"	-1.234	"F2"	"SPD-20A 260nm"
"0.550061128091136"	-1.19	"F2"	"SPD-20A 260nm"
"0.558395387607669"	-1.161	"F2"	"SPD-20A 260nm"
"0.566729647124201"	-1.051	"F2"	"SPD-20A 260nm"
"0.575063906640734"	-0.855	"F2"	"SPD-20A 260nm"
"0.583398166157266"	-0.619	"F2"	"SPD-20A 260nm"
"0.591732425673798"	-0.544	"F2"	"SPD-20A 260nm"
"0.600066685190331"	-0.777	"F2"	"SPD-20A 260nm"
"0.608400944706863"	-1.263	"F2"	"SPD-20A 260nm"
"0.616735204223395"	-1.904	"F2"	"SPD-20A 260nm"
"0.625069463739928"	-2.584	"F2"	"SPD-20A 260nm"
"0.63340372325646"	-2.999	"F2"	"SPD-20A 260nm"
"0.641737982772993"	-3.018	"F2"	"SPD-20A 260nm"
"0.650072242289525"	-2.826	"F2"	"SPD-20A 260nm"
"0.658406501806057"	-2.625	"F2"	"SPD-20A 260nm"
"0.66674076132259"	-2.489	"F2"	"SPD-20A 260nm"
"0.675075020839122"	-2.442	"F2"	"SPD-20A 260nm"
"0.683409280355654"	-2.481	"F2"	"SPD-20A 260nm"
"0.691743539872187"	-2.527	"F2"	"SPD-20A 260nm"
"0.700077799388719"	-2.489	"F2"	"SPD-20A 260nm"
"0.708412058905251"	-2.339	"F2"	"SPD-20A 260nm"
"0.716746318421784"	-2.092	"F2"	"SPD-20A 260nm"
"0.725080577938316"	-1.713	"F2"	"SPD-20A 260nm"
"0.733414837454849"	-1.195	"F2"	"SPD-20A 260nm"
"0.741749096971381"	-0.6	"F2"	"SPD-20A 260nm"
"0.750083356487913"	-0.096	"F2"	"SPD-20A 260nm"
"0.758417616004446"	0.192	"F2"	"SPD-20A 260nm"
"0.766751875520978"	0.296	"F2"	"SPD-20A 260nm"
"0.77508613503751"	0.325	"F2"	"SPD-20A 260nm"
"0.783420394554043"	0.326	"F2"	"SPD-20A 260nm"
"0.791754654070575"	0.114	"F2"	"SPD-20A 260nm"
"0.800088913587108"	-0.506	"F2"	"SPD-20A 260nm"
