"Minutes"	"Intensity"	"Sample"	"Detector"
"0"	-0.268	"H5"	"SPD-20A 260nm"
"0.00833518621456365"	-0.142	"H5"	"SPD-20A 260nm"
"0.0166703724291273"	-0.237	"H5"	"SPD-20A 260nm"
"0.0250055586436909"	-0.286	"H5"	"SPD-20A 260nm"
"0.0333407448582546"	-0.274	"H5"	"SPD-20A 260nm"
"0.0416759310728182"	-0.225	"H5"	"SPD-20A 260nm"
"0.0500111172873819"	-0.186	"H5"	"SPD-20A 260nm"
"0.0583463035019455"	-0.165	"H5"	"SPD-20A 260nm"
"0.0666814897165092"	-0.136	"H5"	"SPD-20A 260nm"
"0.0750166759310728"	-0.077	"H5"	"SPD-20A 260nm"
"0.0833518621456365"	-0.016	"H5"	"SPD-20A 260nm"
"0.0916870483602001"	0.028	"H5"	"SPD-20A 260nm"
"0.100022234574764"	0.05	"H5"	"SPD-20A 260nm"
"0.108357420789327"	0.059	"H5"	"SPD-20A 260nm"
"0.116692607003891"	0.051	"H5"	"SPD-20A 260nm"
"0.125027793218455"	0.041	"H5"	"SPD-20A 260nm"
"0.133362979433018"	0.055	"H5"	"SPD-20A 260nm"
"0.141698165647582"	0.064	"H5"	"SPD-20A 260nm"
"0.150033351862146"	0.034	"H5"	"SPD-20A 260nm"
"0.158368538076709"	-0.039	"H5"	"SPD-20A 260nm"
"0.166703724291273"	-0.134	"H5"	"SPD-20A 260nm"
"0.175038910505837"	-0.22	"H5"	"SPD-20A 260nm"
"0.1833740967204"	-0.269	"H5"	"SPD-20A 260nm"
"0.191709282934964"	-0.263	"H5"	"SPD-20A 260nm"
"0.200044469149528"	-0.214	"H5"	"SPD-20A 260nm"
"0.208379655364091"	-0.146	"H5"	"SPD-20A 260nm"
"0.216714841578655"	-0.077	"H5"	"SPD-20A 260nm"
"0.225050027793218"	-0.009	"H5"	"SPD-20A 260nm"
"0.233385214007782"	0.063	"H5"	"SPD-20A 260nm"
"0.241720400222346"	0.125	"H5"	"SPD-20A 260nm"
"0.250055586436909"	0.161	"H5"	"SPD-20A 260nm"
"0.258390772651473"	0.149	"H5"	"SPD-20A 260nm"
"0.266725958866037"	0.103	"H5"	"SPD-20A 260nm"
"0.2750611450806"	0.039	"H5"	"SPD-20A 260nm"
"0.283396331295164"	-0.031	"H5"	"SPD-20A 260nm"
"0.291731517509728"	-0.111	"H5"	"SPD-20A 260nm"
"0.300066703724291"	-0.192	"H5"	"SPD-20A 260nm"
"0.308401889938855"	-0.231	"H5"	"SPD-20A 260nm"
"0.316737076153419"	-0.198	"H5"	"SPD-20A 260nm"
"0.325072262367982"	-0.083	"H5"	"SPD-20A 260nm"
"0.333407448582546"	0.096	"H5"	"SPD-20A 260nm"
"0.341742634797109"	0.279	"H5"	"SPD-20A 260nm"
"0.350077821011673"	0.39	"H5"	"SPD-20A 260nm"
"0.358413007226237"	0.406	"H5"	"SPD-20A 260nm"
"0.3667481934408"	0.354	"H5"	"SPD-20A 260nm"
"0.375083379655364"	0.265	"H5"	"SPD-20A 260nm"
"0.383418565869928"	0.165	"H5"	"SPD-20A 260nm"
"0.391753752084491"	0.073	"H5"	"SPD-20A 260nm"
"0.400088938299055"	-0.021	"H5"	"SPD-20A 260nm"
"0.408424124513619"	-0.113	"H5"	"SPD-20A 260nm"
"0.416759310728182"	-0.184	"H5"	"SPD-20A 260nm"
"0.425094496942746"	-0.235	"H5"	"SPD-20A 260nm"
"0.43342968315731"	-0.265	"H5"	"SPD-20A 260nm"
"0.441764869371873"	-0.29	"H5"	"SPD-20A 260nm"
"0.450100055586437"	-0.331	"H5"	"SPD-20A 260nm"
"0.458435241801001"	-0.395	"H5"	"SPD-20A 260nm"
"0.466770428015564"	-0.47	"H5"	"SPD-20A 260nm"
"0.475105614230128"	-0.538	"H5"	"SPD-20A 260nm"
"0.483440800444691"	-0.577	"H5"	"SPD-20A 260nm"
"0.491775986659255"	-0.544	"H5"	"SPD-20A 260nm"
"0.500111172873819"	-0.461	"H5"	"SPD-20A 260nm"
"0.508446359088382"	-0.386	"H5"	"SPD-20A 260nm"
"0.516781545302946"	-0.363	"H5"	"SPD-20A 260nm"
"0.52511673151751"	-0.404	"H5"	"SPD-20A 260nm"
"0.533451917732073"	-0.496	"H5"	"SPD-20A 260nm"
"0.541787103946637"	-0.606	"H5"	"SPD-20A 260nm"
"0.550122290161201"	-0.71	"H5"	"SPD-20A 260nm"
"0.558457476375764"	-0.792	"H5"	"SPD-20A 260nm"
"0.566792662590328"	-0.836	"H5"	"SPD-20A 260nm"
"0.575127848804892"	-0.827	"H5"	"SPD-20A 260nm"
"0.583463035019455"	-0.77	"H5"	"SPD-20A 260nm"
"0.591798221234019"	-0.694	"H5"	"SPD-20A 260nm"
"0.600133407448582"	-0.613	"H5"	"SPD-20A 260nm"
