"Minutes"	"Intensity"	"Sample"	"Detector"
"0"	0.008	"A6"	"SPD-20A 260nm"
"0.00833531864204884"	0.043	"A6"	"SPD-20A 260nm"
"0.0166706372840977"	0.074	"A6"	"SPD-20A 260nm"
"0.0250059559261465"	0.08	"A6"	"SPD-20A 260nm"
"0.0333412745681954"	0.071	"A6"	"SPD-20A 260nm"
"0.0416765932102442"	0.061	"A6"	"SPD-20A 260nm"
"0.050011911852293"	0.07	"A6"	"SPD-20A 260nm"
"0.0583472304943419"	0.116	"A6"	"SPD-20A 260nm"
"0.0666825491363907"	0.191	"A6"	"SPD-20A 260nm"
"0.0750178677784396"	0.246	"A6"	"SPD-20A 260nm"
"0.0833531864204884"	0.24	"A6"	"SPD-20A 260nm"
"0.0916885050625372"	0.187	"A6"	"SPD-20A 260nm"
"0.100023823704586"	0.119	"A6"	"SPD-20A 260nm"
"0.108359142346635"	0.06	"A6"	"SPD-20A 260nm"
"0.116694460988684"	0.016	"A6"	"SPD-20A 260nm"
"0.125029779630733"	-0.027	"A6"	"SPD-20A 260nm"
"0.133365098272781"	-0.06	"A6"	"SPD-20A 260nm"
"0.14170041691483"	-0.084	"A6"	"SPD-20A 260nm"
"0.150035735556879"	-0.097	"A6"	"SPD-20A 260nm"
"0.158371054198928"	-0.076	"A6"	"SPD-20A 260nm"
"0.166706372840977"	-0.012	"A6"	"SPD-20A 260nm"
"0.175041691483026"	0.09	"A6"	"SPD-20A 260nm"
"0.183377010125074"	0.215	"A6"	"SPD-20A 260nm"
"0.191712328767123"	0.325	"A6"	"SPD-20A 260nm"
"0.200047647409172"	0.395	"A6"	"SPD-20A 260nm"
"0.208382966051221"	0.434	"A6"	"SPD-20A 260nm"
"0.21671828469327"	0.454	"A6"	"SPD-20A 260nm"
"0.225053603335319"	0.456	"A6"	"SPD-20A 260nm"
"0.233388921977367"	0.417	"A6"	"SPD-20A 260nm"
"0.241724240619416"	0.334	"A6"	"SPD-20A 260nm"
"0.250059559261465"	0.228	"A6"	"SPD-20A 260nm"
"0.258394877903514"	0.121	"A6"	"SPD-20A 260nm"
"0.266730196545563"	0.035	"A6"	"SPD-20A 260nm"
"0.275065515187612"	0.005	"A6"	"SPD-20A 260nm"
"0.283400833829661"	0.031	"A6"	"SPD-20A 260nm"
"0.291736152471709"	0.091	"A6"	"SPD-20A 260nm"
"0.300071471113758"	0.173	"A6"	"SPD-20A 260nm"
"0.308406789755807"	0.255	"A6"	"SPD-20A 260nm"
"0.316742108397856"	0.329	"A6"	"SPD-20A 260nm"
"0.325077427039905"	0.384	"A6"	"SPD-20A 260nm"
"0.333412745681954"	0.389	"A6"	"SPD-20A 260nm"
"0.341748064324002"	0.35	"A6"	"SPD-20A 260nm"
"0.350083382966051"	0.311	"A6"	"SPD-20A 260nm"
"0.3584187016081"	0.298	"A6"	"SPD-20A 260nm"
"0.366754020250149"	0.329	"A6"	"SPD-20A 260nm"
"0.375089338892198"	0.402	"A6"	"SPD-20A 260nm"
"0.383424657534247"	0.516	"A6"	"SPD-20A 260nm"
"0.391759976176295"	0.649	"A6"	"SPD-20A 260nm"
"0.400095294818344"	0.779	"A6"	"SPD-20A 260nm"
"0.408430613460393"	0.878	"A6"	"SPD-20A 260nm"
"0.416765932102442"	0.914	"A6"	"SPD-20A 260nm"
"0.425101250744491"	0.883	"A6"	"SPD-20A 260nm"
"0.43343656938654"	0.815	"A6"	"SPD-20A 260nm"
"0.441771888028588"	0.734	"A6"	"SPD-20A 260nm"
"0.450107206670637"	0.625	"A6"	"SPD-20A 260nm"
"0.458442525312686"	0.506	"A6"	"SPD-20A 260nm"
"0.466777843954735"	0.396	"A6"	"SPD-20A 260nm"
"0.475113162596784"	0.318	"A6"	"SPD-20A 260nm"
"0.483448481238833"	0.292	"A6"	"SPD-20A 260nm"
"0.491783799880882"	0.352	"A6"	"SPD-20A 260nm"
"0.50011911852293"	0.516	"A6"	"SPD-20A 260nm"
"0.508454437164979"	0.717	"A6"	"SPD-20A 260nm"
"0.516789755807028"	0.909	"A6"	"SPD-20A 260nm"
"0.525125074449077"	1.061	"A6"	"SPD-20A 260nm"
"0.533460393091126"	1.131	"A6"	"SPD-20A 260nm"
"0.541795711733175"	1.109	"A6"	"SPD-20A 260nm"
"0.550131030375223"	1.045	"A6"	"SPD-20A 260nm"
"0.558466349017272"	0.983	"A6"	"SPD-20A 260nm"
"0.566801667659321"	0.938	"A6"	"SPD-20A 260nm"
"0.57513698630137"	0.937	"A6"	"SPD-20A 260nm"
"0.583472304943419"	0.983	"A6"	"SPD-20A 260nm"
"0.591807623585468"	1.035	"A6"	"SPD-20A 260nm"
"0.600142942227516"	1.074	"A6"	"SPD-20A 260nm"
"0.608478260869565"	1.095	"A6"	"SPD-20A 260nm"
"0.616813579511614"	1.105	"A6"	"SPD-20A 260nm"
"0.625148898153663"	1.101	"A6"	"SPD-20A 260nm"
"0.633484216795712"	1.076	"A6"	"SPD-20A 260nm"
"0.641819535437761"	1.015	"A6"	"SPD-20A 260nm"
"0.650154854079809"	0.928	"A6"	"SPD-20A 260nm"
"0.658490172721858"	0.834	"A6"	"SPD-20A 260nm"
"0.666825491363907"	0.761	"A6"	"SPD-20A 260nm"
