R.Time (min)	Intensity
0.00000	-18
0.00833	-18
0.01667	-0
0.02500	-0
0.03333	-1
0.04167	-1
0.05000	-2
0.05833	-3
0.06667	-4
0.07500	-5
0.08333	-5
0.09167	-5
0.10000	-5
0.10833	-5
0.11667	-4
0.12500	-3
0.13333	-3
0.14167	-3
0.15000	-3
0.15833	-3
0.16667	-3
0.17500	-3
0.18333	-3
0.19167	-3
0.20000	-4
0.20833	-4
0.21667	-3
0.22500	-3
0.23333	-2
0.24167	-2
0.25000	-3
0.25833	-3
0.26667	-3
0.27500	-3
0.28333	-3
0.29167	-3
0.30000	-2
0.30833	-2
0.31667	-2
0.32500	-2
0.33333	-2
0.34167	-2
0.35000	-3
0.35833	-2
0.36667	-2
0.37500	-2
0.38333	-2
0.39167	-2
0.40000	-3
0.40833	-3
0.41667	-3
0.42500	-3
0.43333	-3
0.44167	-3
0.45000	-3
0.45833	-3
0.46667	-4
0.47500	-4
0.48333	-5
0.49167	-6
0.50000	-6
0.50833	-7
0.51667	-7
0.52500	-8
0.53333	-8
0.54167	-8
0.55000	-8
0.55833	-9
0.56667	-9
0.57500	-9
0.58333	-9
0.59167	-9
0.60000	-10
0.60833	-10
0.61667	-10
0.62500	-11
0.63333	-10
0.64167	-10
0.65000	-10
0.65833	-10
0.66667	-10
0.67500	-10
0.68333	-10
0.69167	-11
0.70000	-11
0.70833	-11
0.71667	-11
0.72500	-11
0.73333	-11
0.74167	-11
0.75000	-12
0.75833	-12
0.76667	-12
0.77500	-12
0.78333	-13
0.79167	-13
0.80000	-13
0.80833	-13
0.81667	-13
0.82500	-13
0.83333	-13
0.84167	-13
0.85000	-13
0.85833	-14
0.86667	-13
0.87500	-14
0.88333	-14
0.89167	-13
0.90000	-13
0.90833	-13
0.91667	-13
0.92500	-13
0.93333	-12
0.94167	-12
0.95000	-12
0.95833	-12
0.96667	-12
0.97500	-12
0.98333	-12
0.99167	-11
1.00000	-11
1.00833	-11
1.01667	-11
1.02500	-11
1.03333	-10
1.04167	-10
1.05000	-10
1.05833	-10
1.06667	-11
1.07500	-11
1.08333	-11
1.09167	-11
1.10000	-11
1.10833	-11
1.11667	-11
1.12500	-11
1.13333	-11
1.14167	-11
1.15000	-11
1.15833	-11
1.16667	-11
1.17500	-11
1.18333	-11
1.19167	-11
1.20000	-10
1.20833	-10
1.21667	-11
1.22500	-11
1.23333	-11
1.24167	-11
1.25000	-12
1.25833	-13
1.26667	-13
1.27500	-14
1.28333	-14
1.29167	-14
1.30000	-14
1.30833	-14
1.31667	-15
1.32500	-14
1.33333	-14
1.34167	-14
1.35000	-14
1.35833	-14
1.36667	-14
1.37500	-14
1.38333	-14
1.39167	-15
1.40000	-15
1.40833	-15
1.41667	-15
1.42500	-15
1.43333	-15
1.44167	-15
1.45000	-15
1.45833	-15
1.46667	-15
1.47500	-15
