R.Time (min)	Intensity
0.00000	-22
0.00833	-22
0.01667	-0
0.02500	-0
0.03333	-1
0.04167	-2
0.05000	-2
0.05833	-3
0.06667	-4
0.07500	-5
0.08333	-5
0.09167	-5
0.10000	-6
0.10833	-6
0.11667	-6
0.12500	-6
0.13333	-6
0.14167	-6
0.15000	-6
0.15833	-7
0.16667	-7
0.17500	-8
0.18333	-8
0.19167	-8
0.20000	-9
0.20833	-9
0.21667	-9
0.22500	-10
0.23333	-10
0.24167	-11
0.25000	-12
0.25833	-12
0.26667	-13
0.27500	-13
0.28333	-13
0.29167	-13
0.30000	-14
0.30833	-14
0.31667	-14
0.32500	-14
0.33333	-15
0.34167	-16
0.35000	-16
0.35833	-17
0.36667	-18
0.37500	-18
0.38333	-18
0.39167	-18
0.40000	-19
0.40833	-19
0.41667	-20
0.42500	-20
0.43333	-20
0.44167	-21
0.45000	-22
0.45833	-22
0.46667	-22
0.47500	-23
0.48333	-23
0.49167	-24
0.50000	-25
0.50833	-25
0.51667	-26
0.52500	-27
0.53333	-28
0.54167	-28
0.55000	-28
0.55833	-29
0.56667	-29
0.57500	-30
0.58333	-30
0.59167	-31
0.60000	-31
0.60833	-32
0.61667	-32
0.62500	-33
0.63333	-33
0.64167	-34
0.65000	-35
0.65833	-36
0.66667	-36
0.67500	-37
0.68333	-37
0.69167	-38
0.70000	-38
0.70833	-39
0.71667	-39
0.72500	-40
0.73333	-40
0.74167	-40
0.75000	-41
0.75833	-41
0.76667	-41
0.77500	-42
0.78333	-42
0.79167	-42
0.80000	-42
0.80833	-42
0.81667	-43
0.82500	-43
0.83333	-44
0.84167	-44
0.85000	-45
0.85833	-45
0.86667	-46
0.87500	-46
0.88333	-47
0.89167	-47
0.90000	-47
0.90833	-48
0.91667	-48
0.92500	-49
0.93333	-49
0.94167	-50
0.95000	-51
0.95833	-51
0.96667	-52
0.97500	-52
0.98333	-53
0.99167	-53
1.00000	-53
1.00833	-53
1.01667	-53
1.02500	-54
1.03333	-54
1.04167	-54
1.05000	-55
1.05833	-56
1.06667	-56
1.07500	-57
1.08333	-57
1.09167	-57
1.10000	-58
1.10833	-58
1.11667	-59
1.12500	-59
1.13333	-60
1.14167	-60
1.15000	-60
1.15833	-60
1.16667	-61
1.17500	-61
1.18333	-62
1.19167	-62
1.20000	-63
