R.Time (min)	Intensity
0.00000	-32
0.00833	-32
0.01667	-1
0.02500	-2
0.03333	-3
0.04167	-3
0.05000	-4
0.05833	-5
0.06667	-6
0.07500	-7
0.08333	-8
0.09167	-8
0.10000	-9
0.10833	-9
0.11667	-10
0.12500	-10
0.13333	-11
0.14167	-11
0.15000	-12
0.15833	-13
0.16667	-14
0.17500	-14
0.18333	-15
0.19167	-16
0.20000	-16
0.20833	-17
0.21667	-18
0.22500	-19
0.23333	-20
0.24167	-21
0.25000	-21
0.25833	-22
0.26667	-23
0.27500	-23
0.28333	-24
0.29167	-25
0.30000	-26
0.30833	-26
0.31667	-27
0.32500	-28
0.33333	-28
0.34167	-28
0.35000	-29
0.35833	-30
0.36667	-30
0.37500	-30
0.38333	-31
0.39167	-31
0.40000	-31
0.40833	-32
0.41667	-32
0.42500	-33
0.43333	-34
0.44167	-34
0.45000	-34
0.45833	-35
0.46667	-35
0.47500	-36
0.48333	-37
0.49167	-37
0.50000	-38
0.50833	-38
0.51667	-39
0.52500	-39
0.53333	-40
0.54167	-40
0.55000	-40
0.55833	-41
0.56667	-41
0.57500	-42
0.58333	-42
0.59167	-42
0.60000	-42
0.60833	-43
0.61667	-43
0.62500	-44
0.63333	-45
0.64167	-45
0.65000	-46
0.65833	-47
0.66667	-48
0.67500	-48
0.68333	-49
0.69167	-49
0.70000	-49
0.70833	-49
0.71667	-50
0.72500	-50
0.73333	-51
0.74167	-51
0.75000	-52
0.75833	-52
0.76667	-53
0.77500	-53
0.78333	-53
0.79167	-54
0.80000	-54
0.80833	-55
0.81667	-55
0.82500	-56
0.83333	-55
0.84167	-55
0.85000	-56
0.85833	-56
0.86667	-56
0.87500	-57
0.88333	-57
0.89167	-58
0.90000	-58
0.90833	-58
0.91667	-58
0.92500	-59
0.93333	-59
0.94167	-59
0.95000	-59
0.95833	-59
0.96667	-59
0.97500	-59
0.98333	-60
0.99167	-60
1.00000	-61
1.00833	-62
1.01667	-63
1.02500	-64
1.03333	-64
1.04167	-65
1.05000	-65
1.05833	-65
1.06667	-64
1.07500	-64
1.08333	-64
1.09167	-64
1.10000	-65
1.10833	-65
1.11667	-66
1.12500	-66
1.13333	-66
1.14167	-67
1.15000	-68
1.15833	-68
1.16667	-69
1.17500	-69
1.18333	-69
1.19167	-70
1.20000	-70
1.20833	-70
1.21667	-71
1.22500	-71
1.23333	-71
1.24167	-72
1.25000	-72
1.25833	-72
1.26667	-72
1.27500	-72
1.28333	-73
1.29167	-73
1.30000	-73
1.30833	-73
1.31667	-74
1.32500	-74
1.33333	-75
1.34167	-75
1.35000	-75
1.35833	-76
1.36667	-76
1.37500	-76
1.38333	-77
1.39167	-77
1.40000	-77
1.40833	-78
1.41667	-78
1.42500	-78
1.43333	-79
1.44167	-79
1.45000	-80
1.45833	-80
1.46667	-80
1.47500	-81
1.48333	-81
1.49167	-81
1.50000	-82
1.50833	-82
1.51667	-82
1.52500	-83
1.53333	-83
1.54167	-84
1.55000	-84
1.55833	-84
1.56667	-85
1.57500	-85
1.58333	-85
1.59167	-85
1.60000	-85
1.60833	-86
1.61667	-86
1.62500	-86
1.63333	-86
1.64167	-86
1.65000	-86
1.65833	-87
1.66667	-87
1.67500	-88
1.68333	-88
1.69167	-88
1.70000	-89
1.70833	-89
1.71667	-90
1.72500	-90
1.73333	-90
1.74167	-91
1.75000	-91
1.75833	-91
1.76667	-92
1.77500	-92
1.78333	-93
1.79167	-93
1.80000	-94
1.80833	-94
1.81667	-95
1.82500	-95
1.83333	-96
1.84167	-97
1.85000	-98
1.85833	-98
1.86667	-99
1.87500	-99
1.88333	-100
1.89167	-100
1.90000	-100
1.90833	-100
1.91667	-100
1.92500	-100
1.93333	-100
1.94167	-101
1.95000	-101
1.95833	-102
1.96667	-103
1.97500	-103
1.98333	-103
1.99167	-104
2.00000	-104
2.00833	-104
2.01667	-104
2.02500	-104
2.03333	-104
2.04167	-105
2.05000	-105
2.05833	-105
2.06667	-106
2.07500	-106
2.08333	-107
2.09167	-107
2.10000	-107
2.10833	-107
2.11667	-107
2.12500	-107
2.13333	-107
2.14167	-107
2.15000	-107
2.15833	-107
2.16667	-107
2.17500	-107
2.18333	-107
2.19167	-108
2.20000	-107
2.20833	-107
2.21667	-107
2.22500	-108
2.23333	-108
2.24167	-108
2.25000	-108
2.25833	-108
2.26667	-109
2.27500	-109
2.28333	-108
2.29167	-108
2.30000	-108
2.30833	-108
2.31667	-108
2.32500	-108
2.33333	-108
2.34167	-109
2.35000	-109
2.35833	-109
2.36667	-109
2.37500	-109
2.38333	-109
2.39167	-108
2.40000	-109
2.40833	-109
2.41667	-109
2.42500	-109
2.43333	-108
2.44167	-108
2.45000	-109
2.45833	-109
2.46667	-109
2.47500	-109
2.48333	-109
2.49167	-109
2.50000	-109
2.50833	-109
2.51667	-110
2.52500	-109
2.53333	-109
2.54167	-110
2.55000	-110
2.55833	-110
2.56667	-110
2.57500	-110
2.58333	-111
2.59167	-111
2.60000	-111
2.60833	-111
2.61667	-111
2.62500	-111
2.63333	-111
2.64167	-111
2.65000	-112
2.65833	-112
2.66667	-112
2.67500	-112
2.68333	-113
2.69167	-113
2.70000	-112
2.70833	-112
2.71667	-112
2.72500	-112
2.73333	-112
2.74167	-112
2.75000	-112
2.75833	-113
2.76667	-113
2.77500	-113
2.78333	-113
2.79167	-113
2.80000	-113
2.80833	-113
2.81667	-114
2.82500	-114
2.83333	-114
2.84167	-114
2.85000	-114
2.85833	-114
2.86667	-114
2.87500	-114
2.88333	-114
2.89167	-114
2.90000	-115
2.90833	-115
2.91667	-115
2.92500	-116
2.93333	-116
2.94167	-116
2.95000	-116
2.95833	-116
2.96667	-115
2.97500	-116
2.98333	-116
2.99167	-116
3.00000	-117
3.00833	-117
3.01667	-117
3.02500	-116
3.03333	-116
3.04167	-116
3.05000	-116
3.05833	-116
3.06667	-117
3.07500	-117
3.08333	-118
3.09167	-118
3.10000	-118
3.10833	-118
3.11667	-117
3.12500	-117
3.13333	-117
3.14167	-118
3.15000	-118
3.15833	-118
3.16667	-118
3.17500	-119
3.18333	-119
3.19167	-119
3.20000	-119
3.20833	-119
3.21667	-120
3.22500	-121
3.23333	-121
3.24167	-121
3.25000	-121
3.25833	-121
3.26667	-121
3.27500	-121
3.28333	-122
3.29167	-122
3.30000	-122
3.30833	-122
3.31667	-122
3.32500	-123
3.33333	-123
3.34167	-123
3.35000	-123
3.35833	-123
3.36667	-124
3.37500	-124
3.38333	-124
3.39167	-124
3.40000	-124
3.40833	-124
3.41667	-124
3.42500	-124
3.43333	-124
3.44167	-124
3.45000	-124
3.45833	-125
3.46667	-124
3.47500	-124
3.48333	-124
3.49167	-124
3.50000	-124
3.50833	-125
3.51667	-125
3.52500	-126
3.53333	-126
3.54167	-126
3.55000	-126
3.55833	-126
3.56667	-127
3.57500	-127
3.58333	-127
3.59167	-127
3.60000	-128
3.60833	-128
3.61667	-128
3.62500	-128
3.63333	-128
3.64167	-128
3.65000	-128
3.65833	-128
3.66667	-128
3.67500	-128
3.68333	-128
3.69167	-128
3.70000	-128
3.70833	-128
3.71667	-128
3.72500	-128
3.73333	-128
3.74167	-128
3.75000	-128
3.75833	-128
3.76667	-128
3.77500	-128
3.78333	-129
3.79167	-129
3.80000	-129
3.80833	-129
3.81667	-129
3.82500	-129
3.83333	-129
3.84167	-129
3.85000	-129
3.85833	-129
3.86667	-129
3.87500	-129
3.88333	-129
3.89167	-130
3.90000	-130
3.90833	-130
3.91667	-130
3.92500	-130
3.93333	-130
3.94167	-130
3.95000	-130
3.95833	-130
3.96667	-130
3.97500	-131
3.98333	-131
3.99167	-131
4.00000	-131
4.00833	-131
4.01667	-131
4.02500	-132
4.03333	-132
4.04167	-132
4.05000	-132
4.05833	-131
4.06667	-131
4.07500	-131
4.08333	-131
4.09167	-131
4.10000	-131
4.10833	-131
4.11667	-131
4.12500	-132
4.13333	-132
4.14167	-131
4.15000	-131
4.15833	-131
4.16667	-131
4.17500	-131
4.18333	-131
4.19167	-131
4.20000	-131
4.20833	-131
4.21667	-131
4.22500	-131
4.23333	-131
4.24167	-131
4.25000	-131
4.25833	-131
4.26667	-130
4.27500	-130
4.28333	-130
4.29167	-130
4.30000	-130
4.30833	-130
4.31667	-130
4.32500	-129
4.33333	-130
4.34167	-130
4.35000	-129
4.35833	-129
4.36667	-129
4.37500	-129
4.38333	-128
4.39167	-128
4.40000	-129
4.40833	-129
4.41667	-129
4.42500	-129
4.43333	-129
4.44167	-129
4.45000	-129
4.45833	-130
4.46667	-130
4.47500	-130
4.48333	-130
4.49167	-130
4.50000	-130
4.50833	-130
4.51667	-129
4.52500	-129
4.53333	-129
4.54167	-129
4.55000	-129
4.55833	-129
4.56667	-129
4.57500	-129
4.58333	-129
4.59167	-129
4.60000	-129
4.60833	-129
4.61667	-129
4.62500	-129
4.63333	-129
4.64167	-130
4.65000	-130
4.65833	-130
4.66667	-130
4.67500	-130
4.68333	-130
4.69167	-130
4.70000	-130
4.70833	-130
4.71667	-130
4.72500	-130
4.73333	-130
4.74167	-130
4.75000	-130
4.75833	-130
4.76667	-130
4.77500	-130
4.78333	-130
4.79167	-129
4.80000	-129
4.80833	-129
4.81667	-129
4.82500	-128
4.83333	-128
4.84167	-129
4.85000	-129
4.85833	-129
4.86667	-130
4.87500	-130
4.88333	-131
4.89167	-131
4.90000	-131
4.90833	-131
4.91667	-130
4.92500	-130
4.93333	-130
4.94167	-130
4.95000	-130
4.95833	-129
4.96667	-129
4.97500	-129
4.98333	-129
4.99167	-129
5.00000	-130
5.00833	-130
5.01667	-130
5.02500	-130
5.03333	-130
5.04167	-130
5.05000	-130
5.05833	-130
5.06667	-130
5.07500	-130
5.08333	-130
5.09167	-131
5.10000	-131
5.10833	-131
5.11667	-131
5.12500	-131
5.13333	-132
5.14167	-132
5.15000	-132
5.15833	-132
5.16667	-131
5.17500	-131
5.18333	-131
5.19167	-131
5.20000	-131
5.20833	-131
5.21667	-131
5.22500	-132
5.23333	-132
5.24167	-132
5.25000	-132
5.25833	-131
5.26667	-132
5.27500	-132
5.28333	-132
5.29167	-132
5.30000	-132
5.30833	-132
5.31667	-131
5.32500	-132
5.33333	-132
5.34167	-132
5.35000	-132
5.35833	-133
5.36667	-133
5.37500	-133
5.38333	-133
5.39167	-133
5.40000	-133
5.40833	-133
5.41667	-133
5.42500	-133
5.43333	-133
5.44167	-133
5.45000	-133
5.45833	-132
5.46667	-132
5.47500	-132
5.48333	-132
5.49167	-132
5.50000	-132
5.50833	-132
5.51667	-132
5.52500	-132
5.53333	-133
5.54167	-133
5.55000	-133
5.55833	-133
5.56667	-133
5.57500	-133
5.58333	-132
5.59167	-132
5.60000	-132
5.60833	-132
5.61667	-132
5.62500	-133
5.63333	-132
5.64167	-132
5.65000	-132
5.65833	-132
5.66667	-132
5.67500	-132
5.68333	-132
5.69167	-132
5.70000	-132
5.70833	-132
5.71667	-132
5.72500	-132
5.73333	-132
5.74167	-132
5.75000	-132
5.75833	-132
5.76667	-132
5.77500	-132
5.78333	-132
5.79167	-132
5.80000	-132
5.80833	-132
5.81667	-132
5.82500	-132
5.83333	-131
5.84167	-131
5.85000	-131
5.85833	-130
5.86667	-130
5.87500	-130
5.88333	-130
5.89167	-129
5.90000	-129
5.90833	-129
5.91667	-129
5.92500	-129
5.93333	-130
5.94167	-130
5.95000	-130
5.95833	-130
5.96667	-130
5.97500	-129
5.98333	-129
5.99167	-129
6.00000	-129
6.00833	-129
6.01667	-129
6.02500	-129
6.03333	-128
6.04167	-128
6.05000	-128
6.05833	-128
6.06667	-128
6.07500	-128
6.08333	-128
6.09167	-128
6.10000	-128
6.10833	-128
6.11667	-128
6.12500	-128
6.13333	-128
6.14167	-128
6.15000	-128
6.15833	-128
6.16667	-128
6.17500	-128
6.18333	-128
6.19167	-128
6.20000	-127
6.20833	-128
6.21667	-128
6.22500	-127
6.23333	-128
6.24167	-128
6.25000	-128
6.25833	-128
6.26667	-128
6.27500	-128
6.28333	-128
6.29167	-128
6.30000	-128
6.30833	-128
6.31667	-128
6.32500	-128
6.33333	-128
6.34167	-128
6.35000	-128
6.35833	-128
6.36667	-128
6.37500	-128
6.38333	-128
6.39167	-128
6.40000	-129
6.40833	-129
6.41667	-129
6.42500	-129
6.43333	-129
6.44167	-129
6.45000	-129
6.45833	-128
6.46667	-129
6.47500	-129
6.48333	-129
6.49167	-129
6.50000	-128
