R.Time (min)	Intensity
0.00000	-46
0.00833	-46
0.01667	-28
0.02500	-0
0.03333	-1
0.04167	-1
0.05000	-2
0.05833	-3
0.06667	-4
0.07500	-4
0.08333	-4
0.09167	-5
0.10000	-5
0.10833	-4
0.11667	-5
0.12500	-5
0.13333	-5
0.14167	-6
0.15000	-6
0.15833	-7
0.16667	-7
0.17500	-8
0.18333	-8
0.19167	-9
0.20000	-9
0.20833	-10
0.21667	-10
0.22500	-11
0.23333	-12
0.24167	-13
0.25000	-13
0.25833	-14
0.26667	-14
0.27500	-15
0.28333	-15
0.29167	-15
0.30000	-16
0.30833	-17
0.31667	-17
0.32500	-18
0.33333	-18
0.34167	-19
0.35000	-20
0.35833	-20
0.36667	-21
0.37500	-21
0.38333	-22
0.39167	-23
0.40000	-24
0.40833	-24
0.41667	-25
0.42500	-25
0.43333	-26
0.44167	-26
0.45000	-26
0.45833	-26
0.46667	-27
0.47500	-27
0.48333	-28
0.49167	-29
0.50000	-30
0.50833	-30
0.51667	-31
0.52500	-31
0.53333	-32
0.54167	-33
0.55000	-34
0.55833	-35
0.56667	-35
0.57500	-36
0.58333	-36
0.59167	-37
0.60000	-38
0.60833	-38
0.61667	-38
0.62500	-39
0.63333	-39
0.64167	-39
0.65000	-39
0.65833	-40
0.66667	-40
0.67500	-40
0.68333	-40
0.69167	-41
0.70000	-42
0.70833	-42
0.71667	-43
0.72500	-44
0.73333	-44
0.74167	-45
0.75000	-44
0.75833	-45
0.76667	-45
0.77500	-45
0.78333	-46
0.79167	-46
0.80000	-46
0.80833	-46
0.81667	-46
0.82500	-47
0.83333	-47
0.84167	-47
0.85000	-48
0.85833	-49
0.86667	-50
0.87500	-50
0.88333	-50
0.89167	-51
0.90000	-51
0.90833	-52
0.91667	-52
0.92500	-53
0.93333	-53
0.94167	-53
0.95000	-53
0.95833	-54
0.96667	-54
0.97500	-54
0.98333	-55
0.99167	-55
1.00000	-56
1.00833	-57
1.01667	-57
1.02500	-58
1.03333	-58
1.04167	-59
1.05000	-59
1.05833	-59
1.06667	-60
1.07500	-60
1.08333	-61
1.09167	-61
1.10000	-61
1.10833	-61
1.11667	-61
1.12500	-62
1.13333	-62
1.14167	-62
1.15000	-63
1.15833	-64
1.16667	-64
1.17500	-65
1.18333	-65
1.19167	-66
1.20000	-66
1.20833	-67
1.21667	-67
1.22500	-68
1.23333	-68
1.24167	-68
1.25000	-68
1.25833	-68
1.26667	-68
1.27500	-69
1.28333	-70
1.29167	-70
1.30000	-71
1.30833	-71
1.31667	-71
1.32500	-71
1.33333	-72
1.34167	-72
1.35000	-72
1.35833	-73
1.36667	-73
1.37500	-73
1.38333	-74
1.39167	-74
1.40000	-75
1.40833	-75
1.41667	-75
1.42500	-76
1.43333	-76
1.44167	-76
1.45000	-77
