R.Time (min)	Intensity
0.00000	-30
0.00833	-30
0.01667	-6
0.02500	-0
0.03333	-0
0.04167	-1
0.05000	-2
0.05833	-3
0.06667	-4
0.07500	-4
0.08333	-5
0.09167	-5
0.10000	-5
0.10833	-5
0.11667	-4
0.12500	-4
0.13333	-4
0.14167	-4
0.15000	-5
0.15833	-5
0.16667	-6
0.17500	-7
0.18333	-7
0.19167	-7
0.20000	-8
0.20833	-8
0.21667	-8
0.22500	-9
0.23333	-9
0.24167	-10
0.25000	-11
0.25833	-12
0.26667	-13
0.27500	-13
0.28333	-13
0.29167	-14
0.30000	-14
0.30833	-15
0.31667	-16
0.32500	-17
0.33333	-18
0.34167	-18
0.35000	-19
0.35833	-20
0.36667	-20
0.37500	-21
0.38333	-21
0.39167	-22
0.40000	-23
0.40833	-24
0.41667	-24
0.42500	-25
0.43333	-25
0.44167	-26
0.45000	-27
0.45833	-27
0.46667	-28
0.47500	-28
0.48333	-29
0.49167	-30
0.50000	-31
0.50833	-31
0.51667	-32
0.52500	-32
0.53333	-32
0.54167	-33
0.55000	-33
0.55833	-34
0.56667	-35
0.57500	-35
0.58333	-36
0.59167	-36
0.60000	-37
0.60833	-37
0.61667	-37
0.62500	-38
0.63333	-38
0.64167	-38
0.65000	-38
0.65833	-38
0.66667	-39
0.67500	-40
0.68333	-40
0.69167	-41
0.70000	-41
0.70833	-41
0.71667	-42
0.72500	-42
0.73333	-43
0.74167	-43
0.75000	-43
0.75833	-43
0.76667	-43
0.77500	-44
0.78333	-44
0.79167	-45
0.80000	-45
0.80833	-46
0.81667	-46
0.82500	-46
0.83333	-46
0.84167	-46
0.85000	-47
0.85833	-47
0.86667	-48
0.87500	-48
0.88333	-49
0.89167	-50
0.90000	-50
0.90833	-51
0.91667	-51
0.92500	-52
0.93333	-52
0.94167	-52
0.95000	-53
0.95833	-53
0.96667	-54
0.97500	-55
0.98333	-55
0.99167	-56
1.00000	-57
1.00833	-57
1.01667	-58
1.02500	-59
1.03333	-59
1.04167	-60
1.05000	-60
1.05833	-61
1.06667	-62
1.07500	-62
1.08333	-63
1.09167	-64
1.10000	-65
1.10833	-65
1.11667	-66
1.12500	-67
1.13333	-67
1.14167	-67
1.15000	-68
1.15833	-68
1.16667	-68
1.17500	-69
1.18333	-69
1.19167	-69
1.20000	-70
1.20833	-70
1.21667	-71
1.22500	-71
1.23333	-72
1.24167	-72
1.25000	-73
1.25833	-73
1.26667	-74
1.27500	-74
1.28333	-75
1.29167	-75
1.30000	-75
1.30833	-76
1.31667	-77
1.32500	-77
1.33333	-77
1.34167	-77
1.35000	-77
1.35833	-77
1.36667	-78
1.37500	-78
1.38333	-78
1.39167	-78
1.40000	-78
1.40833	-78
1.41667	-78
1.42500	-78
1.43333	-78
1.44167	-78
1.45000	-78
1.45833	-78
1.46667	-78
1.47500	-78
1.48333	-79
1.49167	-79
1.50000	-79
1.50833	-79
1.51667	-80
1.52500	-80
1.53333	-80
1.54167	-80
1.55000	-81
1.55833	-81
1.56667	-81
1.57500	-81
1.58333	-81
1.59167	-82
1.60000	-82
1.60833	-82
1.61667	-83
1.62500	-83
1.63333	-83
1.64167	-84
1.65000	-84
1.65833	-84
1.66667	-84
1.67500	-84
1.68333	-84
1.69167	-84
1.70000	-85
1.70833	-85
1.71667	-86
1.72500	-87
1.73333	-87
1.74167	-88
1.75000	-88
1.75833	-88
1.76667	-89
1.77500	-89
1.78333	-89
1.79167	-89
1.80000	-90
1.80833	-90
1.81667	-91
1.82500	-91
1.83333	-91
1.84167	-91
1.85000	-91
1.85833	-91
1.86667	-92
1.87500	-92
1.88333	-93
1.89167	-93
1.90000	-93
1.90833	-94
1.91667	-94
1.92500	-94
1.93333	-95
1.94167	-95
1.95000	-95
1.95833	-95
1.96667	-95
1.97500	-95
1.98333	-95
1.99167	-96
2.00000	-96
2.00833	-97
2.01667	-97
2.02500	-97
2.03333	-97
2.04167	-97
2.05000	-97
2.05833	-97
2.06667	-97
2.07500	-96
2.08333	-96
2.09167	-96
2.10000	-96
2.10833	-96
2.11667	-96
2.12500	-95
2.13333	-95
2.14167	-94
2.15000	-94
2.15833	-93
2.16667	-92
2.17500	-91
2.18333	-91
2.19167	-90
2.20000	-89
2.20833	-88
2.21667	-87
2.22500	-86
2.23333	-86
2.24167	-85
2.25000	-84
2.25833	-83
2.26667	-82
2.27500	-81
2.28333	-80
2.29167	-78
2.30000	-76
2.30833	-75
2.31667	-73
2.32500	-70
2.33333	-68
2.34167	-65
2.35000	-62
2.35833	-59
2.36667	-57
2.37500	-54
2.38333	-51
2.39167	-47
2.40000	-44
2.40833	-40
2.41667	-36
2.42500	-31
2.43333	-27
2.44167	-22
2.45000	-17
2.45833	-11
2.46667	-5
2.47500	2
2.48333	8
2.49167	15
2.50000	23
2.50833	31
2.51667	39
2.52500	47
2.53333	57
2.54167	66
2.55000	77
2.55833	88
2.56667	100
2.57500	112
2.58333	126
2.59167	139
2.60000	154
2.60833	170
2.61667	186
2.62500	204
2.63333	222
2.64167	241
2.65000	261
2.65833	282
2.66667	304
2.67500	328
2.68333	353
2.69167	378
2.70000	405
