R.Time (min)	Intensity
0.00000	-32
0.00833	-32
0.01667	-0
0.02500	-1
0.03333	-1
0.04167	-2
0.05000	-3
0.05833	-4
0.06667	-4
0.07500	-5
0.08333	-5
0.09167	-6
0.10000	-6
0.10833	-7
0.11667	-7
0.12500	-8
0.13333	-8
0.14167	-8
0.15000	-9
0.15833	-9
0.16667	-10
0.17500	-10
0.18333	-10
0.19167	-11
0.20000	-11
0.20833	-12
0.21667	-13
0.22500	-13
0.23333	-14
0.24167	-14
0.25000	-15
0.25833	-16
0.26667	-17
0.27500	-17
0.28333	-18
0.29167	-18
0.30000	-19
0.30833	-19
0.31667	-20
0.32500	-21
0.33333	-22
0.34167	-23
0.35000	-24
0.35833	-25
0.36667	-26
0.37500	-26
0.38333	-26
0.39167	-26
0.40000	-27
0.40833	-27
0.41667	-28
0.42500	-29
0.43333	-29
0.44167	-30
0.45000	-30
0.45833	-31
0.46667	-32
0.47500	-33
0.48333	-34
0.49167	-35
0.50000	-36
0.50833	-37
0.51667	-38
0.52500	-38
0.53333	-38
0.54167	-39
0.55000	-40
0.55833	-40
0.56667	-41
0.57500	-41
0.58333	-42
0.59167	-42
0.60000	-42
0.60833	-43
0.61667	-44
0.62500	-45
0.63333	-45
0.64167	-46
0.65000	-46
0.65833	-47
0.66667	-47
0.67500	-47
0.68333	-48
0.69167	-48
0.70000	-49
0.70833	-49
0.71667	-50
0.72500	-50
0.73333	-50
0.74167	-51
0.75000	-51
0.75833	-51
0.76667	-52
0.77500	-53
0.78333	-53
0.79167	-54
0.80000	-54
0.80833	-54
0.81667	-54
0.82500	-55
0.83333	-55
0.84167	-55
0.85000	-56
0.85833	-56
0.86667	-56
0.87500	-57
0.88333	-57
0.89167	-58
0.90000	-58
0.90833	-59
0.91667	-59
0.92500	-60
0.93333	-61
0.94167	-62
0.95000	-62
0.95833	-62
0.96667	-63
0.97500	-63
0.98333	-63
0.99167	-64
1.00000	-64
1.00833	-65
1.01667	-65
1.02500	-66
1.03333	-67
1.04167	-67
1.05000	-68
1.05833	-69
1.06667	-69
1.07500	-70
1.08333	-70
1.09167	-71
1.10000	-71
1.10833	-71
1.11667	-71
1.12500	-71
1.13333	-71
1.14167	-72
1.15000	-72
1.15833	-73
1.16667	-74
1.17500	-74
1.18333	-74
1.19167	-75
1.20000	-75
1.20833	-76
1.21667	-76
1.22500	-76
1.23333	-77
1.24167	-77
1.25000	-78
1.25833	-78
1.26667	-79
1.27500	-79
1.28333	-80
1.29167	-80
1.30000	-81
1.30833	-81
1.31667	-82
1.32500	-82
1.33333	-82
1.34167	-82
1.35000	-82
1.35833	-83
1.36667	-83
1.37500	-83
1.38333	-84
1.39167	-84
1.40000	-85
1.40833	-85
1.41667	-86
1.42500	-86
1.43333	-86
1.44167	-87
1.45000	-87
1.45833	-87
1.46667	-88
1.47500	-88
1.48333	-89
1.49167	-90
1.50000	-90
1.50833	-91
1.51667	-92
1.52500	-92
1.53333	-93
1.54167	-93
1.55000	-94
1.55833	-94
1.56667	-95
1.57500	-95
1.58333	-95
1.59167	-95
1.60000	-96
1.60833	-96
1.61667	-97
1.62500	-97
1.63333	-98
1.64167	-98
1.65000	-99
1.65833	-100
1.66667	-101
1.67500	-101
1.68333	-102
1.69167	-102
1.70000	-103
1.70833	-104
1.71667	-104
1.72500	-104
1.73333	-104
1.74167	-105
1.75000	-105
1.75833	-106
1.76667	-106
1.77500	-107
1.78333	-107
1.79167	-108
1.80000	-108
1.80833	-108
1.81667	-108
1.82500	-108
1.83333	-109
1.84167	-109
1.85000	-109
1.85833	-109
1.86667	-110
1.87500	-110
1.88333	-110
1.89167	-111
1.90000	-111
1.90833	-111
1.91667	-111
1.92500	-111
1.93333	-111
1.94167	-111
1.95000	-111
1.95833	-112
1.96667	-112
1.97500	-112
1.98333	-113
1.99167	-113
2.00000	-113
2.00833	-114
2.01667	-114
2.02500	-114
2.03333	-114
2.04167	-113
2.05000	-114
2.05833	-114
2.06667	-114
2.07500	-115
2.08333	-115
2.09167	-115
2.10000	-115
2.10833	-115
2.11667	-116
2.12500	-116
2.13333	-116
2.14167	-116
2.15000	-116
2.15833	-116
2.16667	-116
2.17500	-116
2.18333	-116
2.19167	-116
2.20000	-116
2.20833	-116
2.21667	-116
2.22500	-116
2.23333	-115
2.24167	-115
2.25000	-115
2.25833	-114
2.26667	-113
2.27500	-113
2.28333	-112
2.29167	-111
2.30000	-110
2.30833	-110
2.31667	-109
2.32500	-108
2.33333	-107
2.34167	-106
2.35000	-105
2.35833	-104
2.36667	-103
2.37500	-102
2.38333	-100
2.39167	-99
2.40000	-97
2.40833	-95
2.41667	-93
2.42500	-91
2.43333	-89
2.44167	-86
2.45000	-84
2.45833	-81
2.46667	-77
2.47500	-74
2.48333	-70
2.49167	-67
2.50000	-63
2.50833	-60
2.51667	-56
2.52500	-51
2.53333	-47
2.54167	-41
2.55000	-36
2.55833	-31
2.56667	-25
2.57500	-20
2.58333	-13
2.59167	-7
2.60000	0
2.60833	8
2.61667	16
2.62500	24
2.63333	33
2.64167	42
2.65000	52
2.65833	62
2.66667	73
2.67500	85
2.68333	96
2.69167	108
2.70000	121
2.70833	135
2.71667	150
2.72500	165
2.73333	181
2.74167	198
2.75000	216
2.75833	235
2.76667	255
2.77500	275
2.78333	297
2.79167	320
2.80000	344
2.80833	370
2.81667	397
2.82500	425
2.83333	454
2.84167	485
2.85000	518
2.85833	552
2.86667	589
2.87500	627
2.88333	667
2.89167	708
2.90000	751
2.90833	796
2.91667	844
2.92500	894
2.93333	946
2.94167	1001
2.95000	1058
2.95833	1117
2.96667	1179
2.97500	1243
2.98333	1309
2.99167	1378
3.00000	1449
3.00833	1523
3.01667	1599
3.02500	1678
3.03333	1758
3.04167	1840
3.05000	1925
3.05833	2012
3.06667	2100
3.07500	2190
3.08333	2282
3.09167	2375
3.10000	2470
3.10833	2565
3.11667	2661
3.12500	2758
3.13333	2854
3.14167	2950
3.15000	3046
3.15833	3142
3.16667	3236
3.17500	3330
3.18333	3421
3.19167	3511
3.20000	3598
3.20833	3682
3.21667	3764
3.22500	3843
3.23333	3917
3.24167	3988
3.25000	4054
3.25833	4117
3.26667	4174
3.27500	4227
3.28333	4274
3.29167	4317
3.30000	4354
3.30833	4385
3.31667	4410
3.32500	4429
3.33333	4442
3.34167	4449
3.35000	4450
3.35833	4444
3.36667	4433
3.37500	4415
3.38333	4391
3.39167	4362
3.40000	4326
3.40833	4286
3.41667	4240
3.42500	4188
3.43333	4132
3.44167	4071
3.45000	4005
3.45833	3936
3.46667	3863
3.47500	3786
3.48333	3706
3.49167	3622
3.50000	3536
3.50833	3447
3.51667	3357
3.52500	3264
3.53333	3170
3.54167	3075
3.55000	2980
3.55833	2883
3.56667	2787
3.57500	2690
3.58333	2594
3.59167	2498
3.60000	2403
3.60833	2309
3.61667	2216
3.62500	2125
3.63333	2035
3.64167	1946
3.65000	1860
3.65833	1775
3.66667	1692
3.67500	1612
3.68333	1534
3.69167	1458
3.70000	1384
3.70833	1313
3.71667	1244
3.72500	1178
3.73333	1114
3.74167	1053
3.75000	994
3.75833	938
3.76667	884
3.77500	833
3.78333	785
3.79167	738
3.80000	694
3.80833	652
3.81667	612
3.82500	575
3.83333	539
3.84167	506
3.85000	474
3.85833	444
3.86667	416
3.87500	389
3.88333	364
3.89167	340
3.90000	318
3.90833	297
3.91667	277
3.92500	259
3.93333	242
3.94167	226
3.95000	211
3.95833	197
3.96667	184
3.97500	171
3.98333	160
3.99167	149
4.00000	139
4.00833	129
4.01667	121
4.02500	112
4.03333	104
4.04167	97
4.05000	90
4.05833	82
4.06667	76
4.07500	70
4.08333	63
4.09167	57
4.10000	52
4.10833	47
4.11667	41
4.12500	36
4.13333	32
4.14167	27
4.15000	22
4.15833	17
4.16667	13
4.17500	8
4.18333	4
4.19167	0
4.20000	-4
4.20833	-8
4.21667	-12
4.22500	-16
4.23333	-21
4.24167	-25
4.25000	-29
4.25833	-33
4.26667	-37
4.27500	-41
4.28333	-45
4.29167	-48
4.30000	-52
4.30833	-56
4.31667	-60
4.32500	-63
4.33333	-67
4.34167	-70
4.35000	-74
4.35833	-77
4.36667	-81
4.37500	-84
4.38333	-86
4.39167	-89
4.40000	-92
4.40833	-95
4.41667	-97
4.42500	-100
4.43333	-103
4.44167	-106
4.45000	-108
4.45833	-110
4.46667	-112
4.47500	-114
4.48333	-116
4.49167	-118
4.50000	-119
4.50833	-121
4.51667	-123
4.52500	-124
4.53333	-126
4.54167	-127
4.55000	-127
4.55833	-128
4.56667	-129
4.57500	-130
4.58333	-130
4.59167	-131
4.60000	-132
4.60833	-133
4.61667	-133
4.62500	-133
4.63333	-133
4.64167	-133
4.65000	-133
4.65833	-133
4.66667	-133
4.67500	-133
4.68333	-134
4.69167	-134
4.70000	-134
4.70833	-135
4.71667	-135
4.72500	-135
4.73333	-135
4.74167	-134
4.75000	-134
4.75833	-134
4.76667	-133
4.77500	-133
4.78333	-132
4.79167	-132
4.80000	-132
4.80833	-132
4.81667	-131
4.82500	-131
4.83333	-130
4.84167	-130
4.85000	-130
4.85833	-130
4.86667	-130
4.87500	-130
4.88333	-130
4.89167	-131
4.90000	-131
4.90833	-130
4.91667	-130
4.92500	-130
4.93333	-129
4.94167	-129
4.95000	-129
4.95833	-128
4.96667	-129
4.97500	-128
4.98333	-128
4.99167	-128
5.00000	-128
5.00833	-128
5.01667	-128
5.02500	-128
5.03333	-128
5.04167	-127
5.05000	-128
5.05833	-128
5.06667	-128
5.07500	-129
5.08333	-129
5.09167	-129
5.10000	-129
5.10833	-129
5.11667	-129
5.12500	-129
5.13333	-129
5.14167	-130
5.15000	-129
5.15833	-129
5.16667	-129
5.17500	-129
5.18333	-128
5.19167	-128
5.20000	-129
5.20833	-129
5.21667	-129
5.22500	-129
5.23333	-130
5.24167	-130
5.25000	-131
5.25833	-131
5.26667	-131
5.27500	-132
5.28333	-132
5.29167	-132
5.30000	-132
5.30833	-133
5.31667	-133
5.32500	-133
5.33333	-133
5.34167	-133
5.35000	-134
5.35833	-134
5.36667	-134
5.37500	-134
5.38333	-135
5.39167	-135
5.40000	-136
5.40833	-136
5.41667	-137
5.42500	-137
5.43333	-137
5.44167	-138
5.45000	-138
5.45833	-138
5.46667	-139
5.47500	-139
5.48333	-139
5.49167	-140
5.50000	-141
5.50833	-141
5.51667	-141
5.52500	-142
5.53333	-142
5.54167	-142
5.55000	-143
5.55833	-143
5.56667	-144
5.57500	-144
5.58333	-145
5.59167	-146
5.60000	-146
5.60833	-146
5.61667	-146
5.62500	-147
5.63333	-147
5.64167	-148
5.65000	-148
5.65833	-149
5.66667	-149
5.67500	-149
5.68333	-149
5.69167	-150
5.70000	-151
5.70833	-152
5.71667	-152
5.72500	-152
5.73333	-153
5.74167	-153
5.75000	-153
5.75833	-153
5.76667	-153
5.77500	-153
5.78333	-153
5.79167	-153
5.80000	-153
5.80833	-153
5.81667	-153
5.82500	-153
5.83333	-154
5.84167	-154
5.85000	-154
5.85833	-154
5.86667	-154
5.87500	-155
5.88333	-155
5.89167	-155
5.90000	-155
5.90833	-155
5.91667	-155
5.92500	-155
5.93333	-155
5.94167	-155
5.95000	-155
5.95833	-155
5.96667	-155
5.97500	-155
5.98333	-155
5.99167	-155
6.00000	-156
6.00833	-156
6.01667	-156
6.02500	-157
6.03333	-156
6.04167	-156
6.05000	-156
6.05833	-156
6.06667	-156
6.07500	-155
6.08333	-155
6.09167	-155
6.10000	-155
6.10833	-155
6.11667	-155
6.12500	-155
6.13333	-155
6.14167	-155
6.15000	-155
6.15833	-154
6.16667	-154
6.17500	-154
6.18333	-154
6.19167	-155
6.20000	-155
6.20833	-155
6.21667	-155
6.22500	-155
6.23333	-155
6.24167	-155
6.25000	-155
6.25833	-155
6.26667	-155
6.27500	-155
6.28333	-155
6.29167	-155
6.30000	-154
6.30833	-154
6.31667	-154
6.32500	-154
6.33333	-154
6.34167	-154
6.35000	-154
6.35833	-154
6.36667	-154
6.37500	-154
6.38333	-154
6.39167	-154
6.40000	-154
6.40833	-154
6.41667	-154
6.42500	-154
6.43333	-154
6.44167	-154
6.45000	-154
6.45833	-155
6.46667	-155
6.47500	-155
6.48333	-155
6.49167	-155
6.50000	-155
6.50833	-155
6.51667	-155
6.52500	-155
6.53333	-155
6.54167	-156
6.55000	-156
6.55833	-156
6.56667	-156
6.57500	-156
6.58333	-155
6.59167	-155
6.60000	-155
