R.Time (min)	Intensity
0.00000	-38
0.00833	-38
0.01667	-1
0.02500	-1
0.03333	-2
0.04167	-3
0.05000	-4
0.05833	-5
0.06667	-6
0.07500	-7
0.08333	-8
0.09167	-9
0.10000	-10
0.10833	-11
0.11667	-11
0.12500	-12
0.13333	-12
0.14167	-13
0.15000	-14
0.15833	-14
0.16667	-15
0.17500	-15
0.18333	-16
0.19167	-16
0.20000	-17
0.20833	-17
0.21667	-18
0.22500	-19
0.23333	-20
0.24167	-21
0.25000	-21
0.25833	-21
0.26667	-21
0.27500	-22
0.28333	-22
0.29167	-22
0.30000	-23
0.30833	-24
0.31667	-25
0.32500	-26
0.33333	-26
0.34167	-27
0.35000	-27
0.35833	-27
0.36667	-28
0.37500	-28
0.38333	-29
0.39167	-29
0.40000	-30
0.40833	-31
0.41667	-31
0.42500	-32
0.43333	-33
0.44167	-34
0.45000	-34
0.45833	-35
0.46667	-36
0.47500	-37
0.48333	-37
0.49167	-38
0.50000	-40
0.50833	-41
0.51667	-42
0.52500	-42
0.53333	-43
0.54167	-44
0.55000	-45
0.55833	-45
0.56667	-46
0.57500	-46
0.58333	-47
0.59167	-47
0.60000	-47
0.60833	-48
0.61667	-49
0.62500	-50
0.63333	-51
0.64167	-51
0.65000	-52
0.65833	-52
0.66667	-53
0.67500	-53
0.68333	-53
0.69167	-53
0.70000	-53
0.70833	-54
0.71667	-54
0.72500	-55
0.73333	-55
0.74167	-56
0.75000	-56
0.75833	-57
0.76667	-57
0.77500	-57
0.78333	-58
0.79167	-58
0.80000	-59
0.80833	-60
0.81667	-60
0.82500	-61
0.83333	-62
0.84167	-63
0.85000	-63
0.85833	-64
0.86667	-65
0.87500	-66
0.88333	-66
0.89167	-67
0.90000	-68
0.90833	-69
0.91667	-69
0.92500	-70
0.93333	-70
0.94167	-71
0.95000	-71
0.95833	-72
0.96667	-73
0.97500	-73
0.98333	-74
0.99167	-75
1.00000	-76
1.00833	-76
1.01667	-76
1.02500	-76
1.03333	-77
1.04167	-77
1.05000	-77
1.05833	-78
1.06667	-78
1.07500	-78
1.08333	-78
1.09167	-78
1.10000	-78
1.10833	-78
1.11667	-78
1.12500	-78
1.13333	-78
1.14167	-78
1.15000	-79
1.15833	-79
1.16667	-80
1.17500	-80
1.18333	-80
1.19167	-81
1.20000	-81
1.20833	-82
1.21667	-82
1.22500	-83
1.23333	-83
1.24167	-84
1.25000	-85
1.25833	-86
1.26667	-87
1.27500	-87
1.28333	-88
1.29167	-88
1.30000	-88
1.30833	-89
1.31667	-89
1.32500	-90
1.33333	-90
1.34167	-91
1.35000	-92
1.35833	-92
1.36667	-93
1.37500	-93
1.38333	-93
1.39167	-94
1.40000	-94
1.40833	-94
1.41667	-94
1.42500	-95
1.43333	-95
1.44167	-95
1.45000	-95
1.45833	-96
1.46667	-96
1.47500	-96
1.48333	-96
1.49167	-97
1.50000	-97
1.50833	-96
1.51667	-96
1.52500	-96
1.53333	-97
1.54167	-98
1.55000	-99
1.55833	-99
1.56667	-100
1.57500	-100
1.58333	-101
1.59167	-102
1.60000	-102
1.60833	-103
1.61667	-104
1.62500	-104
1.63333	-105
1.64167	-105
1.65000	-106
1.65833	-106
1.66667	-107
1.67500	-107
1.68333	-107
1.69167	-107
1.70000	-107
1.70833	-107
1.71667	-107
1.72500	-108
1.73333	-108
1.74167	-107
1.75000	-108
1.75833	-108
1.76667	-108
1.77500	-108
1.78333	-108
1.79167	-108
1.80000	-108
1.80833	-108
1.81667	-108
1.82500	-107
1.83333	-108
1.84167	-108
1.85000	-108
1.85833	-109
1.86667	-109
1.87500	-109
1.88333	-109
1.89167	-109
1.90000	-110
1.90833	-110
1.91667	-111
1.92500	-111
1.93333	-112
1.94167	-112
1.95000	-113
1.95833	-113
1.96667	-114
1.97500	-115
1.98333	-115
1.99167	-115
2.00000	-115
2.00833	-115
2.01667	-115
2.02500	-115
2.03333	-115
2.04167	-115
2.05000	-115
2.05833	-114
2.06667	-114
2.07500	-114
2.08333	-114
2.09167	-114
2.10000	-114
2.10833	-114
2.11667	-114
2.12500	-113
2.13333	-113
2.14167	-114
2.15000	-114
2.15833	-115
2.16667	-115
2.17500	-115
2.18333	-115
2.19167	-115
2.20000	-115
2.20833	-115
2.21667	-115
2.22500	-115
2.23333	-115
2.24167	-116
2.25000	-116
2.25833	-116
2.26667	-116
2.27500	-116
2.28333	-115
2.29167	-115
2.30000	-114
2.30833	-113
2.31667	-112
2.32500	-111
2.33333	-110
2.34167	-109
2.35000	-108
2.35833	-107
2.36667	-105
2.37500	-103
2.38333	-101
2.39167	-99
2.40000	-98
2.40833	-96
2.41667	-94
2.42500	-92
2.43333	-89
2.44167	-87
2.45000	-85
2.45833	-83
2.46667	-80
2.47500	-78
2.48333	-75
2.49167	-72
2.50000	-69
2.50833	-66
2.51667	-62
2.52500	-58
2.53333	-54
2.54167	-49
