R.Time (min)	Intensity
0.00000	-18
0.00833	-18
0.01667	0
0.02500	0
0.03333	0
0.04167	-0
0.05000	-1
0.05833	-1
0.06667	-2
0.07500	-2
0.08333	-2
0.09167	-2
0.10000	-1
0.10833	-1
0.11667	-1
0.12500	-0
0.13333	-0
0.14167	-0
0.15000	0
0.15833	0
0.16667	0
0.17500	0
0.18333	0
0.19167	0
0.20000	1
0.20833	1
0.21667	1
0.22500	1
0.23333	1
0.24167	1
0.25000	1
0.25833	1
0.26667	1
0.27500	1
0.28333	1
0.29167	1
0.30000	1
0.30833	1
0.31667	1
0.32500	0
0.33333	0
0.34167	0
0.35000	0
0.35833	0
0.36667	1
0.37500	1
0.38333	1
0.39167	1
0.40000	1
0.40833	1
0.41667	1
0.42500	0
0.43333	0
0.44167	0
0.45000	-0
0.45833	-1
0.46667	-0
0.47500	0
0.48333	1
0.49167	1
0.50000	1
0.50833	1
0.51667	0
0.52500	0
0.53333	0
0.54167	-0
0.55000	-0
0.55833	-0
0.56667	0
0.57500	0
0.58333	0
0.59167	0
0.60000	-0
0.60833	-0
0.61667	-1
0.62500	-1
0.63333	-1
0.64167	-1
0.65000	-1
0.65833	-1
0.66667	-1
0.67500	-1
0.68333	-1
0.69167	-1
0.70000	-0
0.70833	-0
0.71667	-1
0.72500	-1
0.73333	-1
0.74167	-1
0.75000	-1
0.75833	-1
0.76667	-1
0.77500	-1
0.78333	-1
0.79167	-1
0.80000	-1
0.80833	-1
0.81667	-1
0.82500	-1
0.83333	-1
0.84167	-1
0.85000	-1
0.85833	-2
0.86667	-3
0.87500	-3
0.88333	-3
0.89167	-3
0.90000	-4
0.90833	-4
0.91667	-4
0.92500	-5
0.93333	-5
0.94167	-5
0.95000	-5
0.95833	-6
0.96667	-6
0.97500	-6
0.98333	-6
0.99167	-7
1.00000	-7
1.00833	-7
1.01667	-7
1.02500	-8
1.03333	-9
1.04167	-9
1.05000	-9
1.05833	-9
1.06667	-9
1.07500	-10
1.08333	-10
1.09167	-10
1.10000	-10
1.10833	-9
1.11667	-9
1.12500	-9
1.13333	-9
1.14167	-9
1.15000	-9
1.15833	-10
1.16667	-10
1.17500	-10
1.18333	-10
1.19167	-10
1.20000	-10
1.20833	-10
1.21667	-10
1.22500	-10
1.23333	-10
1.24167	-10
1.25000	-10
1.25833	-10
1.26667	-10
1.27500	-10
1.28333	-10
1.29167	-10
1.30000	-10
1.30833	-10
1.31667	-10
1.32500	-10
1.33333	-9
1.34167	-9
1.35000	-9
1.35833	-9
1.36667	-9
1.37500	-9
1.38333	-8
1.39167	-8
1.40000	-8
1.40833	-7
1.41667	-7
1.42500	-7
1.43333	-7
1.44167	-7
1.45000	-7
1.45833	-6
1.46667	-6
1.47500	-6
1.48333	-5
1.49167	-5
1.50000	-5
1.50833	-5
1.51667	-5
1.52500	-5
1.53333	-5
