R.Time (min)	Intensity
0.00000	5
0.00833	5
0.01667	0
0.02500	0
0.03333	0
0.04167	0
0.05000	0
0.05833	-0
0.06667	-1
0.07500	-1
0.08333	-1
0.09167	-1
0.10000	-1
0.10833	-1
0.11667	-1
0.12500	-1
0.13333	-0
0.14167	0
0.15000	1
0.15833	1
0.16667	1
0.17500	2
0.18333	2
0.19167	2
0.20000	2
0.20833	3
0.21667	2
0.22500	2
0.23333	3
0.24167	3
0.25000	3
0.25833	4
0.26667	4
0.27500	4
0.28333	4
0.29167	4
0.30000	3
0.30833	3
0.31667	4
0.32500	4
0.33333	4
0.34167	4
0.35000	4
0.35833	4
0.36667	4
0.37500	5
0.38333	5
0.39167	5
0.40000	6
0.40833	6
0.41667	6
0.42500	5
0.43333	5
0.44167	5
0.45000	6
0.45833	6
0.46667	6
0.47500	6
0.48333	6
0.49167	6
0.50000	6
0.50833	6
0.51667	6
0.52500	6
0.53333	6
0.54167	6
0.55000	6
0.55833	7
0.56667	6
0.57500	6
0.58333	6
0.59167	6
0.60000	6
0.60833	6
0.61667	7
0.62500	7
0.63333	7
0.64167	7
0.65000	7
0.65833	7
0.66667	7
0.67500	8
0.68333	8
0.69167	8
0.70000	8
0.70833	8
0.71667	8
0.72500	8
0.73333	8
0.74167	8
0.75000	8
0.75833	8
0.76667	8
0.77500	8
0.78333	9
0.79167	9
0.80000	9
0.80833	9
0.81667	10
0.82500	10
0.83333	10
0.84167	10
0.85000	10
0.85833	10
0.86667	10
0.87500	10
0.88333	11
0.89167	11
0.90000	11
0.90833	12
0.91667	12
0.92500	12
0.93333	12
0.94167	13
0.95000	13
0.95833	13
0.96667	13
0.97500	13
0.98333	13
0.99167	13
1.00000	13
1.00833	13
1.01667	13
1.02500	12
1.03333	12
1.04167	13
1.05000	13
1.05833	13
1.06667	13
1.07500	14
1.08333	14
1.09167	14
1.10000	13
1.10833	13
1.11667	12
1.12500	12
1.13333	12
1.14167	11
1.15000	12
1.15833	12
1.16667	12
1.17500	12
1.18333	12
1.19167	12
1.20000	12
1.20833	12
1.21667	12
1.22500	12
1.23333	12
1.24167	12
1.25000	12
1.25833	12
1.26667	12
1.27500	12
1.28333	12
1.29167	12
1.30000	12
1.30833	12
1.31667	12
1.32500	12
1.33333	12
1.34167	12
1.35000	12
1.35833	12
1.36667	12
1.37500	11
1.38333	11
1.39167	11
1.40000	11
1.40833	11
1.41667	11
1.42500	11
1.43333	10
1.44167	10
1.45000	10
1.45833	10
1.46667	10
1.47500	10
1.48333	11
1.49167	11
1.50000	11
1.50833	11
1.51667	11
1.52500	11
1.53333	11
1.54167	10
1.55000	10
1.55833	11
1.56667	11
1.57500	11
1.58333	11
1.59167	11
1.60000	12
1.60833	12
1.61667	12
1.62500	11
1.63333	11
1.64167	11
1.65000	12
1.65833	12
1.66667	12
1.67500	12
1.68333	12
1.69167	13
1.70000	13
1.70833	13
1.71667	13
1.72500	14
1.73333	14
1.74167	14
1.75000	14
1.75833	14
1.76667	13
1.77500	13
1.78333	13
1.79167	13
1.80000	13
1.80833	13
1.81667	13
1.82500	13
1.83333	13
1.84167	13
1.85000	13
1.85833	13
1.86667	13
1.87500	13
1.88333	13
1.89167	12
1.90000	12
1.90833	12
1.91667	12
1.92500	13
1.93333	13
1.94167	13
1.95000	13
1.95833	13
1.96667	13
1.97500	12
1.98333	12
1.99167	12
2.00000	12
2.00833	12
2.01667	12
2.02500	11
2.03333	11
2.04167	10
2.05000	10
2.05833	10
2.06667	10
2.07500	10
2.08333	10
2.09167	10
2.10000	10
2.10833	10
2.11667	10
2.12500	10
2.13333	10
2.14167	10
2.15000	10
2.15833	10
2.16667	9
2.17500	9
2.18333	9
2.19167	9
2.20000	9
2.20833	9
2.21667	9
2.22500	9
2.23333	9
2.24167	9
2.25000	9
2.25833	8
2.26667	8
2.27500	8
2.28333	8
2.29167	8
2.30000	8
2.30833	9
2.31667	9
2.32500	9
2.33333	8
2.34167	8
2.35000	8
2.35833	7
2.36667	7
2.37500	7
2.38333	7
2.39167	7
2.40000	7
2.40833	7
2.41667	6
2.42500	6
2.43333	6
2.44167	7
2.45000	7
2.45833	7
2.46667	7
2.47500	8
2.48333	8
2.49167	8
2.50000	8
2.50833	8
2.51667	9
2.52500	9
2.53333	9
2.54167	9
2.55000	9
2.55833	9
2.56667	8
2.57500	8
2.58333	8
2.59167	8
2.60000	8
2.60833	8
2.61667	8
2.62500	7
2.63333	7
2.64167	8
2.65000	8
2.65833	8
2.66667	8
2.67500	8
2.68333	7
2.69167	7
2.70000	7
2.70833	7
2.71667	7
2.72500	7
2.73333	7
2.74167	7
2.75000	7
2.75833	6
2.76667	6
2.77500	6
2.78333	5
2.79167	5
2.80000	5
2.80833	5
2.81667	5
2.82500	5
2.83333	5
2.84167	4
2.85000	4
2.85833	4
2.86667	3
2.87500	3
2.88333	3
2.89167	2
2.90000	2
2.90833	2
2.91667	2
2.92500	2
2.93333	2
2.94167	2
2.95000	2
2.95833	2
2.96667	2
2.97500	2
2.98333	1
2.99167	1
3.00000	1
3.00833	0
3.01667	0
3.02500	0
3.03333	0
3.04167	0
3.05000	1
3.05833	1
3.06667	1
3.07500	1
3.08333	1
3.09167	1
3.10000	1
3.10833	1
3.11667	1
3.12500	2
3.13333	2
3.14167	2
3.15000	2
3.15833	2
3.16667	2
3.17500	2
3.18333	2
3.19167	3
3.20000	3
3.20833	3
3.21667	3
3.22500	3
3.23333	3
3.24167	3
3.25000	3
3.25833	3
3.26667	4
3.27500	4
3.28333	4
3.29167	4
3.30000	4
3.30833	4
