"Compound"	"Slope"	"Y.Intercept"	"Peak.start"	"Peak.end"	"my.detector"
"Acetate"	0.0380128056524507	-0.250083663609139	17.7	18.9	"RID-10A"
"Acetate"	0.0346170358077426	-0.460913604586364	17.7	18.6	"SPD-20A 210nm"
"Ethanol"	0.0460501451678655	-0.24148054407734	26.1	27.7	"RID-10A"
"Lactate"	0.0173976170797466	-0.583185446852075	15.1	16.1	"RID-10A"
"Lactate"	0.0174015152930891	-0.664942269462593	14.9	15.8	"SPD-20A 210nm"
"Formate"	0.0690214893965399	-0.259517432083086	16.4	17.4	"RID-10A"
"Formate"	0.0280138288360958	-0.403419307870766	16.2	17.3	"SPD-20A 210nm"
"Glucose"	0.388883433928373	3.01086079797903	10.7	11.7	"RID-10A"
"Butyrate"	0.031861370823787	-0.437116723228235	24.5	26.5	"RID-10A"
"Butanol"	0.0228136400952783	0.0145133614693306	43.8	46	"RID-10A"
"Acetone"	0.0759465311482499	-0.290558491532743	25.5	27	"RID-10A"
