"Sample"	"Compound"	"Concentation_mM"
"B1"	"Acetate"	18.5901613723854
"B1"	"Ethanol"	14.7885933562119
"B1"	"Lactate"	3.02369817668594
"B1"	"Glucose"	1.58784004049139
"B1"	"Cellobiose"	2.89316820953106
"B2"	"Acetate"	16.7934363779065
"B2"	"Ethanol"	18.090405459303
"B2"	"Lactate"	3.5252501832447
"B2"	"Glucose"	1.57178399622899
"B2"	"Cellobiose"	3.07857633416929
"B3"	"Acetate"	16.0831118145176
"B3"	"Ethanol"	19.6152696077466
"B3"	"Lactate"	3.61571169692574
"B3"	"Glucose"	1.54901286827715
"B3"	"Cellobiose"	3.01046361496362
"D1"	"Acetate"	21.0641892839725
"D1"	"Ethanol"	25.5190133479026
"D1"	"Lactate"	2.88128778086959
"D1"	"Glucose"	1.6029338568274
"D1"	"Cellobiose"	2.89601361946098
"E3"	"Acetate"	19.7692927669566
"E3"	"Ethanol"	31.0820298633607
"E3"	"Lactate"	3.88330763537256
"E3"	"Glucose"	1.73475465985963
"E3"	"Cellobiose"	2.82403755671066
