"Compound"	"target.method"	"myslope"	"yint"	"peak.start"	"peak.end"
"Acetate"	"LabSolutions"	0.011743284499275	1.02267725798424	17.75	18.6
"Acetate"	"ChromConverter"	0.0117307633588444	1.0010769884053	17.75	18.6
"Ethanol"	"LabSolutions"	0.0177361683618656	5.77661244884902	25.75	27.25
"Ethanol"	"ChromConverter"	0.0177282867900267	5.71900462126717	25.75	27.25
"Lactate"	"LabSolutions"	0.00721521771958257	1.8254247609712	14.75	15.6
"Lactate"	"ChromConverter"	0.00717641193624218	1.81772200222589	14.75	15.6
"Glucose"	"LabSolutions"	0.0017906412334162	1.13285641238695	10.5	11.5
"Glucose"	"ChromConverter"	0.00178978876234492	1.1300380725971	10.5	11.5
"Cellobiose"	"LabSolutions"	0.00202537578292226	1.12425505788924	8.5	9.5
"Cellobiose"	"ChromConverter"	0.00202452150517051	1.12068903018376	8.5	9.5
