R.Time (min)	Intensity
0.00000	-16
0.00833	-16
0.01667	-11
0.02500	0
0.03333	0
0.04167	0
0.05000	0
0.05833	-0
0.06667	-1
0.07500	-1
0.08333	-1
0.09167	-1
0.10000	-1
0.10833	-1
0.11667	-1
0.12500	-0
0.13333	-0
0.14167	-0
0.15000	0
0.15833	1
0.16667	1
0.17500	1
0.18333	1
0.19167	1
0.20000	1
0.20833	1
0.21667	1
0.22500	1
0.23333	1
0.24167	2
0.25000	2
0.25833	2
0.26667	2
0.27500	2
0.28333	2
0.29167	2
0.30000	2
0.30833	2
0.31667	1
0.32500	1
0.33333	0
0.34167	0
0.35000	-0
0.35833	-0
0.36667	-0
0.37500	-1
0.38333	-1
0.39167	-1
0.40000	-1
0.40833	-2
0.41667	-2
0.42500	-1
0.43333	-1
0.44167	-1
0.45000	-2
0.45833	-2
0.46667	-2
0.47500	-2
0.48333	-3
0.49167	-3
0.50000	-4
0.50833	-4
0.51667	-5
0.52500	-5
0.53333	-5
0.54167	-5
0.55000	-5
0.55833	-5
0.56667	-5
0.57500	-5
0.58333	-5
0.59167	-5
0.60000	-5
0.60833	-5
0.61667	-5
0.62500	-5
0.63333	-6
0.64167	-6
0.65000	-6
0.65833	-6
0.66667	-6
0.67500	-6
0.68333	-6
0.69167	-6
0.70000	-6
0.70833	-6
0.71667	-7
0.72500	-7
0.73333	-7
0.74167	-6
0.75000	-6
0.75833	-6
0.76667	-6
0.77500	-6
0.78333	-6
0.79167	-6
0.80000	-6
0.80833	-6
0.81667	-6
0.82500	-6
0.83333	-6
0.84167	-6
0.85000	-7
0.85833	-7
0.86667	-7
0.87500	-7
0.88333	-7
0.89167	-7
0.90000	-7
0.90833	-7
0.91667	-7
0.92500	-8
0.93333	-8
0.94167	-9
0.95000	-9
0.95833	-9
0.96667	-9
0.97500	-9
0.98333	-9
0.99167	-9
1.00000	-9
1.00833	-10
1.01667	-10
1.02500	-10
1.03333	-11
1.04167	-11
1.05000	-11
1.05833	-11
1.06667	-11
1.07500	-11
1.08333	-12
1.09167	-12
1.10000	-12
1.10833	-11
1.11667	-11
1.12500	-11
1.13333	-12
1.14167	-12
1.15000	-12
1.15833	-12
1.16667	-12
1.17500	-12
1.18333	-13
1.19167	-13
1.20000	-13
1.20833	-14
1.21667	-14
1.22500	-14
1.23333	-14
1.24167	-14
1.25000	-14
1.25833	-15
1.26667	-14
1.27500	-14
1.28333	-14
1.29167	-14
1.30000	-14
1.30833	-15
1.31667	-15
1.32500	-15
1.33333	-16
1.34167	-16
1.35000	-16
1.35833	-16
1.36667	-16
1.37500	-16
1.38333	-16
1.39167	-16
1.40000	-16
1.40833	-16
1.41667	-17
1.42500	-17
1.43333	-16
1.44167	-16
1.45000	-16
1.45833	-16
1.46667	-16
1.47500	-16
1.48333	-16
1.49167	-16
1.50000	-15
1.50833	-15
1.51667	-14
1.52500	-14
1.53333	-15
1.54167	-15
1.55000	-15
1.55833	-15
1.56667	-15
1.57500	-15
1.58333	-15
1.59167	-15
1.60000	-15
1.60833	-15
1.61667	-15
1.62500	-15
1.63333	-14
1.64167	-14
1.65000	-14
1.65833	-14
1.66667	-14
1.67500	-15
1.68333	-15
