R.Time (min)	Intensity
0.00000	-19
0.00833	-19
0.01667	-0
0.02500	-1
0.03333	-1
0.04167	-1
0.05000	-2
0.05833	-3
0.06667	-4
0.07500	-5
0.08333	-5
0.09167	-5
0.10000	-5
0.10833	-5
0.11667	-5
0.12500	-5
0.13333	-6
0.14167	-6
0.15000	-7
0.15833	-7
0.16667	-8
0.17500	-9
0.18333	-10
0.19167	-11
0.20000	-11
0.20833	-12
0.21667	-12
0.22500	-13
0.23333	-13
0.24167	-13
0.25000	-14
0.25833	-14
0.26667	-14
0.27500	-15
0.28333	-16
0.29167	-17
0.30000	-17
0.30833	-18
0.31667	-18
0.32500	-19
0.33333	-20
0.34167	-20
0.35000	-21
0.35833	-21
0.36667	-22
0.37500	-23
0.38333	-23
0.39167	-24
0.40000	-25
0.40833	-25
0.41667	-26
0.42500	-27
0.43333	-27
0.44167	-28
0.45000	-28
0.45833	-28
0.46667	-29
0.47500	-29
0.48333	-30
0.49167	-30
0.50000	-30
0.50833	-31
0.51667	-31
0.52500	-32
0.53333	-32
0.54167	-32
0.55000	-33
0.55833	-34
0.56667	-34
0.57500	-35
0.58333	-36
0.59167	-36
0.60000	-37
0.60833	-37
0.61667	-38
0.62500	-38
0.63333	-38
0.64167	-38
0.65000	-39
0.65833	-39
0.66667	-39
0.67500	-40
0.68333	-40
0.69167	-41
0.70000	-41
0.70833	-42
0.71667	-43
0.72500	-43
0.73333	-43
0.74167	-44
0.75000	-44
0.75833	-44
0.76667	-45
0.77500	-45
0.78333	-46
0.79167	-46
0.80000	-47
0.80833	-48
0.81667	-48
0.82500	-48
0.83333	-49
0.84167	-50
0.85000	-51
0.85833	-51
0.86667	-52
0.87500	-52
0.88333	-52
0.89167	-53
0.90000	-53
0.90833	-54
0.91667	-55
0.92500	-56
0.93333	-57
0.94167	-58
0.95000	-59
0.95833	-60
0.96667	-60
0.97500	-60
0.98333	-61
0.99167	-61
1.00000	-61
1.00833	-62
1.01667	-62
1.02500	-63
1.03333	-63
1.04167	-64
1.05000	-64
1.05833	-65
1.06667	-65
1.07500	-66
1.08333	-67
1.09167	-67
1.10000	-68
1.10833	-68
1.11667	-68
1.12500	-69
1.13333	-69
1.14167	-69
1.15000	-69
1.15833	-69
1.16667	-69
1.17500	-69
1.18333	-70
1.19167	-70
1.20000	-70
1.20833	-71
1.21667	-71
1.22500	-71
1.23333	-71
1.24167	-71
1.25000	-72
1.25833	-72
1.26667	-72
1.27500	-72
