R.Time (min)	Intensity
0.00000	-39
0.00833	-39
0.01667	-25
0.02500	-0
0.03333	-1
0.04167	-2
0.05000	-3
0.05833	-4
0.06667	-4
0.07500	-4
0.08333	-4
0.09167	-4
0.10000	-4
0.10833	-3
0.11667	-4
0.12500	-4
0.13333	-5
0.14167	-5
0.15000	-5
0.15833	-5
0.16667	-6
0.17500	-6
0.18333	-7
0.19167	-8
0.20000	-8
0.20833	-8
0.21667	-9
0.22500	-9
0.23333	-9
0.24167	-9
0.25000	-10
0.25833	-10
0.26667	-11
0.27500	-12
0.28333	-12
0.29167	-12
0.30000	-13
0.30833	-13
0.31667	-14
0.32500	-15
0.33333	-15
0.34167	-16
0.35000	-16
0.35833	-17
0.36667	-18
0.37500	-19
0.38333	-19
0.39167	-20
0.40000	-20
0.40833	-20
0.41667	-21
0.42500	-21
0.43333	-22
0.44167	-23
0.45000	-23
0.45833	-24
0.46667	-25
0.47500	-26
0.48333	-26
0.49167	-27
0.50000	-29
0.50833	-29
0.51667	-30
0.52500	-31
0.53333	-32
0.54167	-32
0.55000	-32
0.55833	-33
0.56667	-33
0.57500	-34
0.58333	-34
0.59167	-34
0.60000	-34
0.60833	-35
0.61667	-36
0.62500	-36
0.63333	-37
0.64167	-37
0.65000	-37
0.65833	-38
0.66667	-38
0.67500	-38
0.68333	-39
0.69167	-40
0.70000	-40
0.70833	-40
0.71667	-41
0.72500	-41
0.73333	-41
0.74167	-41
0.75000	-42
0.75833	-42
0.76667	-42
0.77500	-42
0.78333	-42
0.79167	-42
0.80000	-43
0.80833	-43
0.81667	-44
0.82500	-44
0.83333	-45
0.84167	-45
0.85000	-45
0.85833	-45
0.86667	-45
0.87500	-46
0.88333	-46
0.89167	-47
0.90000	-48
0.90833	-48
0.91667	-49
0.92500	-49
0.93333	-49
0.94167	-49
0.95000	-50
0.95833	-50
0.96667	-50
0.97500	-51
0.98333	-51
0.99167	-52
1.00000	-52
1.00833	-53
1.01667	-53
1.02500	-54
1.03333	-54
1.04167	-55
1.05000	-55
1.05833	-56
1.06667	-56
1.07500	-57
1.08333	-58
1.09167	-58
1.10000	-59
1.10833	-60
1.11667	-60
1.12500	-61
1.13333	-61
1.14167	-62
1.15000	-62
1.15833	-63
1.16667	-63
1.17500	-64
1.18333	-65
1.19167	-65
1.20000	-66
1.20833	-66
1.21667	-67
1.22500	-68
1.23333	-68
1.24167	-68
1.25000	-68
1.25833	-69
1.26667	-70
1.27500	-70
1.28333	-70
1.29167	-71
1.30000	-71
1.30833	-71
1.31667	-71
1.32500	-72
1.33333	-72
1.34167	-72
1.35000	-73
1.35833	-73
1.36667	-73
1.37500	-73
1.38333	-73
1.39167	-73
1.40000	-73
1.40833	-74
1.41667	-74
1.42500	-75
1.43333	-75
1.44167	-75
1.45000	-74
1.45833	-74
1.46667	-74
1.47500	-73
1.48333	-73
1.49167	-73
1.50000	-73
1.50833	-73
1.51667	-74
1.52500	-74
1.53333	-74
1.54167	-74
1.55000	-75
1.55833	-75
1.56667	-75
1.57500	-75
1.58333	-75
1.59167	-75
1.60000	-75
1.60833	-76
1.61667	-76
1.62500	-77
1.63333	-77
1.64167	-78
1.65000	-78
1.65833	-79
1.66667	-79
1.67500	-79
1.68333	-80
1.69167	-80
1.70000	-81
1.70833	-81
1.71667	-81
1.72500	-82
1.73333	-82
1.74167	-83
1.75000	-83
1.75833	-84
1.76667	-84
1.77500	-85
1.78333	-85
1.79167	-86
1.80000	-86
1.80833	-86
1.81667	-86
1.82500	-87
1.83333	-87
1.84167	-88
1.85000	-88
1.85833	-88
1.86667	-88
1.87500	-89
1.88333	-89
1.89167	-89
1.90000	-89
1.90833	-89
1.91667	-88
1.92500	-88
1.93333	-88
1.94167	-88
1.95000	-88
1.95833	-89
1.96667	-89
1.97500	-90
1.98333	-90
1.99167	-90
2.00000	-90
2.00833	-91
2.01667	-91
2.02500	-91
2.03333	-90
2.04167	-90
2.05000	-89
2.05833	-89
2.06667	-89
2.07500	-89
2.08333	-89
2.09167	-88
2.10000	-88
2.10833	-88
2.11667	-88
2.12500	-87
2.13333	-87
2.14167	-86
2.15000	-86
2.15833	-86
2.16667	-85
2.17500	-85
2.18333	-85
2.19167	-83
2.20000	-82
2.20833	-81
2.21667	-80
2.22500	-79
2.23333	-77
2.24167	-76
2.25000	-76
2.25833	-75
2.26667	-74
2.27500	-73
2.28333	-71
2.29167	-69
2.30000	-67
2.30833	-65
2.31667	-63
2.32500	-60
2.33333	-58
2.34167	-55
2.35000	-52
2.35833	-49
2.36667	-46
2.37500	-43
2.38333	-40
2.39167	-36
2.40000	-32
2.40833	-28
2.41667	-24
2.42500	-19
2.43333	-14
2.44167	-9
2.45000	-3
2.45833	3
2.46667	9
2.47500	16
2.48333	23
2.49167	30
2.50000	38
2.50833	46
2.51667	55
2.52500	64
2.53333	74
2.54167	85
2.55000	96
2.55833	107
2.56667	120
2.57500	133
2.58333	147
2.59167	161
2.60000	176
2.60833	192
2.61667	209
2.62500	227
2.63333	246
2.64167	265
2.65000	285
2.65833	306
2.66667	329
2.67500	353
2.68333	378
2.69167	405
2.70000	433
2.70833	463
2.71667	494
2.72500	527
2.73333	562
2.74167	598
2.75000	635
2.75833	675
2.76667	717
2.77500	762
2.78333	809
2.79167	857
2.80000	909
2.80833	963
2.81667	1020
2.82500	1080
2.83333	1143
2.84167	1209
2.85000	1278
2.85833	1351
2.86667	1428
2.87500	1508
2.88333	1593
2.89167	1681
2.90000	1774
2.90833	1872
2.91667	1974
2.92500	2080
2.93333	2191
2.94167	2307
2.95000	2428
2.95833	2555
2.96667	2686
2.97500	2823
2.98333	2964
2.99167	3111
3.00000	3263
3.00833	3420
3.01667	3582
3.02500	3749
3.03333	3920
3.04167	4096
3.05000	4277
3.05833	4461
3.06667	4649
3.07500	4841
3.08333	5036
3.09167	5233
3.10000	5433
3.10833	5635
3.11667	5838
3.12500	6041
3.13333	6245
3.14167	6448
3.15000	6650
3.15833	6850
3.16667	7048
3.17500	7242
3.18333	7433
3.19167	7620
3.20000	7801
3.20833	7976
3.21667	8145
3.22500	8306
3.23333	8460
3.24167	8605
3.25000	8742
3.25833	8868
3.26667	8985
3.27500	9091
3.28333	9185
3.29167	9269
3.30000	9340
3.30833	9399
3.31667	9446
3.32500	9480
3.33333	9501
3.34167	9510
3.35000	9506
3.35833	9489
3.36667	9459
3.37500	9417
