R.Time (min)	Intensity
0.00000	-27
0.00833	-27
0.01667	-1
0.02500	-2
0.03333	-3
0.04167	-4
0.05000	-5
0.05833	-6
0.06667	-7
0.07500	-8
0.08333	-9
0.09167	-9
0.10000	-10
0.10833	-10
0.11667	-10
0.12500	-10
0.13333	-11
0.14167	-11
0.15000	-12
0.15833	-13
0.16667	-13
0.17500	-14
0.18333	-14
0.19167	-15
0.20000	-16
0.20833	-16
0.21667	-16
0.22500	-17
0.23333	-18
0.24167	-18
0.25000	-19
0.25833	-20
0.26667	-20
0.27500	-20
0.28333	-21
0.29167	-21
0.30000	-21
0.30833	-22
0.31667	-22
0.32500	-23
0.33333	-23
0.34167	-24
0.35000	-24
0.35833	-24
0.36667	-25
0.37500	-26
0.38333	-27
0.39167	-27
0.40000	-28
0.40833	-28
0.41667	-28
0.42500	-28
0.43333	-29
0.44167	-29
0.45000	-29
0.45833	-30
0.46667	-31
0.47500	-32
0.48333	-33
0.49167	-33
0.50000	-34
0.50833	-34
0.51667	-35
0.52500	-36
0.53333	-36
0.54167	-37
0.55000	-38
0.55833	-38
0.56667	-39
0.57500	-39
0.58333	-39
0.59167	-40
0.60000	-40
0.60833	-40
0.61667	-41
0.62500	-42
0.63333	-42
0.64167	-42
0.65000	-42
0.65833	-42
0.66667	-42
0.67500	-43
0.68333	-43
0.69167	-44
0.70000	-45
0.70833	-45
0.71667	-45
0.72500	-46
0.73333	-46
0.74167	-46
0.75000	-46
0.75833	-46
0.76667	-47
0.77500	-48
0.78333	-49
0.79167	-49
0.80000	-49
0.80833	-49
0.81667	-49
0.82500	-50
0.83333	-50
0.84167	-50
0.85000	-50
0.85833	-51
0.86667	-52
0.87500	-52
0.88333	-53
0.89167	-54
0.90000	-54
0.90833	-55
0.91667	-55
0.92500	-56
0.93333	-57
0.94167	-57
0.95000	-58
0.95833	-58
0.96667	-59
0.97500	-59
0.98333	-59
0.99167	-60
1.00000	-61
1.00833	-61
1.01667	-62
1.02500	-62
1.03333	-63
1.04167	-63
1.05000	-64
1.05833	-64
1.06667	-64
1.07500	-65
1.08333	-65
1.09167	-65
1.10000	-66
1.10833	-67
1.11667	-67
1.12500	-68
1.13333	-68
1.14167	-68
1.15000	-69
1.15833	-70
1.16667	-70
1.17500	-71
1.18333	-71
1.19167	-72
1.20000	-72
1.20833	-73
1.21667	-73
1.22500	-73
1.23333	-73
1.24167	-74
1.25000	-75
1.25833	-75
1.26667	-76
1.27500	-76
1.28333	-76
1.29167	-76
1.30000	-77
1.30833	-77
1.31667	-78
1.32500	-78
1.33333	-79
1.34167	-79
1.35000	-80
1.35833	-80
1.36667	-80
1.37500	-81
1.38333	-81
1.39167	-82
1.40000	-83
1.40833	-83
1.41667	-83
1.42500	-83
1.43333	-83
1.44167	-84
1.45000	-84
1.45833	-85
1.46667	-85
1.47500	-86
1.48333	-86
1.49167	-86
1.50000	-86
1.50833	-87
1.51667	-87
1.52500	-87
1.53333	-87
1.54167	-87
1.55000	-87
1.55833	-88
1.56667	-88
1.57500	-88
1.58333	-88
1.59167	-88
1.60000	-89
1.60833	-89
1.61667	-90
1.62500	-90
1.63333	-91
1.64167	-91
1.65000	-91
1.65833	-91
1.66667	-91
1.67500	-91
1.68333	-91
1.69167	-91
1.70000	-91
1.70833	-91
1.71667	-92
1.72500	-92
1.73333	-92
1.74167	-92
1.75000	-92
1.75833	-92
1.76667	-92
1.77500	-93
1.78333	-93
1.79167	-94
1.80000	-94
1.80833	-95
1.81667	-95
1.82500	-95
1.83333	-96
1.84167	-96
1.85000	-97
1.85833	-97
1.86667	-97
1.87500	-97
1.88333	-97
1.89167	-97
1.90000	-98
1.90833	-98
1.91667	-99
1.92500	-99
1.93333	-99
1.94167	-99
1.95000	-99
1.95833	-100
1.96667	-100
1.97500	-100
1.98333	-100
1.99167	-100
2.00000	-100
2.00833	-100
2.01667	-100
2.02500	-100
2.03333	-101
2.04167	-101
2.05000	-102
2.05833	-102
2.06667	-102
2.07500	-102
2.08333	-103
2.09167	-103
2.10000	-102
2.10833	-102
2.11667	-102
2.12500	-102
2.13333	-102
2.14167	-102
2.15000	-101
2.15833	-101
2.16667	-100
2.17500	-100
2.18333	-100
2.19167	-99
2.20000	-98
2.20833	-97
2.21667	-96
2.22500	-96
2.23333	-96
2.24167	-95
2.25000	-93
2.25833	-93
2.26667	-92
2.27500	-91
2.28333	-90
2.29167	-89
2.30000	-87
2.30833	-85
2.31667	-83
2.32500	-81
2.33333	-79
2.34167	-76
2.35000	-73
2.35833	-71
2.36667	-68
2.37500	-65
2.38333	-62
2.39167	-58
2.40000	-54
2.40833	-50
2.41667	-46
2.42500	-41
2.43333	-36
2.44167	-31
2.45000	-26
2.45833	-21
2.46667	-15
2.47500	-9
2.48333	-2
2.49167	5
2.50000	12
2.50833	20
2.51667	28
2.52500	37
2.53333	47
2.54167	57
2.55000	67
2.55833	78
2.56667	89
2.57500	102
2.58333	114
2.59167	128
2.60000	143
2.60833	158
2.61667	174
2.62500	191
2.63333	209
2.64167	228
2.65000	248
2.65833	269
2.66667	291
2.67500	314
2.68333	338
2.69167	364
2.70000	391
2.70833	419
2.71667	449
2.72500	480
2.73333	513
2.74167	547
2.75000	584
2.75833	622
2.76667	663
2.77500	705
2.78333	750
2.79167	798
2.80000	847
2.80833	900
2.81667	955
2.82500	1012
2.83333	1073
2.84167	1137
2.85000	1204
2.85833	1275
2.86667	1349
2.87500	1427
2.88333	1509
2.89167	1595
2.90000	1685
2.90833	1779
2.91667	1878
2.92500	1981
2.93333	2089
2.94167	2202
2.95000	2320
2.95833	2443
2.96667	2571
2.97500	2704
2.98333	2842
2.99167	2986
3.00000	3135
3.00833	3289
3.01667	3448
3.02500	3612
3.03333	3782
3.04167	3956
3.05000	4135
3.05833	4319
3.06667	4506
3.07500	4697
3.08333	4892
3.09167	5090
3.10000	5291
3.10833	5494
3.11667	5700
3.12500	5906
3.13333	6114
3.14167	6321
3.15000	6528
