R.Time (min)	Intensity
0.00000	-44
0.00833	-44
0.01667	-1
0.02500	-1
0.03333	-2
0.04167	-3
0.05000	-4
0.05833	-4
0.06667	-5
0.07500	-6
0.08333	-7
0.09167	-7
0.10000	-8
0.10833	-8
0.11667	-9
0.12500	-9
0.13333	-9
0.14167	-10
0.15000	-10
0.15833	-11
0.16667	-12
0.17500	-12
0.18333	-13
0.19167	-14
0.20000	-15
0.20833	-15
0.21667	-16
0.22500	-16
0.23333	-17
0.24167	-18
0.25000	-19
0.25833	-19
0.26667	-20
0.27500	-20
0.28333	-21
0.29167	-21
0.30000	-22
0.30833	-23
0.31667	-23
0.32500	-24
0.33333	-24
0.34167	-25
0.35000	-26
0.35833	-26
0.36667	-27
0.37500	-27
0.38333	-28
0.39167	-29
0.40000	-30
0.40833	-31
0.41667	-31
0.42500	-32
0.43333	-32
0.44167	-33
0.45000	-34
0.45833	-34
0.46667	-35
0.47500	-36
0.48333	-37
0.49167	-38
0.50000	-38
0.50833	-39
0.51667	-40
0.52500	-41
0.53333	-41
0.54167	-42
0.55000	-42
0.55833	-43
0.56667	-43
0.57500	-44
0.58333	-45
0.59167	-45
0.60000	-46
0.60833	-47
0.61667	-47
0.62500	-47
0.63333	-48
0.64167	-48
0.65000	-49
0.65833	-50
0.66667	-50
0.67500	-51
0.68333	-52
0.69167	-52
0.70000	-52
0.70833	-53
0.71667	-53
0.72500	-53
0.73333	-53
0.74167	-54
0.75000	-54
0.75833	-55
0.76667	-55
0.77500	-56
0.78333	-57
0.79167	-57
0.80000	-57
0.80833	-58
0.81667	-58
0.82500	-58
0.83333	-58
0.84167	-59
0.85000	-60
0.85833	-60
0.86667	-60
0.87500	-61
0.88333	-61
0.89167	-62
0.90000	-63
0.90833	-63
0.91667	-64
0.92500	-64
0.93333	-65
0.94167	-66
0.95000	-66
0.95833	-67
0.96667	-67
0.97500	-68
0.98333	-69
0.99167	-69
1.00000	-70
1.00833	-70
1.01667	-70
1.02500	-71
1.03333	-72
1.04167	-72
1.05000	-73
1.05833	-74
1.06667	-74
1.07500	-75
1.08333	-76
1.09167	-76
1.10000	-76
1.10833	-76
1.11667	-77
1.12500	-77
1.13333	-77
1.14167	-78
1.15000	-78
1.15833	-79
1.16667	-79
1.17500	-80
1.18333	-81
1.19167	-81
1.20000	-82
1.20833	-82
1.21667	-83
1.22500	-83
1.23333	-84
1.24167	-85
1.25000	-85
1.25833	-86
1.26667	-86
1.27500	-87
1.28333	-87
1.29167	-88
1.30000	-89
1.30833	-89
1.31667	-89
1.32500	-90
1.33333	-90
1.34167	-90
1.35000	-90
1.35833	-90
1.36667	-91
1.37500	-91
1.38333	-91
1.39167	-91
1.40000	-92
1.40833	-92
1.41667	-92
1.42500	-93
1.43333	-93
1.44167	-94
1.45000	-94
1.45833	-94
1.46667	-94
1.47500	-94
1.48333	-95
1.49167	-95
1.50000	-95
1.50833	-95
1.51667	-96
1.52500	-96
1.53333	-97
1.54167	-97
1.55000	-97
1.55833	-97
1.56667	-97
1.57500	-97
1.58333	-97
1.59167	-97
1.60000	-97
1.60833	-97
1.61667	-98
1.62500	-98
1.63333	-99
1.64167	-100
1.65000	-100
1.65833	-101
1.66667	-101
1.67500	-102
1.68333	-102
1.69167	-103
1.70000	-103
1.70833	-103
1.71667	-103
1.72500	-103
1.73333	-104
1.74167	-104
1.75000	-105
1.75833	-106
1.76667	-106
1.77500	-106
1.78333	-107
1.79167	-107
1.80000	-107
1.80833	-108
1.81667	-108
1.82500	-108
1.83333	-108
1.84167	-108
1.85000	-108
1.85833	-108
1.86667	-109
1.87500	-109
1.88333	-110
1.89167	-110
1.90000	-111
1.90833	-111
1.91667	-111
1.92500	-112
1.93333	-112
1.94167	-112
1.95000	-113
1.95833	-113
1.96667	-114
1.97500	-114
1.98333	-114
1.99167	-114
2.00000	-114
2.00833	-115
2.01667	-115
2.02500	-115
2.03333	-115
2.04167	-116
2.05000	-116
2.05833	-116
2.06667	-117
2.07500	-117
2.08333	-117
2.09167	-117
2.10000	-117
2.10833	-116
2.11667	-116
2.12500	-116
2.13333	-116
2.14167	-116
2.15000	-116
2.15833	-116
2.16667	-115
2.17500	-115
2.18333	-115
2.19167	-115
2.20000	-115
2.20833	-114
2.21667	-114
2.22500	-115
2.23333	-114
2.24167	-114
2.25000	-114
2.25833	-113
2.26667	-113
2.27500	-113
2.28333	-112
2.29167	-111
2.30000	-110
2.30833	-109
2.31667	-109
2.32500	-108
2.33333	-108
2.34167	-106
2.35000	-105
2.35833	-104
2.36667	-102
2.37500	-100
2.38333	-98
2.39167	-97
2.40000	-95
2.40833	-93
2.41667	-91
2.42500	-89
2.43333	-87
2.44167	-85
2.45000	-82
2.45833	-79
2.46667	-76
2.47500	-73
2.48333	-70
2.49167	-66
2.50000	-63
2.50833	-59
2.51667	-55
2.52500	-51
2.53333	-46
2.54167	-41
2.55000	-36
2.55833	-30
2.56667	-24
2.57500	-18
2.58333	-12
2.59167	-5
2.60000	2
2.60833	9
2.61667	18
2.62500	26
2.63333	35
2.64167	44
2.65000	54
2.65833	65
2.66667	76
2.67500	88
2.68333	100
2.69167	113
2.70000	126
2.70833	140
2.71667	156
2.72500	172
2.73333	188
2.74167	206
2.75000	224
2.75833	244
2.76667	264
2.77500	284
2.78333	306
2.79167	330
2.80000	355
2.80833	381
2.81667	408
2.82500	437
2.83333	468
2.84167	500
2.85000	533
2.85833	568
2.86667	605
2.87500	644
2.88333	684
2.89167	727
2.90000	771
2.90833	817
2.91667	866
2.92500	917
2.93333	970
2.94167	1025
2.95000	1083
2.95833	1144
2.96667	1207
2.97500	1272
2.98333	1339
2.99167	1409
3.00000	1482
3.00833	1556
3.01667	1633
3.02500	1712
3.03333	1793
3.04167	1877
3.05000	1962
3.05833	2049
3.06667	2139
3.07500	2229
3.08333	2322
3.09167	2415
3.10000	2510
3.10833	2605
3.11667	2701
3.12500	2797
3.13333	2893
3.14167	2989
3.15000	3085
3.15833	3179
3.16667	3273
3.17500	3364
3.18333	3455
3.19167	3543
3.20000	3629
3.20833	3713
3.21667	3793
3.22500	3870
3.23333	3943
3.24167	4012
3.25000	4076
3.25833	4136
3.26667	4192
3.27500	4243
3.28333	4288
3.29167	4328
3.30000	4362
3.30833	4390
3.31667	4412
3.32500	4429
3.33333	4439
3.34167	4443
3.35000	4441
3.35833	4433
3.36667	4419
3.37500	4400
3.38333	4374
3.39167	4342
3.40000	4305
3.40833	4263
3.41667	4215
3.42500	4162
3.43333	4104
3.44167	4042
3.45000	3975
3.45833	3904
3.46667	3829
3.47500	3751
3.48333	3670
3.49167	3586
3.50000	3499
3.50833	3411
3.51667	3320
3.52500	3228
3.53333	3134
3.54167	3039
3.55000	2943
3.55833	2847
3.56667	2751
3.57500	2655
3.58333	2559
3.59167	2464
3.60000	2369
3.60833	2276
3.61667	2183
3.62500	2092
3.63333	2003
3.64167	1915
3.65000	1830
3.65833	1746
3.66667	1665
3.67500	1586
3.68333	1509
3.69167	1434
3.70000	1362
3.70833	1291
3.71667	1224
3.72500	1159
3.73333	1096
3.74167	1036
3.75000	979
3.75833	924
3.76667	872
3.77500	822
3.78333	774
3.79167	729
3.80000	685
3.80833	643
3.81667	604
3.82500	568
3.83333	533
3.84167	500
3.85000	469
3.85833	439
3.86667	411
3.87500	384
3.88333	360
3.89167	337
3.90000	315
3.90833	295
3.91667	276
3.92500	258
3.93333	241
3.94167	225
3.95000	210
3.95833	197
3.96667	184
3.97500	172
3.98333	161
3.99167	150
4.00000	140
4.00833	131
4.01667	122
4.02500	114
4.03333	106
4.04167	99
4.05000	92
4.05833	86
4.06667	79
4.07500	73
4.08333	67
4.09167	61
4.10000	56
4.10833	50
4.11667	45
4.12500	40
4.13333	35
4.14167	30
4.15000	25
4.15833	21
4.16667	16
4.17500	12
4.18333	7
4.19167	3
4.20000	-0
4.20833	-5
4.21667	-9
4.22500	-13
4.23333	-17
4.24167	-21
4.25000	-26
4.25833	-30
4.26667	-34
4.27500	-39
4.28333	-42
4.29167	-46
4.30000	-50
4.30833	-54
4.31667	-57
4.32500	-61
4.33333	-65
4.34167	-69
4.35000	-72
4.35833	-76
4.36667	-79
4.37500	-82
4.38333	-85
4.39167	-88
4.40000	-91
4.40833	-94
4.41667	-96
4.42500	-98
4.43333	-100
4.44167	-103
4.45000	-105
4.45833	-108
4.46667	-110
4.47500	-112
4.48333	-115
4.49167	-117
4.50000	-119
4.50833	-121
4.51667	-122
4.52500	-123
4.53333	-124
4.54167	-126
4.55000	-127
4.55833	-128
4.56667	-130
4.57500	-131
4.58333	-131
4.59167	-132
4.60000	-133
4.60833	-134
4.61667	-135
4.62500	-135
4.63333	-136
4.64167	-136
4.65000	-136
4.65833	-137
4.66667	-137
4.67500	-137
4.68333	-137
4.69167	-138
4.70000	-138
4.70833	-138
