R.Time (min)	Intensity
0.00000	-27
0.00833	-27
0.01667	-1
0.02500	-1
0.03333	-2
0.04167	-3
0.05000	-5
0.05833	-9
0.06667	-15
0.07500	-19
0.08333	-22
0.09167	-23
0.10000	-22
0.10833	-20
0.11667	-18
0.12500	-16
0.13333	-14
0.14167	-12
0.15000	-10
0.15833	-9
0.16667	-9
0.17500	-9
0.18333	-9
0.19167	-10
0.20000	-11
0.20833	-11
0.21667	-11
0.22500	-11
0.23333	-11
0.24167	-12
0.25000	-12
0.25833	-12
0.26667	-12
0.27500	-13
0.28333	-13
0.29167	-14
0.30000	-15
0.30833	-16
0.31667	-16
0.32500	-18
0.33333	-19
0.34167	-20
0.35000	-21
0.35833	-21
0.36667	-22
0.37500	-22
0.38333	-23
0.39167	-23
0.40000	-23
0.40833	-24
0.41667	-24
0.42500	-24
0.43333	-24
0.44167	-24
0.45000	-23
0.45833	-23
0.46667	-24
0.47500	-25
0.48333	-25
0.49167	-27
0.50000	-28
0.50833	-30
0.51667	-32
0.52500	-34
0.53333	-36
0.54167	-38
0.55000	-39
0.55833	-40
0.56667	-42
0.57500	-43
0.58333	-44
0.59167	-45
0.60000	-45
0.60833	-46
0.61667	-46
0.62500	-46
0.63333	-46
0.64167	-47
0.65000	-47
0.65833	-47
0.66667	-46
0.67500	-46
0.68333	-46
0.69167	-47
0.70000	-47
0.70833	-47
0.71667	-47
0.72500	-48
0.73333	-48
0.74167	-48
0.75000	-48
0.75833	-48
0.76667	-48
0.77500	-49
0.78333	-49
0.79167	-50
0.80000	-50
0.80833	-51
0.81667	-51
0.82500	-51
0.83333	-52
0.84167	-52
0.85000	-53
0.85833	-53
0.86667	-54
0.87500	-54
0.88333	-55
0.89167	-55
0.90000	-55
0.90833	-56
0.91667	-56
0.92500	-56
0.93333	-56
0.94167	-56
0.95000	-57
0.95833	-57
0.96667	-57
0.97500	-57
0.98333	-58
0.99167	-58
1.00000	-58
1.00833	-59
1.01667	-59
1.02500	-59
1.03333	-59
1.04167	-60
1.05000	-61
1.05833	-61
1.06667	-61
1.07500	-61
1.08333	-61
1.09167	-61
1.10000	-61
1.10833	-61
1.11667	-62
1.12500	-62
1.13333	-62
1.14167	-62
1.15000	-63
1.15833	-63
1.16667	-64
1.17500	-64
1.18333	-65
1.19167	-65
1.20000	-65
1.20833	-65
1.21667	-65
1.22500	-65
1.23333	-65
1.24167	-66
1.25000	-66
1.25833	-66
1.26667	-67
1.27500	-67
1.28333	-68
1.29167	-68
1.30000	-68
1.30833	-69
1.31667	-69
1.32500	-69
1.33333	-70
1.34167	-70
1.35000	-70
1.35833	-70
1.36667	-70
1.37500	-70
1.38333	-70
1.39167	-71
1.40000	-72
1.40833	-72
1.41667	-73
1.42500	-74
1.43333	-74
1.44167	-75
1.45000	-75
1.45833	-75
1.46667	-76
1.47500	-76
1.48333	-76
1.49167	-76
1.50000	-77
1.50833	-77
1.51667	-77
1.52500	-78
1.53333	-78
1.54167	-78
1.55000	-79
1.55833	-79
1.56667	-80
1.57500	-80
1.58333	-80
1.59167	-80
1.60000	-80
1.60833	-80
1.61667	-80
1.62500	-80
1.63333	-81
1.64167	-81
1.65000	-81
1.65833	-82
1.66667	-82
1.67500	-82
1.68333	-82
1.69167	-83
1.70000	-83
1.70833	-83
1.71667	-83
1.72500	-84
1.73333	-84
1.74167	-84
1.75000	-85
1.75833	-86
1.76667	-86
1.77500	-86
1.78333	-86
1.79167	-86
1.80000	-86
1.80833	-86
1.81667	-87
1.82500	-87
1.83333	-88
1.84167	-88
1.85000	-88
1.85833	-88
1.86667	-88
1.87500	-89
1.88333	-89
1.89167	-89
1.90000	-90
1.90833	-89
1.91667	-89
1.92500	-89
1.93333	-89
1.94167	-90
1.95000	-90
1.95833	-90
1.96667	-90
1.97500	-90
1.98333	-91
1.99167	-91
2.00000	-91
2.00833	-91
2.01667	-92
2.02500	-92
2.03333	-93
2.04167	-93
2.05000	-93
2.05833	-94
2.06667	-94
2.07500	-95
2.08333	-95
2.09167	-95
2.10000	-95
2.10833	-95
2.11667	-95
2.12500	-96
2.13333	-96
2.14167	-96
2.15000	-96
2.15833	-97
2.16667	-97
2.17500	-97
2.18333	-96
2.19167	-96
2.20000	-96
2.20833	-96
2.21667	-97
2.22500	-97
2.23333	-97
2.24167	-98
2.25000	-98
2.25833	-99
2.26667	-99
2.27500	-99
2.28333	-99
2.29167	-99
2.30000	-99
2.30833	-99
2.31667	-100
2.32500	-100
2.33333	-100
2.34167	-101
2.35000	-101
2.35833	-101
2.36667	-101
2.37500	-101
2.38333	-101
2.39167	-101
2.40000	-101
2.40833	-101
2.41667	-102
2.42500	-102
2.43333	-102
2.44167	-102
2.45000	-102
2.45833	-102
2.46667	-102
2.47500	-102
2.48333	-101
2.49167	-101
2.50000	-101
2.50833	-101
2.51667	-101
2.52500	-101
2.53333	-101
2.54167	-101
2.55000	-102
2.55833	-102
2.56667	-102
2.57500	-102
2.58333	-102
2.59167	-103
2.60000	-103
2.60833	-103
2.61667	-104
2.62500	-104
2.63333	-105
2.64167	-105
2.65000	-105
2.65833	-105
2.66667	-105
2.67500	-105
2.68333	-105
2.69167	-105
2.70000	-105
2.70833	-106
2.71667	-105
2.72500	-105
2.73333	-105
2.74167	-106
2.75000	-106
2.75833	-106
2.76667	-106
2.77500	-106
2.78333	-106
2.79167	-106
2.80000	-106
2.80833	-105
2.81667	-105
2.82500	-105
2.83333	-105
2.84167	-105
2.85000	-105
2.85833	-105
2.86667	-105
2.87500	-105
2.88333	-105
2.89167	-105
2.90000	-105
2.90833	-105
2.91667	-105
2.92500	-106
2.93333	-106
2.94167	-106
2.95000	-106
2.95833	-107
2.96667	-107
2.97500	-107
2.98333	-108
2.99167	-108
3.00000	-108
3.00833	-108
3.01667	-109
3.02500	-108
3.03333	-108
3.04167	-108
3.05000	-108
3.05833	-109
3.06667	-109
3.07500	-110
3.08333	-110
3.09167	-110
3.10000	-110
3.10833	-110
