R.Time (min)	Intensity
0.00000	-27
0.00833	-27
0.01667	-1
0.02500	-2
0.03333	-2
0.04167	-3
0.05000	-4
0.05833	-5
0.06667	-6
0.07500	-7
0.08333	-7
0.09167	-8
0.10000	-9
0.10833	-10
0.11667	-10
0.12500	-11
0.13333	-11
0.14167	-12
0.15000	-13
0.15833	-13
0.16667	-14
0.17500	-15
0.18333	-15
0.19167	-15
0.20000	-15
0.20833	-16
0.21667	-17
0.22500	-18
0.23333	-19
0.24167	-19
0.25000	-20
0.25833	-21
0.26667	-22
0.27500	-23
0.28333	-23
0.29167	-24
0.30000	-25
0.30833	-26
0.31667	-27
0.32500	-27
0.33333	-28
0.34167	-28
0.35000	-28
0.35833	-29
0.36667	-30
0.37500	-30
0.38333	-30
0.39167	-31
0.40000	-31
0.40833	-32
0.41667	-32
0.42500	-33
0.43333	-34
0.44167	-34
0.45000	-35
0.45833	-36
0.46667	-36
0.47500	-37
0.48333	-37
0.49167	-38
0.50000	-39
0.50833	-40
0.51667	-41
0.52500	-42
0.53333	-42
0.54167	-43
0.55000	-43
0.55833	-44
0.56667	-44
0.57500	-45
0.58333	-45
0.59167	-46
0.60000	-46
0.60833	-47
0.61667	-47
0.62500	-47
0.63333	-48
0.64167	-49
0.65000	-49
0.65833	-49
0.66667	-50
0.67500	-50
0.68333	-51
0.69167	-52
0.70000	-53
0.70833	-53
0.71667	-54
0.72500	-54
0.73333	-55
0.74167	-55
0.75000	-55
0.75833	-56
0.76667	-56
0.77500	-57
0.78333	-57
0.79167	-57
0.80000	-57
0.80833	-58
0.81667	-58
0.82500	-59
0.83333	-59
0.84167	-60
0.85000	-61
0.85833	-62
0.86667	-63
0.87500	-63
0.88333	-63
0.89167	-63
0.90000	-64
0.90833	-64
0.91667	-65
0.92500	-65
0.93333	-66
0.94167	-67
0.95000	-67
0.95833	-68
0.96667	-69
0.97500	-69
0.98333	-70
0.99167	-71
1.00000	-71
1.00833	-71
1.01667	-72
1.02500	-72
1.03333	-72
1.04167	-73
1.05000	-73
1.05833	-74
1.06667	-74
1.07500	-74
1.08333	-74
1.09167	-75
1.10000	-75
1.10833	-76
1.11667	-76
1.12500	-76
1.13333	-77
1.14167	-77
1.15000	-78
1.15833	-79
1.16667	-79
1.17500	-79
1.18333	-79
1.19167	-80
1.20000	-81
1.20833	-81
1.21667	-81
1.22500	-82
1.23333	-82
1.24167	-83
1.25000	-83
1.25833	-84
1.26667	-84
1.27500	-84
1.28333	-84
1.29167	-85
1.30000	-85
1.30833	-85
1.31667	-85
1.32500	-86
1.33333	-86
1.34167	-87
1.35000	-87
1.35833	-87
1.36667	-87
1.37500	-88
1.38333	-88
1.39167	-88
1.40000	-89
1.40833	-89
1.41667	-90
1.42500	-90
1.43333	-91
1.44167	-91
1.45000	-91
1.45833	-91
1.46667	-92
1.47500	-92
1.48333	-93
1.49167	-93
1.50000	-93
1.50833	-94
1.51667	-94
1.52500	-95
1.53333	-95
1.54167	-96
1.55000	-96
1.55833	-97
1.56667	-97
1.57500	-98
1.58333	-98
1.59167	-99
1.60000	-99
1.60833	-100
1.61667	-100
1.62500	-100
1.63333	-100
1.64167	-101
1.65000	-101
1.65833	-102
1.66667	-102
1.67500	-102
1.68333	-103
1.69167	-104
1.70000	-105
1.70833	-105
1.71667	-106
1.72500	-106
1.73333	-106
1.74167	-106
1.75000	-106
1.75833	-106
1.76667	-106
1.77500	-106
1.78333	-107
1.79167	-107
1.80000	-107
1.80833	-108
1.81667	-108
1.82500	-108
1.83333	-109
1.84167	-109
1.85000	-110
1.85833	-110
1.86667	-111
1.87500	-111
1.88333	-110
1.89167	-110
1.90000	-110
1.90833	-111
1.91667	-111
1.92500	-111
1.93333	-111
1.94167	-111
1.95000	-111
1.95833	-111
1.96667	-111
1.97500	-111
1.98333	-112
1.99167	-112
2.00000	-113
2.00833	-114
2.01667	-114
2.02500	-114
2.03333	-114
2.04167	-114
2.05000	-114
2.05833	-114
2.06667	-114
2.07500	-115
2.08333	-115
2.09167	-115
2.10000	-115
2.10833	-115
2.11667	-115
2.12500	-115
2.13333	-115
2.14167	-115
2.15000	-115
2.15833	-115
2.16667	-114
2.17500	-114
2.18333	-114
2.19167	-114
2.20000	-114
2.20833	-113
2.21667	-112
2.22500	-112
2.23333	-112
2.24167	-111
2.25000	-111
2.25833	-111
2.26667	-111
2.27500	-110
2.28333	-110
2.29167	-110
2.30000	-109
2.30833	-108
2.31667	-107
2.32500	-107
2.33333	-106
2.34167	-105
2.35000	-104
2.35833	-104
2.36667	-103
2.37500	-102
2.38333	-100
2.39167	-99
2.40000	-97
2.40833	-96
2.41667	-94
2.42500	-92
2.43333	-90
2.44167	-87
2.45000	-85
2.45833	-83
2.46667	-80
2.47500	-77
2.48333	-74
2.49167	-71
2.50000	-68
2.50833	-64
2.51667	-61
2.52500	-57
2.53333	-53
2.54167	-49
2.55000	-44
2.55833	-39
2.56667	-34
2.57500	-28
2.58333	-22
2.59167	-16
2.60000	-9
2.60833	-2
2.61667	5
2.62500	13
2.63333	21
2.64167	30
2.65000	39
2.65833	48
2.66667	58
2.67500	69
2.68333	80
2.69167	91
2.70000	103
2.70833	116
2.71667	129
2.72500	143
2.73333	158
2.74167	174
2.75000	191
2.75833	209
2.76667	227
2.77500	247
2.78333	267
2.79167	288
2.80000	310
2.80833	334
2.81667	359
2.82500	385
2.83333	412
2.84167	441
2.85000	472
2.85833	504
2.86667	538
2.87500	573
2.88333	610
2.89167	649
2.90000	690
2.90833	732
2.91667	777
2.92500	824
2.93333	873
2.94167	924
2.95000	977
2.95833	1033
2.96667	1091
2.97500	1152
2.98333	1215
2.99167	1280
3.00000	1348
3.00833	1419
3.01667	1491
3.02500	1566
3.03333	1644
3.04167	1723
3.05000	1805
3.05833	1889
3.06667	1975
3.07500	2063
3.08333	2153
3.09167	2244
3.10000	2337
3.10833	2431
3.11667	2527
3.12500	2623
3.13333	2719
3.14167	2816
3.15000	2913
