R.Time (min)	Intensity
0.00000	-32
0.00833	-32
0.01667	-16
0.02500	-1
0.03333	-1
0.04167	-3
0.05000	-4
0.05833	-4
0.06667	-5
0.07500	-6
0.08333	-6
0.09167	-6
0.10000	-7
0.10833	-7
0.11667	-7
0.12500	-8
0.13333	-8
0.14167	-9
0.15000	-9
0.15833	-10
0.16667	-11
0.17500	-11
0.18333	-12
0.19167	-12
0.20000	-13
0.20833	-14
0.21667	-15
0.22500	-15
0.23333	-16
0.24167	-16
0.25000	-16
0.25833	-17
0.26667	-17
0.27500	-18
0.28333	-18
0.29167	-19
0.30000	-20
0.30833	-20
0.31667	-21
0.32500	-21
0.33333	-21
0.34167	-22
0.35000	-22
0.35833	-23
0.36667	-23
0.37500	-24
0.38333	-24
0.39167	-24
0.40000	-25
0.40833	-25
0.41667	-25
0.42500	-26
0.43333	-27
0.44167	-27
0.45000	-28
0.45833	-29
0.46667	-30
0.47500	-30
0.48333	-31
0.49167	-31
0.50000	-31
0.50833	-31
0.51667	-32
0.52500	-32
0.53333	-33
0.54167	-34
0.55000	-34
0.55833	-34
0.56667	-35
0.57500	-35
0.58333	-36
0.59167	-36
0.60000	-37
0.60833	-37
0.61667	-38
0.62500	-39
0.63333	-39
0.64167	-39
0.65000	-40
0.65833	-40
0.66667	-40
0.67500	-41
0.68333	-41
0.69167	-41
0.70000	-42
0.70833	-42
0.71667	-43
0.72500	-43
0.73333	-44
0.74167	-44
0.75000	-45
0.75833	-45
0.76667	-45
0.77500	-45
0.78333	-46
0.79167	-46
0.80000	-46
0.80833	-47
0.81667	-47
0.82500	-48
0.83333	-49
0.84167	-50
0.85000	-50
0.85833	-50
0.86667	-51
0.87500	-51
0.88333	-51
0.89167	-51
0.90000	-51
0.90833	-51
0.91667	-52
0.92500	-52
0.93333	-52
0.94167	-52
0.95000	-53
0.95833	-53
0.96667	-54
0.97500	-54
0.98333	-55
0.99167	-55
1.00000	-55
1.00833	-56
1.01667	-56
1.02500	-57
1.03333	-57
1.04167	-57
1.05000	-57
1.05833	-57
1.06667	-57
1.07500	-57
1.08333	-58
1.09167	-58
1.10000	-59
1.10833	-60
1.11667	-60
1.12500	-61
1.13333	-61
1.14167	-61
1.15000	-61
1.15833	-61
1.16667	-62
1.17500	-62
1.18333	-62
1.19167	-63
1.20000	-63
1.20833	-63
1.21667	-64
1.22500	-64
1.23333	-64
1.24167	-64
1.25000	-64
1.25833	-65
1.26667	-65
1.27500	-65
1.28333	-65
1.29167	-65
1.30000	-65
1.30833	-66
1.31667	-66
1.32500	-67
1.33333	-68
1.34167	-68
1.35000	-68
1.35833	-69
1.36667	-69
1.37500	-70
1.38333	-70
1.39167	-71
1.40000	-72
1.40833	-72
1.41667	-72
1.42500	-73
1.43333	-73
1.44167	-73
1.45000	-74
1.45833	-74
1.46667	-74
1.47500	-74
1.48333	-74
1.49167	-74
1.50000	-74
1.50833	-75
1.51667	-75
1.52500	-75
1.53333	-75
1.54167	-75
1.55000	-76
1.55833	-76
1.56667	-76
1.57500	-76
1.58333	-76
1.59167	-76
1.60000	-77
1.60833	-77
1.61667	-77
1.62500	-78
1.63333	-78
1.64167	-78
1.65000	-78
1.65833	-78
1.66667	-78
1.67500	-78
1.68333	-78
1.69167	-79
1.70000	-79
1.70833	-80
1.71667	-80
1.72500	-80
1.73333	-80
1.74167	-81
1.75000	-82
1.75833	-82
1.76667	-82
1.77500	-82
1.78333	-82
1.79167	-83
1.80000	-83
1.80833	-84
1.81667	-84
1.82500	-84
1.83333	-84
1.84167	-85
1.85000	-84
1.85833	-85
1.86667	-85
1.87500	-85
1.88333	-85
1.89167	-85
1.90000	-86
1.90833	-86
1.91667	-86
1.92500	-87
1.93333	-87
1.94167	-87
1.95000	-88
1.95833	-88
1.96667	-89
1.97500	-89
1.98333	-90
1.99167	-89
2.00000	-89
2.00833	-89
2.01667	-89
2.02500	-89
2.03333	-90
2.04167	-90
2.05000	-91
2.05833	-91
2.06667	-92
2.07500	-92
2.08333	-92
2.09167	-93
2.10000	-93
2.10833	-92
2.11667	-92
2.12500	-93
2.13333	-93
2.14167	-93
2.15000	-93
2.15833	-93
2.16667	-93
2.17500	-93
2.18333	-93
2.19167	-93
2.20000	-93
2.20833	-94
2.21667	-94
2.22500	-94
2.23333	-95
2.24167	-95
2.25000	-96
2.25833	-96
2.26667	-96
2.27500	-96
2.28333	-96
2.29167	-96
2.30000	-97
2.30833	-97
2.31667	-97
2.32500	-97
2.33333	-97
2.34167	-97
2.35000	-98
2.35833	-98
2.36667	-98
2.37500	-98
2.38333	-99
2.39167	-99
2.40000	-99
2.40833	-100
2.41667	-100
2.42500	-100
2.43333	-100
2.44167	-100
2.45000	-100
2.45833	-100
2.46667	-100
2.47500	-100
2.48333	-100
2.49167	-101
2.50000	-101
2.50833	-101
2.51667	-101
2.52500	-101
2.53333	-101
2.54167	-101
2.55000	-101
2.55833	-102
2.56667	-102
2.57500	-102
2.58333	-103
2.59167	-103
2.60000	-103
2.60833	-104
2.61667	-104
2.62500	-105
2.63333	-105
2.64167	-105
2.65000	-105
2.65833	-105
2.66667	-106
2.67500	-106
2.68333	-106
2.69167	-106
2.70000	-106
2.70833	-107
2.71667	-107
2.72500	-107
2.73333	-107
2.74167	-108
2.75000	-108
2.75833	-107
2.76667	-107
2.77500	-108
2.78333	-108
2.79167	-108
2.80000	-108
2.80833	-108
2.81667	-109
2.82500	-109
2.83333	-110
2.84167	-110
2.85000	-110
2.85833	-110
2.86667	-110
2.87500	-109
2.88333	-109
2.89167	-109
2.90000	-108
2.90833	-108
2.91667	-108
2.92500	-108
2.93333	-108
2.94167	-109
2.95000	-109
2.95833	-109
2.96667	-109
2.97500	-109
2.98333	-109
2.99167	-110
3.00000	-110
3.00833	-110
3.01667	-110
3.02500	-110
3.03333	-110
3.04167	-110
3.05000	-111
3.05833	-111
3.06667	-111
3.07500	-111
3.08333	-111
3.09167	-111
3.10000	-110
3.10833	-110
3.11667	-110
3.12500	-110
3.13333	-110
3.14167	-110
3.15000	-111
3.15833	-111
3.16667	-111
3.17500	-111
3.18333	-111
3.19167	-111
3.20000	-111
3.20833	-112
3.21667	-112
3.22500	-112
3.23333	-112
3.24167	-112
3.25000	-112
3.25833	-111
3.26667	-111
3.27500	-111
3.28333	-110
3.29167	-110
3.30000	-110
3.30833	-110
3.31667	-110
3.32500	-111
3.33333	-111
3.34167	-111
3.35000	-111
3.35833	-111
3.36667	-111
3.37500	-111
3.38333	-111
3.39167	-111
3.40000	-111
3.40833	-111
3.41667	-111
3.42500	-111
3.43333	-112
3.44167	-112
3.45000	-112
3.45833	-112
3.46667	-113
3.47500	-113
3.48333	-114
3.49167	-114
3.50000	-114
3.50833	-114
3.51667	-114
3.52500	-114
3.53333	-114
3.54167	-114
3.55000	-114
3.55833	-114
3.56667	-114
3.57500	-113
3.58333	-113
3.59167	-113
3.60000	-113
3.60833	-113
3.61667	-114
3.62500	-114
3.63333	-114
3.64167	-115
3.65000	-115
3.65833	-115
3.66667	-115
3.67500	-115
3.68333	-115
3.69167	-114
3.70000	-114
3.70833	-114
3.71667	-114
3.72500	-115
3.73333	-115
3.74167	-116
3.75000	-116
3.75833	-116
3.76667	-116
3.77500	-116
3.78333	-116
3.79167	-116
3.80000	-116
3.80833	-117
3.81667	-117
3.82500	-117
3.83333	-117
3.84167	-118
3.85000	-118
3.85833	-118
3.86667	-118
3.87500	-118
3.88333	-118
3.89167	-118
3.90000	-118
3.90833	-118
3.91667	-119
3.92500	-119
3.93333	-119
3.94167	-120
3.95000	-120
3.95833	-120
3.96667	-120
3.97500	-120
3.98333	-120
3.99167	-120
4.00000	-120
4.00833	-121
4.01667	-121
4.02500	-121
4.03333	-120
4.04167	-120
4.05000	-120
4.05833	-120
4.06667	-121
4.07500	-122
4.08333	-122
4.09167	-123
4.10000	-123
4.10833	-123
4.11667	-123
4.12500	-123
4.13333	-123
4.14167	-123
4.15000	-124
4.15833	-124
4.16667	-123
4.17500	-123
4.18333	-123
4.19167	-123
4.20000	-124
4.20833	-123
4.21667	-123
4.22500	-123
4.23333	-124
4.24167	-123
4.25000	-123
4.25833	-123
4.26667	-123
4.27500	-123
4.28333	-124
4.29167	-124
4.30000	-124
4.30833	-123
4.31667	-123
4.32500	-123
4.33333	-123
4.34167	-123
4.35000	-123
4.35833	-123
4.36667	-123
4.37500	-123
4.38333	-123
4.39167	-123
4.40000	-123
4.40833	-123
4.41667	-123
4.42500	-123
4.43333	-123
4.44167	-122
4.45000	-122
4.45833	-122
4.46667	-122
4.47500	-121
4.48333	-121
4.49167	-121
4.50000	-121
4.50833	-122
4.51667	-122
4.52500	-122
4.53333	-122
4.54167	-122
4.55000	-122
4.55833	-122
4.56667	-122
4.57500	-122
4.58333	-123
4.59167	-123
4.60000	-123
4.60833	-124
4.61667	-124
4.62500	-125
4.63333	-125
4.64167	-125
4.65000	-125
4.65833	-125
4.66667	-125
4.67500	-125
4.68333	-126
4.69167	-126
4.70000	-126
4.70833	-126
4.71667	-126
4.72500	-126
4.73333	-127
4.74167	-127
4.75000	-128
4.75833	-128
4.76667	-128
4.77500	-128
4.78333	-128
4.79167	-128
4.80000	-128
4.80833	-129
4.81667	-129
4.82500	-129
4.83333	-129
4.84167	-129
4.85000	-129
4.85833	-129
4.86667	-128
4.87500	-129
4.88333	-129
4.89167	-129
4.90000	-128
4.90833	-128
4.91667	-128
4.92500	-128
4.93333	-128
4.94167	-128
4.95000	-128
4.95833	-128
4.96667	-127
4.97500	-128
4.98333	-127
4.99167	-127
5.00000	-127
5.00833	-127
5.01667	-127
5.02500	-127
5.03333	-128
5.04167	-128
5.05000	-128
5.05833	-128
5.06667	-128
5.07500	-127
5.08333	-127
5.09167	-127
5.10000	-127
5.10833	-127
5.11667	-127
5.12500	-127
5.13333	-127
5.14167	-127
5.15000	-127
5.15833	-127
5.16667	-127
5.17500	-127
5.18333	-128
5.19167	-128
5.20000	-128
5.20833	-128
5.21667	-129
5.22500	-128
5.23333	-128
5.24167	-128
5.25000	-128
5.25833	-129
5.26667	-129
5.27500	-130
5.28333	-130
5.29167	-130
5.30000	-130
5.30833	-130
5.31667	-131
5.32500	-131
5.33333	-131
5.34167	-131
5.35000	-131
5.35833	-131
5.36667	-131
5.37500	-131
5.38333	-131
5.39167	-131
5.40000	-131
5.40833	-131
5.41667	-131
5.42500	-131
5.43333	-132
5.44167	-133
5.45000	-133
5.45833	-133
5.46667	-134
5.47500	-134
5.48333	-134
5.49167	-135
5.50000	-135
5.50833	-135
5.51667	-136
5.52500	-136
5.53333	-136
5.54167	-136
5.55000	-136
5.55833	-136
5.56667	-136
5.57500	-136
5.58333	-136
5.59167	-136
5.60000	-137
5.60833	-137
5.61667	-137
5.62500	-137
5.63333	-137
5.64167	-137
5.65000	-137
5.65833	-137
5.66667	-137
5.67500	-137
5.68333	-137
5.69167	-137
5.70000	-137
5.70833	-137
5.71667	-137
5.72500	-137
5.73333	-137
5.74167	-137
5.75000	-137
5.75833	-137
5.76667	-137
5.77500	-136
5.78333	-136
5.79167	-137
5.80000	-137
5.80833	-136
5.81667	-136
5.82500	-136
5.83333	-136
5.84167	-136
5.85000	-135
5.85833	-135
5.86667	-135
5.87500	-135
5.88333	-135
5.89167	-135
5.90000	-135
5.90833	-135
5.91667	-135
5.92500	-136
5.93333	-136
5.94167	-136
5.95000	-136
5.95833	-136
5.96667	-136
5.97500	-136
5.98333	-136
5.99167	-136
6.00000	-136
6.00833	-136
6.01667	-136
6.02500	-136
6.03333	-136
6.04167	-135
6.05000	-135
6.05833	-136
6.06667	-136
6.07500	-136
6.08333	-136
6.09167	-137
6.10000	-137
6.10833	-137
6.11667	-137
6.12500	-138
6.13333	-138
6.14167	-138
6.15000	-138
6.15833	-138
6.16667	-138
6.17500	-138
6.18333	-138
6.19167	-139
6.20000	-139
6.20833	-139
6.21667	-139
6.22500	-139
6.23333	-140
6.24167	-140
6.25000	-139
6.25833	-139
6.26667	-138
6.27500	-138
6.28333	-138
6.29167	-138
6.30000	-138
6.30833	-138
6.31667	-138
6.32500	-138
6.33333	-138
6.34167	-138
6.35000	-138
6.35833	-138
6.36667	-138
6.37500	-138
6.38333	-138
6.39167	-138
6.40000	-139
6.40833	-139
6.41667	-139
6.42500	-139
6.43333	-139
6.44167	-139
6.45000	-140
6.45833	-140
6.46667	-140
6.47500	-141
6.48333	-141
6.49167	-141
6.50000	-141
