"","Minutes","Intensity","Sample"
"1","0",0.144,"STD1-1"
"2","0.00833581423042572",0.024,"STD1-1"
"3","0.0166716284608514",0.075,"STD1-1"
"4","0.0250074426912772",0.065,"STD1-1"
"5","0.0333432569217029",-0.011,"STD1-1"
"6","0.0416790711521286",-0.175,"STD1-1"
"7","0.0500148853825543",-0.285,"STD1-1"
"8","0.0583506996129801",-0.412,"STD1-1"
"9","0.0666865138434058",-0.504,"STD1-1"
"10","0.0750223280738315",-0.565,"STD1-1"
"11","0.0833581423042572",-0.599,"STD1-1"
"12","0.0916939565346829",-0.6,"STD1-1"
"13","0.100029770765109",-0.579,"STD1-1"
"14","0.108365584995534",-0.583,"STD1-1"
"15","0.11670139922596",-0.612,"STD1-1"
"16","0.125037213456386",-0.654,"STD1-1"
"17","0.133373027686812",-0.728,"STD1-1"
"18","0.141708841917237",-0.787,"STD1-1"
"19","0.150044656147663",-0.756,"STD1-1"
"20","0.158380470378089",-0.666,"STD1-1"
"21","0.166716284608514",-0.601,"STD1-1"
"22","0.17505209883894",-0.544,"STD1-1"
"23","0.183387913069366",-0.562,"STD1-1"
"24","0.191723727299792",-0.568,"STD1-1"
"25","0.200059541530217",-0.579,"STD1-1"
"26","0.208395355760643",-0.739,"STD1-1"
"27","0.216731169991069",-0.947,"STD1-1"
"28","0.225066984221495",-1.137,"STD1-1"
"29","0.23340279845192",-1.365,"STD1-1"
"30","0.241738612682346",-1.531,"STD1-1"
"31","0.250074426912772",-1.669,"STD1-1"
"32","0.258410241143197",-1.843,"STD1-1"
"33","0.266746055373623",-2.004,"STD1-1"
"34","0.275081869604049",-2.131,"STD1-1"
"35","0.283417683834475",-2.289,"STD1-1"
"36","0.2917534980649",-2.483,"STD1-1"
"37","0.300089312295326",-2.609,"STD1-1"
"38","0.308425126525752",-2.834,"STD1-1"
"39","0.316760940756177",-3.132,"STD1-1"
"40","0.325096754986603",-3.374,"STD1-1"
"41","0.333432569217029",-3.685,"STD1-1"
"42","0.341768383447455",-4.129,"STD1-1"
"43","0.35010419767788",-4.566,"STD1-1"
"44","0.358440011908306",-4.945,"STD1-1"
"45","0.366775826138732",-5.366,"STD1-1"
"46","0.375111640369158",-5.771,"STD1-1"
"47","0.383447454599583",-6.153,"STD1-1"
"48","0.391783268830009",-6.615,"STD1-1"
"49","0.400119083060435",-7.126,"STD1-1"
"50","0.40845489729086",-7.659,"STD1-1"
"51","0.416790711521286",-8.25,"STD1-1"
"52","0.425126525751712",-8.889,"STD1-1"
"53","0.433462339982138",-9.572,"STD1-1"
"54","0.441798154212563",-10.275,"STD1-1"
"55","0.450133968442989",-10.982,"STD1-1"
"56","0.458469782673415",-11.813,"STD1-1"
"57","0.46680559690384",-12.753,"STD1-1"
"58","0.475141411134266",-13.701,"STD1-1"
"59","0.483477225364692",-14.558,"STD1-1"
"60","0.491813039595118",-15.39,"STD1-1"
"61","0.500148853825543",-16.239,"STD1-1"
"62","0.508484668055969",-16.988,"STD1-1"
"63","0.516820482286395",-17.845,"STD1-1"
"64","0.52515629651682",-18.742,"STD1-1"
"65","0.533492110747246",-19.659,"STD1-1"
"66","0.541827924977672",-20.671,"STD1-1"
"67","0.550163739208098",-21.708,"STD1-1"
"68","0.558499553438523",-22.728,"STD1-1"
"69","0.566835367668949",-23.755,"STD1-1"
"70","0.575171181899375",-24.735,"STD1-1"
"71","0.583506996129801",-25.791,"STD1-1"
"72","0.591842810360226",-26.903,"STD1-1"
"73","0.600178624590652",-28.005,"STD1-1"
"74","0.608514438821078",-29.062,"STD1-1"
"75","0.616850253051503",-30.019,"STD1-1"
"76","0.625186067281929",-30.933,"STD1-1"
"77","0.633521881512355",-31.794,"STD1-1"
"78","0.641857695742781",-32.568,"STD1-1"
"79","0.650193509973206",-33.347,"STD1-1"
"80","0.658529324203632",-34.133,"STD1-1"
"81","0.666865138434058",-34.936,"STD1-1"
"82","0.675200952664484",-35.703,"STD1-1"
"83","0.683536766894909",-36.426,"STD1-1"
"84","0.691872581125335",-37.061,"STD1-1"
"85","0.700208395355761",-37.686,"STD1-1"
"86","0.708544209586186",-38.224,"STD1-1"
"87","0.716880023816612",-38.534,"STD1-1"
"88","0.725215838047038",-38.692,"STD1-1"
"89","0.733551652277464",-38.892,"STD1-1"
"90","0.741887466507889",-39.011,"STD1-1"
"91","0.750223280738315",-39.16,"STD1-1"
"92","0.758559094968741",-39.28,"STD1-1"
"93","0.766894909199166",-39.348,"STD1-1"
"94","0.775230723429592",-39.318,"STD1-1"
"95","0.783566537660018",-39.135,"STD1-1"
"96","0.791902351890444",-38.774,"STD1-1"
"97","0.800238166120869",-38.349,"STD1-1"
"98","0.808573980351295",-37.909,"STD1-1"
"99","0.816909794581721",-37.315,"STD1-1"
"100","0.825245608812146",-36.653,"STD1-1"
"101","0.833581423042572",-35.983,"STD1-1"
"102","0.841917237272998",-35.294,"STD1-1"
"103","0.850253051503424",-34.49,"STD1-1"
"104","0.858588865733849",-33.621,"STD1-1"
"105","0.866924679964275",-32.581,"STD1-1"
"106","0.875260494194701",-31.404,"STD1-1"
"107","0.883596308425127",-30.184,"STD1-1"
"108","0.891932122655552",-28.908,"STD1-1"
"109","0.900267936885978",-27.699,"STD1-1"
"110","0.908603751116404",-26.533,"STD1-1"
"111","0.916939565346829",-25.37,"STD1-1"
"112","0.925275379577255",-24.046,"STD1-1"
"113","0.933611193807681",-22.602,"STD1-1"
"114","0.941947008038107",-21.237,"STD1-1"
"115","0.950282822268532",-19.897,"STD1-1"
"116","0.958618636498958",-18.52,"STD1-1"
"117","0.966954450729384",-17.114,"STD1-1"
"118","0.97529026495981",-15.66,"STD1-1"
"119","0.983626079190235",-14.292,"STD1-1"
"120","0.991961893420661",-12.934,"STD1-1"
"121","1.00029770765109",-11.495,"STD1-1"
"122","1.00863352188151",-9.993,"STD1-1"
"123","1.01696933611194",-8.511,"STD1-1"
"124","1.02530515034236",-7.049,"STD1-1"
"125","1.03364096457279",-5.629,"STD1-1"
"126","1.04197677880322",-4.227,"STD1-1"
"127","1.05031259303364",-2.973,"STD1-1"
"128","1.05864840726407",-1.791,"STD1-1"
"129","1.06698422149449",-0.57,"STD1-1"
"130","1.07532003572492",0.582,"STD1-1"
"131","1.08365584995534",1.714,"STD1-1"
"132","1.09199166418577",2.813,"STD1-1"
"133","1.1003274784162",3.841,"STD1-1"
"134","1.10866329264662",4.716,"STD1-1"
"135","1.11699910687705",5.469,"STD1-1"
"136","1.12533492110747",6.104,"STD1-1"
"137","1.1336707353379",6.748,"STD1-1"
"138","1.14200654956832",7.385,"STD1-1"
"139","1.15034236379875",7.941,"STD1-1"
"140","1.15867817802918",8.412,"STD1-1"
"141","1.1670139922596",8.808,"STD1-1"
"142","1.17534980649003",9.124,"STD1-1"
"143","1.18368562072045",9.327,"STD1-1"
"144","1.19202143495088",9.407,"STD1-1"
"145","1.2003572491813",9.45,"STD1-1"
"146","1.20869306341173",9.439,"STD1-1"
"147","1.21702887764216",9.405,"STD1-1"
"148","1.22536469187258",9.336,"STD1-1"
"149","1.23370050610301",9.161,"STD1-1"
"150","1.24203632033343",8.864,"STD1-1"
"151","1.25037213456386",8.493,"STD1-1"
