R.Time (min)	Intensity
0.00000	1
0.00833	1
0.01667	0
0.02500	0
0.03333	0
0.04167	0
0.05000	0
0.05833	-0
0.06667	-0
0.07500	-0
0.08333	-0
0.09167	-0
0.10000	-0
0.10833	-1
0.11667	-1
0.12500	-1
0.13333	-0
0.14167	-0
0.15000	-0
0.15833	0
0.16667	1
0.17500	1
0.18333	1
0.19167	1
0.20000	1
0.20833	1
0.21667	1
0.22500	1
0.23333	1
0.24167	1
0.25000	1
0.25833	1
0.26667	1
0.27500	1
0.28333	1
0.29167	1
0.30000	1
0.30833	0
0.31667	0
0.32500	0
0.33333	0
0.34167	1
0.35000	1
0.35833	1
0.36667	1
0.37500	2
0.38333	2
0.39167	2
0.40000	3
0.40833	3
0.41667	3
0.42500	4
0.43333	4
0.44167	4
0.45000	4
0.45833	4
0.46667	4
0.47500	4
0.48333	4
0.49167	4
0.50000	4
0.50833	4
0.51667	4
0.52500	3
0.53333	3
0.54167	4
0.55000	4
0.55833	4
0.56667	4
0.57500	4
0.58333	5
0.59167	5
0.60000	5
0.60833	5
0.61667	5
0.62500	5
0.63333	5
0.64167	5
0.65000	5
0.65833	6
0.66667	6
0.67500	6
0.68333	6
0.69167	6
0.70000	5
0.70833	5
0.71667	5
0.72500	5
0.73333	6
0.74167	6
0.75000	6
0.75833	6
0.76667	6
0.77500	6
0.78333	6
0.79167	6
0.80000	6
0.80833	6
0.81667	6
0.82500	6
0.83333	6
0.84167	5
0.85000	5
0.85833	6
0.86667	6
0.87500	6
0.88333	6
0.89167	6
0.90000	6
0.90833	6
0.91667	6
0.92500	6
0.93333	6
0.94167	6
0.95000	6
0.95833	5
0.96667	5
0.97500	5
0.98333	5
0.99167	5
1.00000	5
1.00833	5
1.01667	5
1.02500	5
1.03333	5
1.04167	5
1.05000	5
1.05833	5
1.06667	4
1.07500	4
1.08333	4
1.09167	4
1.10000	4
1.10833	4
1.11667	4
1.12500	4
1.13333	4
1.14167	4
1.15000	4
1.15833	4
1.16667	4
1.17500	3
1.18333	3
1.19167	3
1.20000	3
1.20833	2
1.21667	3
1.22500	3
1.23333	3
1.24167	4
1.25000	4
1.25833	4
1.26667	5
1.27500	5
1.28333	5
1.29167	5
1.30000	6
1.30833	6
1.31667	6
1.32500	6
1.33333	7
1.34167	7
1.35000	8
1.35833	8
1.36667	8
1.37500	8
1.38333	8
1.39167	7
1.40000	7
1.40833	7
1.41667	7
1.42500	8
1.43333	8
1.44167	8
1.45000	7
1.45833	8
1.46667	8
1.47500	8
1.48333	8
1.49167	8
1.50000	8
1.50833	8
1.51667	8
1.52500	8
1.53333	8
1.54167	8
1.55000	8
1.55833	8
1.56667	8
1.57500	8
1.58333	8
1.59167	8
1.60000	7
1.60833	7
1.61667	8
1.62500	8
1.63333	8
1.64167	8
1.65000	7
1.65833	7
1.66667	7
1.67500	7
1.68333	7
1.69167	6
1.70000	6
1.70833	6
1.71667	5
1.72500	5
1.73333	5
1.74167	5
1.75000	6
1.75833	6
1.76667	6
1.77500	6
1.78333	6
1.79167	6
1.80000	6
1.80833	5
1.81667	5
1.82500	4
1.83333	4
1.84167	3
1.85000	3
1.85833	3
1.86667	3
1.87500	3
1.88333	3
1.89167	3
1.90000	4
1.90833	4
1.91667	4
1.92500	4
1.93333	4
1.94167	4
1.95000	4
1.95833	4
1.96667	4
1.97500	5
1.98333	5
1.99167	5
2.00000	5
2.00833	5
2.01667	5
2.02500	5
2.03333	5
2.04167	5
2.05000	5
2.05833	4
2.06667	4
2.07500	4
2.08333	3
2.09167	3
2.10000	3
2.10833	3
2.11667	3
2.12500	3
2.13333	3
2.14167	3
2.15000	3
2.15833	3
2.16667	3
2.17500	3
2.18333	2
2.19167	2
2.20000	1
2.20833	1
2.21667	1
2.22500	0
2.23333	0
2.24167	0
2.25000	-0
2.25833	-1
2.26667	-2
2.27500	-2
2.28333	-3
2.29167	-3
2.30000	-4
2.30833	-4
2.31667	-4
2.32500	-4
2.33333	-4
2.34167	-4
2.35000	-4
2.35833	-4
2.36667	-4
2.37500	-5
2.38333	-6
2.39167	-6
2.40000	-7
2.40833	-7
2.41667	-8
2.42500	-8
2.43333	-8
2.44167	-8
2.45000	-8
2.45833	-9
2.46667	-9
2.47500	-9
2.48333	-9
2.49167	-9
2.50000	-8
2.50833	-8
2.51667	-8
2.52500	-9
2.53333	-9
2.54167	-9
2.55000	-8
2.55833	-9
2.56667	-9
2.57500	-9
2.58333	-9
2.59167	-9
2.60000	-9
2.60833	-9
2.61667	-9
2.62500	-9
2.63333	-9
2.64167	-9
2.65000	-9
2.65833	-10
2.66667	-9
2.67500	-9
2.68333	-9
2.69167	-10
2.70000	-10
2.70833	-10
2.71667	-10
2.72500	-10
2.73333	-10
2.74167	-10
2.75000	-10
2.75833	-11
2.76667	-11
2.77500	-11
2.78333	-12
2.79167	-12
2.80000	-12
2.80833	-12
2.81667	-12
2.82500	-12
2.83333	-12
2.84167	-12
2.85000	-11
2.85833	-11
2.86667	-10
2.87500	-10
2.88333	-9
2.89167	-9
2.90000	-9
2.90833	-9
2.91667	-10
2.92500	-10
2.93333	-10
2.94167	-10
2.95000	-10
2.95833	-9
2.96667	-9
2.97500	-9
2.98333	-9
2.99167	-8
3.00000	-7
3.00833	-6
3.01667	-5
3.02500	-5
3.03333	-5
3.04167	-5
3.05000	-5
3.05833	-5
3.06667	-4
3.07500	-4
3.08333	-4
3.09167	-4
3.10000	-4
3.10833	-3
3.11667	-2
3.12500	-1
3.13333	-0
3.14167	0
3.15000	1
3.15833	1
3.16667	2
3.17500	3
3.18333	4
3.19167	5
3.20000	5
3.20833	6
3.21667	6
3.22500	7
3.23333	7
3.24167	7
3.25000	8
3.25833	8
3.26667	8
3.27500	9
3.28333	9
3.29167	9
3.30000	10
3.30833	10
3.31667	11
3.32500	11
3.33333	12
3.34167	13
3.35000	13
3.35833	13
3.36667	13
3.37500	14
3.38333	14
3.39167	15
3.40000	15
3.40833	15
3.41667	16
3.42500	17
3.43333	17
3.44167	18
3.45000	18
3.45833	18
3.46667	18
3.47500	18
3.48333	18
3.49167	18
3.50000	18
3.50833	18
3.51667	18
3.52500	19
3.53333	19
3.54167	19
3.55000	20
3.55833	20
3.56667	20
3.57500	20
3.58333	20
3.59167	20
3.60000	20
3.60833	21
3.61667	21
3.62500	21
3.63333	22
3.64167	22
3.65000	23
3.65833	23
3.66667	23
3.67500	24
3.68333	24
3.69167	24
3.70000	24
3.70833	24
3.71667	24
3.72500	25
3.73333	25
3.74167	25
3.75000	25
3.75833	24
3.76667	24
3.77500	24
3.78333	25
3.79167	25
3.80000	25
3.80833	26
3.81667	26
3.82500	26
3.83333	26
3.84167	26
3.85000	26
3.85833	26
3.86667	26
3.87500	26
3.88333	26
3.89167	26
3.90000	26
3.90833	26
3.91667	27
3.92500	27
3.93333	27
3.94167	27
3.95000	27
3.95833	27
3.96667	27
3.97500	28
3.98333	28
3.99167	28
4.00000	29
4.00833	28
4.01667	28
4.02500	27
4.03333	27
4.04167	27
4.05000	27
4.05833	27
4.06667	27
4.07500	27
4.08333	27
4.09167	27
4.10000	27
4.10833	28
4.11667	28
4.12500	28
4.13333	28
4.14167	28
4.15000	28
4.15833	28
4.16667	28
4.17500	27
4.18333	27
4.19167	27
4.20000	26
4.20833	26
4.21667	25
4.22500	25
4.23333	24
4.24167	25
4.25000	25
4.25833	25
4.26667	25
4.27500	24
4.28333	24
4.29167	24
4.30000	23
4.30833	22
4.31667	22
4.32500	22
4.33333	22
4.34167	22
4.35000	22
4.35833	22
4.36667	21
4.37500	21
4.38333	20
4.39167	20
4.40000	20
4.40833	19
4.41667	19
4.42500	20
4.43333	19
4.44167	19
4.45000	18
4.45833	18
4.46667	17
4.47500	17
4.48333	17
4.49167	18
4.50000	18
4.50833	18
4.51667	18
4.52500	19
4.53333	19
4.54167	19
4.55000	19
