R.Time (min)	Intensity
0.00000	-37
0.00833	-37
0.01667	-3
0.02500	-1
0.03333	-1
0.04167	-2
0.05000	-3
0.05833	-4
0.06667	-4
0.07500	-4
0.08333	-5
0.09167	-5
0.10000	-5
0.10833	-5
0.11667	-6
0.12500	-6
0.13333	-6
0.14167	-7
0.15000	-7
0.15833	-8
0.16667	-8
0.17500	-8
0.18333	-8
0.19167	-9
0.20000	-10
0.20833	-11
0.21667	-11
0.22500	-12
0.23333	-13
0.24167	-13
0.25000	-14
0.25833	-14
0.26667	-15
0.27500	-15
0.28333	-15
0.29167	-16
0.30000	-16
0.30833	-16
0.31667	-17
0.32500	-18
0.33333	-19
0.34167	-19
0.35000	-20
0.35833	-20
0.36667	-20
0.37500	-21
0.38333	-21
0.39167	-22
0.40000	-22
0.40833	-22
0.41667	-22
0.42500	-23
0.43333	-23
0.44167	-24
0.45000	-24
0.45833	-24
0.46667	-25
0.47500	-25
0.48333	-25
0.49167	-26
0.50000	-26
0.50833	-27
0.51667	-27
0.52500	-28
0.53333	-28
0.54167	-29
0.55000	-29
0.55833	-29
0.56667	-29
0.57500	-30
0.58333	-30
0.59167	-30
0.60000	-30
0.60833	-30
0.61667	-31
0.62500	-31
0.63333	-31
0.64167	-32
0.65000	-32
0.65833	-32
0.66667	-32
0.67500	-32
0.68333	-32
0.69167	-33
0.70000	-34
0.70833	-34
0.71667	-34
0.72500	-35
0.73333	-35
0.74167	-35
0.75000	-36
0.75833	-36
0.76667	-36
0.77500	-37
0.78333	-37
0.79167	-37
0.80000	-37
0.80833	-37
0.81667	-37
0.82500	-37
0.83333	-37
0.84167	-37
0.85000	-38
0.85833	-38
0.86667	-38
0.87500	-39
0.88333	-39
0.89167	-39
0.90000	-40
0.90833	-40
0.91667	-40
0.92500	-40
0.93333	-40
0.94167	-40
0.95000	-40
0.95833	-41
0.96667	-41
0.97500	-41
0.98333	-42
0.99167	-42
1.00000	-42
1.00833	-42
1.01667	-42
1.02500	-42
1.03333	-42
1.04167	-42
1.05000	-42
1.05833	-43
1.06667	-43
1.07500	-44
1.08333	-44
1.09167	-45
1.10000	-45
1.10833	-45
1.11667	-45
1.12500	-46
1.13333	-46
1.14167	-46
1.15000	-46
1.15833	-46
1.16667	-46
1.17500	-46
1.18333	-46
1.19167	-46
1.20000	-46
1.20833	-46
1.21667	-47
1.22500	-47
1.23333	-48
1.24167	-48
1.25000	-48
1.25833	-48
1.26667	-48
1.27500	-48
1.28333	-48
1.29167	-48
1.30000	-48
1.30833	-48
1.31667	-48
1.32500	-49
1.33333	-49
1.34167	-49
1.35000	-48
1.35833	-48
1.36667	-48
1.37500	-49
1.38333	-49
1.39167	-50
1.40000	-50
1.40833	-50
1.41667	-51
1.42500	-51
1.43333	-52
1.44167	-52
1.45000	-52
1.45833	-52
1.46667	-53
1.47500	-53
1.48333	-53
1.49167	-54
1.50000	-54
1.50833	-54
1.51667	-54
1.52500	-54
1.53333	-54
1.54167	-55
1.55000	-55
1.55833	-56
1.56667	-56
1.57500	-56
1.58333	-56
1.59167	-56
1.60000	-56
1.60833	-57
1.61667	-57
1.62500	-58
1.63333	-58
1.64167	-59
1.65000	-59
1.65833	-60
1.66667	-60
1.67500	-60
1.68333	-61
1.69167	-61
1.70000	-61
1.70833	-62
1.71667	-62
1.72500	-62
1.73333	-62
1.74167	-62
1.75000	-62
1.75833	-63
1.76667	-63
1.77500	-63
1.78333	-62
1.79167	-62
1.80000	-63
1.80833	-63
1.81667	-63
1.82500	-63
1.83333	-64
1.84167	-64
1.85000	-64
1.85833	-64
1.86667	-64
1.87500	-64
1.88333	-64
1.89167	-65
1.90000	-65
1.90833	-65
1.91667	-65
1.92500	-66
1.93333	-66
1.94167	-66
1.95000	-66
1.95833	-66
1.96667	-67
1.97500	-66
1.98333	-67
1.99167	-67
2.00000	-68
2.00833	-68
2.01667	-68
2.02500	-68
2.03333	-68
2.04167	-68
2.05000	-68
2.05833	-68
2.06667	-68
2.07500	-68
2.08333	-68
2.09167	-68
2.10000	-69
2.10833	-69
2.11667	-69
2.12500	-69
2.13333	-69
2.14167	-70
2.15000	-70
2.15833	-71
2.16667	-71
2.17500	-71
2.18333	-71
2.19167	-72
2.20000	-72
2.20833	-72
2.21667	-72
2.22500	-72
2.23333	-73
2.24167	-73
2.25000	-73
2.25833	-72
2.26667	-72
2.27500	-72
2.28333	-72
2.29167	-72
2.30000	-72
2.30833	-73
2.31667	-73
2.32500	-73
2.33333	-72
2.34167	-72
2.35000	-72
2.35833	-72
2.36667	-72
2.37500	-73
2.38333	-73
2.39167	-73
2.40000	-73
2.40833	-73
2.41667	-74
2.42500	-74
2.43333	-74
2.44167	-74
2.45000	-74
2.45833	-74
2.46667	-75
