"","int"
"0",-0.011
"0.00833531864204884",-0.008
"0.0166706372840977",0.032
"0.0250059559261465",0.102
"0.0333412745681954",0.2
"0.0416765932102442",0.302
"0.050011911852293",0.374
"0.0583472304943419",0.412
"0.0666825491363907",0.399
"0.0750178677784396",0.317
"0.0833531864204884",0.177
"0.0916885050625372",0.002
"0.100023823704586",-0.164
"0.108359142346635",-0.277
"0.116694460988684",-0.309
"0.125029779630733",-0.283
"0.133365098272781",-0.235
"0.14170041691483",-0.183
"0.150035735556879",-0.147
"0.158371054198928",-0.133
"0.166706372840977",-0.119
"0.175041691483026",-0.09
"0.183377010125074",-0.054
"0.191712328767123",-0.019
"0.200047647409172",0.01
"0.208382966051221",0.017
"0.21671828469327",-0.011
"0.225053603335319",-0.06
"0.233388921977367",-0.107
"0.241724240619416",-0.14
"0.250059559261465",-0.149
"0.258394877903514",-0.13
"0.266730196545563",-0.093
"0.275065515187612",-0.034
"0.283400833829661",0.047
"0.291736152471709",0.138
"0.300071471113758",0.219
"0.308406789755807",0.265
"0.316742108397856",0.245
"0.325077427039905",0.176
"0.333412745681954",0.078
"0.341748064324002",-0.029
"0.350083382966051",-0.104
"0.3584187016081",-0.154
"0.366754020250149",-0.184
"0.375089338892198",-0.183
"0.383424657534247",-0.161
"0.391759976176295",-0.14
"0.400095294818344",-0.111
"0.408430613460393",-0.085
"0.416765932102442",-0.06
"0.425101250744491",-0.041
"0.43343656938654",-0.056
"0.441771888028588",-0.112
"0.450107206670637",-0.189
"0.458442525312686",-0.249
"0.466777843954735",-0.264
"0.475113162596784",-0.23
"0.483448481238833",-0.195
"0.491783799880882",-0.185
"0.50011911852293",-0.193
"0.508454437164979",-0.2
"0.516789755807028",-0.175
"0.525125074449077",-0.092
"0.533460393091126",0.034
"0.541795711733175",0.156
"0.550131030375223",0.256
"0.558466349017272",0.343
"0.566801667659321",0.391
"0.57513698630137",0.367
"0.583472304943419",0.279
"0.591807623585468",0.145
"0.600142942227516",-0.009
"0.608478260869565",-0.167
"0.616813579511614",-0.315
"0.625148898153663",-0.427
"0.633484216795712",-0.483
"0.641819535437761",-0.454
"0.650154854079809",-0.344
"0.658490172721858",-0.184
"0.666825491363907",-0.027
"0.675160810005956",0.109
"0.683496128648005",0.217
"0.691831447290054",0.279
"0.700166765932102",0.29
"0.708502084574151",0.293
"0.7168374032162",0.316
"0.725172721858249",0.35
"0.733508040500298",0.391
"0.741843359142347",0.414
"0.750178677784396",0.395
"0.758513996426444",0.333
"0.766849315068493",0.236
"0.775184633710542",0.114
"0.783519952352591",0.018
"0.79185527099464",-0.007
"0.800190589636689",0.025
"0.808525908278737",0.086
"0.816861226920786",0.154
"0.825196545562835",0.202
"0.833531864204884",0.213
"0.841867182846933",0.199
"0.850202501488982",0.174
"0.85853782013103",0.135
"0.866873138773079",0.085
"0.875208457415128",0.029
"0.883543776057177",-0.022
"0.891879094699226",-0.032
"0.900214413341275",0.008
"0.908549731983323",0.062
"0.916885050625372",0.123
"0.925220369267421",0.173
"0.93355568790947",0.2
"0.941891006551519",0.199
"0.950226325193568",0.174
"0.958561643835616",0.119
"0.966896962477665",0.044
"0.975232281119714",-0.027
"0.983567599761763",-0.057
"0.991902918403812",-0.029
"1.00023823704586",0.042
"1.00857355568791",0.13
"1.01690887432996",0.211
"1.02524419297201",0.247
"1.03357951161406",0.235
"1.0419148302561",0.2
"1.05025014889815",0.155
"1.0585854675402",0.126
"1.06692078618225",0.149
"1.0752561048243",0.22
"1.08359142346635",0.288
"1.0919267421084",0.324
"1.10026206075045",0.304
"1.1085973793925",0.214
"1.11693269803454",0.098
"1.12526801667659",0.038
"1.13360333531864",0.076
"1.14193865396069",0.185
"1.15027397260274",0.329
"1.15860929124479",0.469
"1.16694460988684",0.546
"1.17527992852889",0.549
"1.18361524717094",0.525
"1.19195056581298",0.504
"1.20028588445503",0.493
"1.20862120309708",0.459
"1.21695652173913",0.386
"1.22529184038118",0.297
"1.23362715902323",0.211
"1.24196247766528",0.171
"1.25029779630733",0.226
"1.25863311494937",0.356
"1.26696843359142",0.509
"1.27530375223347",0.653
"1.28363907087552",0.751
"1.29197438951757",0.792
"1.30030970815962",0.794
"1.30864502680167",0.788
"1.31698034544372",0.778
"1.32531566408577",0.744
"1.33365098272781",0.673
"1.34198630136986",0.593
"1.35032162001191",0.551
"1.35865693865396",0.555
"1.36699225729601",0.594
"1.37532757593806",0.652
"1.38366289458011",0.676
"1.39199821322216",0.632
"1.4003335318642",0.541
"1.40866885050625",0.462
"1.4170041691483",0.439
"1.42533948779035",0.474
"1.4336748064324",0.567
"1.44201012507445",0.685
"1.4503454437165",0.789
"1.45868076235855",0.864
"1.4670160810006",0.885
"1.47535139964264",0.833
"1.48368671828469",0.75
"1.49202203692674",0.686
"1.50035735556879",0.65
"1.50869267421084",0.635
"1.51702799285289",0.647
"1.52536331149494",0.665
"1.53369863013699",0.671
"1.54203394877904",0.664
"1.55036926742108",0.667
"1.55870458606313",0.693
"1.56703990470518",0.724
"1.57537522334723",0.73
"1.58371054198928",0.73
"1.59204586063133",0.754
"1.60038117927338",0.794
"1.60871649791543",0.828
"1.61705181655747",0.843
"1.62538713519952",0.838
"1.63372245384157",0.826
"1.64205777248362",0.816
"1.65039309112567",0.818
"1.65872840976772",0.842
"1.66706372840977",0.88
"1.67539904705182",0.923
"1.68373436569387",0.964
"1.69206968433591",1
"1.70040500297796",1.033
"1.70874032162001",1.056
"1.71707564026206",1.075
"1.72541095890411",1.102
"1.73374627754616",1.134
"1.74208159618821",1.144
"1.75041691483026",1.11
"1.7587522334723",1.036
"1.76708755211435",0.966
"1.7754228707564",0.92
"1.78375818939845",0.908
"1.7920935080405",0.951
"1.80042882668255",1.024
"1.8087641453246",1.088
"1.81709946396665",1.144
"1.8254347826087",1.181
"1.83377010125074",1.178
"1.84210541989279",1.155
"1.85044073853484",1.141
"1.85877605717689",1.139
"1.86711137581894",1.124
"1.87544669446099",1.077
"1.88378201310304",1.005
"1.89211733174509",0.926
"1.90045265038714",0.855
"1.90878796902918",0.822
"1.91712328767123",0.842
"1.92545860631328",0.885
"1.93379392495533",0.941
"1.94212924359738",1.006
"1.95046456223943",1.059
"1.95879988088148",1.086
"1.96713519952353",1.069
"1.97547051816557",1.005
"1.98380583680762",0.932
"1.99214115544967",0.879
"2.00047647409172",0.856
"2.00881179273377",0.881
"2.01714711137582",0.961
"2.02548243001787",1.091
"2.03381774865992",1.256
"2.04215306730197",1.426
"2.05048838594401",1.583
"2.05882370458606",1.712
"2.06715902322811",1.782
"2.07549434187016",1.786
"2.08382966051221",1.723
"2.09216497915426",1.591
"2.10050029779631",1.417
"2.10883561643836",1.245
"2.1171709350804",1.114
"2.12550625372245",1.059
"2.1338415723645",1.086
"2.14217689100655",1.177
"2.1505122096486",1.325
"2.15884752829065",1.489
"2.1671828469327",1.614
"2.17551816557475",1.679
"2.1838534842168",1.687
"2.19218880285884",1.652
"2.20052412150089",1.616
"2.20885944014294",1.623
"2.21719475878499",1.676
"2.22553007742704",1.718
"2.23386539606909",1.692
"2.24220071471114",1.616
"2.25053603335319",1.526
"2.25887135199524",1.436
"2.26720667063728",1.384
"2.27554198927933",1.394
"2.28387730792138",1.422
"2.29221262656343",1.413
"2.30054794520548",1.38
"2.30888326384753",1.367
"2.31721858248958",1.396
"2.32555390113163",1.451
"2.33388921977367",1.518
"2.34222453841572",1.562
"2.35055985705777",1.528
"2.35889517569982",1.435
"2.36723049434187",1.347
"2.37556581298392",1.299
"2.38390113162597",1.306
"2.39223645026802",1.36
"2.40057176891007",1.434
"2.40890708755211",1.482
"2.41724240619416",1.485
"2.42557772483621",1.46
"2.43391304347826",1.426
"2.44224836212031",1.403
"2.45058368076236",1.403
"2.45891899940441",1.429
"2.46725431804646",1.471
"2.47558963668851",1.527
"2.48392495533055",1.592
"2.4922602739726",1.645
"2.50059559261465",1.684
"2.5089309112567",1.674
"2.51726622989875",1.611
"2.5256015485408",1.547
"2.53393686718285",1.525
"2.5422721858249",1.578
"2.55060750446694",1.7
"2.55894282310899",1.851
"2.56727814175104",1.96
"2.57561346039309",2.002
"2.58394877903514",2.005
"2.59228409767719",2.012
"2.60061941631924",2.06
"2.60895473496129",2.149
"2.61729005360334",2.27
"2.62562537224538",2.375
"2.63396069088743",2.429
"2.64229600952948",2.444
"2.65063132817153",2.445
"2.65896664681358",2.445
"2.66730196545563",2.445
"2.67563728409768",2.452
"2.68397260273973",2.472
"2.69230792138177",2.485
"2.70064324002382",2.49
"2.70897855866587",2.487
"2.71731387730792",2.463
"2.72564919594997",2.427
"2.73398451459202",2.393
"2.74231983323407",2.361
"2.75065515187612",2.329
"2.75899047051817",2.293
"2.76732578916021",2.252
"2.77566110780226",2.205
"2.78399642644431",2.145
"2.79233174508636",2.064
"2.80066706372841",1.994
"2.80900238237046",1.971
"2.81733770101251",2.012
"2.82567301965456",2.116
"2.83400833829661",2.269
"2.84234365693865",2.425
"2.8506789755807",2.525
"2.85901429422275",2.536
"2.8673496128648",2.478
"2.87568493150685",2.401
"2.8840202501489",2.356
"2.89235556879095",2.372
"2.900690887433",2.447
"2.90902620607504",2.571
"2.91736152471709",2.708
"2.92569684335914",2.799
"2.93403216200119",2.823
"2.94236748064324",2.796
"2.95070279928529",2.743
"2.95903811792734",2.672
"2.96737343656939",2.622
"2.97570875521144",2.636
"2.98404407385348",2.698
"2.99237939249553",2.779
"3.00071471113758",2.852
"3.00905002977963",2.898
"3.01738534842168",2.894
"3.02572066706373",2.852
"3.03405598570578",2.793
"3.04239130434783",2.716
"3.05072662298987",2.62
"3.05906194163192",2.527
"3.06739726027397",2.469
"3.07573257891602",2.467
"3.08406789755807",2.51
"3.09240321620012",2.556
"3.10073853484217",2.582
"3.10907385348422",2.572
"3.11740917212627",2.532
"3.12574449076831",2.507
"3.13407980941036",2.531
"3.14241512805241",2.59
"3.15075044669446",2.68
"3.15908576533651",2.77
"3.16742108397856",2.817
"3.17575640262061",2.808
"3.18409172126266",2.773
"3.19242703990471",2.745
"3.20076235854675",2.736
"3.2090976771888",2.761
"3.21743299583085",2.808
"3.2257683144729",2.836
"3.23410363311495",2.831
"3.242438951757",2.819
"3.25077427039905",2.83
"3.2591095890411",2.858
"3.26744490768314",2.867
"3.27578022632519",2.829
"3.28411554496724",2.74
"3.29245086360929",2.623
"3.30078618225134",2.545
"3.30912150089339",2.563
"3.31745681953544",2.67
"3.32579213817749",2.81
"3.33412745681954",2.949
"3.34246277546158",3.056
"3.35079809410363",3.104
"3.35913341274568",3.099
"3.36746873138773",3.069
"3.37580405002978",3.032
"3.38413936867183",3.012
"3.39247468731388",3.02
"3.40081000595593",3.06
"3.40914532459798",3.11
"3.41748064324002",3.152
"3.42581596188207",3.162
"3.43415128052412",3.128
"3.44248659916617",3.057
"3.45082191780822",2.952
"3.45915723645027",2.811
"3.46749255509232",2.678
"3.47582787373437",2.592
"3.48416319237641",2.584
"3.49249851101846",2.668
"3.50083382966051",2.835
"3.50916914830256",3.022
"3.51750446694461",3.178
"3.52583978558666",3.266
"3.53417510422871",3.255
"3.54251042287076",3.182
"3.55084574151281",3.106
"3.55918106015485",3.042
"3.5675163787969",2.991
"3.57585169743895",2.955
"3.584187016081",2.934
"3.59252233472305",2.94
"3.6008576533651",3
"3.60919297200715",3.131
"3.6175282906492",3.315
"3.62586360929124",3.499
"3.63419892793329",3.644
"3.64253424657534",3.724
"3.65086956521739",3.716
"3.65920488385944",3.624
"3.66754020250149",3.499
"3.67587552114354",3.366
"3.68421083978559",3.256
"3.69254615842764",3.202
"3.70088147706968",3.19
"3.70921679571173",3.197
"3.71755211435378",3.223
"3.72588743299583",3.259
"3.73422275163788",3.283
"3.74255807027993",3.287
"3.75089338892198",3.246
"3.75922870756403",3.166
"3.76756402620608",3.101
"3.77589934484812",3.083
"3.78423466349017",3.116
"3.79256998213222",3.197
"3.80090530077427",3.308
"3.80924061941632",3.389
"3.81757593805837",3.419
"3.82591125670042",3.42
"3.83424657534247",3.43
"3.84258189398451",3.455
"3.85091721262656",3.501
"3.85925253126861",3.569
"3.86758784991066",3.629
"3.87592316855271",3.653
"3.88425848719476",3.642
"3.89259380583681",3.625
