"Compound"	"target.method"	"myslope"	"yint"
"Acetate"	"LabSolutions"	0.011743284499275	1.02267725798424
"Acetate"	"ChromConverter"	0.0117307633588444	1.0010769884053
"Ethanol"	"LabSolutions"	0.0177361683618656	5.77661244884902
"Ethanol"	"ChromConverter"	0.0177282867900267	5.71900462126717
"Lactate"	"LabSolutions"	0.00721521771958257	1.8254247609712
"Lactate"	"ChromConverter"	0.00717641193624218	1.81772200222589
"Glucose"	"LabSolutions"	0.0017906412334162	1.13285641238695
"Glucose"	"ChromConverter"	0.00178978876234492	1.1300380725971
"Cellobiose"	"LabSolutions"	0.00202537578292226	1.12425505788924
"Cellobiose"	"ChromConverter"	0.00202452150517051	1.12068903018376
